ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,,4.49871,,,,
ARM,,,,,,3.03384,,,,,0.78061,,,,,0,,
AZE,,,,,,,,,,,,3.94988,,,,,,
BGD,,19.4329,,,19.0957,,,,,19.1648,,,3.8386,,,,10.414,
BEN,,23.2346,,,,,24.9266,,,,,20.8508,,,,,,
BOL,,,,2.99325,,,,,,,,,,0.86905,,,,
BFA,,,,23.7577,,,,,18.0879,,,,,,,14.9931,,
BDI,,,,,,,,,,,,,,,,13.9301,,
KHM,,,,,,15.0093,,,,,13.2283,,,,,5.38227,,
CMR,,,,9.5284,,,,,,7.45157,,,,,,,4.70449,
TCD,,38.1606,,,,,,,,35.8036,,,,,,,,
COL,5.45458,,,,,6.68052,,,,,4.65431,,,,,2.21934,,
COG,,,,,,,,,,,4.07064,,,,,,3.06868,
CIV,,,,28.5229,,,,,,,,,,,,,18.4052,
COD,,,,,,,,,,,,,16.1897,,,,,
DOM,,6.13235,,,4.75369,,,5.77957,,,,,6.46086,,,,,
EGY,7.24663,,,,,6.10157,,,,,2.85383,,,3.00467,,,,
ETH,,,,,,20.0389,,,,,12.9197,,,,,,9.33145,
GAB,,,,,,5.931,,,,,,,,,,,,2.93329
GHA,,,,12.2903,,,,,17.9528,,,,,6.34347,,,,
GIN,,,,,41.3891,,,,,,14.5952,,,,,,,
GUY,,,,,,,,,,,,,,,1.57714,,,
HTI,,,,,,41.9144,,,,,8.27692,,,,,,,3.06272
HND,,,,,,,,,,,31.7332,,,,,,4.41952,
IND,,,,8.06163,,,,,,,18.6989,,,,,,,
IDN,,,3.29831,,,,,3.294,,,,,3.06446,,,,,2.19987
JOR,,,11.1218,,,,,11.3442,,,,,9.8597,,,,,
KAZ,9.00292,,,,,,,,,,,,,,,,,
KEN,,,,10.6528,,,,,,,,,,3.23396,,,,
KGZ,,,4.55147,,,,,,,,,,,,,,,
LSO,,,,,,,,,,8.33335,,,,,2.6923,,,
LBR,,,,,,,,,,,,,36.1499,,,,,
MDG,,,23.0692,,,,,,13.1019,,,,,6.80015,,,,
MWI,,,,,,4.494,,,,5.76414,,,,,,3.57076,,
MDV,,,,,,,,,,,,,,,0.19272,,,
MLI,36.9734,,,,,,26.2952,,,,,29.958,,,,,,
MAR,,,,,,,,,4.10831,,,,,,,,,
MOZ,,,20.8699,,,,,,16.7098,,,,,,,,12.6775,
NAM,,,,,,4.84407,,,,,,4.68889,,,,,,
NPL,,12.2434,,,,,7.61277,,,,,4.59428,,,,,3.18759,
NIC,,,,16.4333,,,11.4724,,,,,,,,,,,
NER,,,,32.39,,,,,,,,27.3724,,,,,,
NGA,,,,,18.29,,,,14.682,,,,,10.3547,,,,
PAK,,,,,,,,,,,,17.1337,,,,,,
PER,,3.78182,,,,1.94848,,,,,,,1.50668,,,,,3.21581
PHL,,,,5.66486,,,,,6.09354,,,,,,,,,
MDA,,,,,,,,,,,3.45327,,,,,,,
RWA,,,,,,26.81,,,,,10.2654,,,,,6.962,,
STP,,,,,,,,,,,,,,13.2812,,,,
SEN,,,,,,,,,,,23.0971,,,,,18.8335,,
SLE,,,,,,,,,,,,,,13.3568,,,,
SWZ,,,,,,,,,,,,5.41203,,,,,,
TZA,,29.5306,,,29.559,,,,,10.1314,,,,,,6.34082,,
TLS,,,,,,,,,,,,,,,20.7262,,,
TGO,,,,7.27813,,,,,,,,,,,,,,
TUR,,,,21.4398,,,,,2.50164,,,,,,,,,
UGA,19.1796,,,,,4.83678,,,,,,3.75208,,,,,2.46113,
UKR,,,,,,,,,,,,,6.0815,,,,,
UZB,,1.72409,,,,,,,,,,,,,,,,
VNM,,,4.79823,,,,,3.24295,,,,,,,,,,
ZMB,,15.4108,,,,,21.2987,,,,,,8.83576,,,,,
ZWE,,,,,3.11973,,,,,,3.32541,,,,,5.03534,,
# Series: OSCPMAUR,,,,,,,,,,,,,,,,,,
"# Name: Out of school children, urban, male",,,,,,,,,,,,,,,,,,
# Definition: Percentage of children of primary school age who are not in school.,,,,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Educational For All Monitoring Project (EFA) Global Monitoring Report",,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
