ISO,2000,2005,2010
ALB,32.5,,
DZA,16.2,,13.3
AND,,84.5,
ARG,53.8,51.6,
ARM,,,22.7
AUS,,65.9,68.2
AZE,,,23.6
BGD,30,,
BLR,,,23.1
BIH,55.3,,
BRA,,60.3,
BGR,,37,
BFA,,32.2,
CAN,72.2,76,
CHL,49.1,37.4,58.9
CHN,50.3,42.3,39.3
COL,,63.7,65.1
CYP,,52.3,53.1
ECU,,,68.9
EGY,10,24,9.1
EST,,,39.2
ETH,,70,
FIN,,75.2,
FRA,,74.5,
GEO,,22.8,
DEU,,70.7,71.8
GHA,,14.5,13
GTM,,58.7,
HUN,,50.2,
IND,34.9,27.1,
IDN,30,29.5,
IRN,25.1,14.6,
IRQ,10.8,7.7,9.4
ITA,,69.2,
JPN,36.8,48.2,34.5
JOR,5.8,12.9,16.8
KAZ,,,28.8
KWT,,,12.6
KGZ,34.6,,30
LBN,,,33.8
LBY,,,13
MKD,48,,
MYS,,22.5,23.8
MLI,,15.8,
MEX,53.1,66.7,72.8
MNE,24.4,,
MAR,14.8,26.3,17.6
NLD,,72.4,75.1
NZL,,64.8,67.3
NGA,13.3,,17.6
NOR,,84.4,
PAK,46.9,,19.6
PER,65.5,75.8,70.8
PHL,32.8,,36.3
POL,,45.6,51.5
QAT,,,10.7
KOR,37.4,34.5,48.4
MDA,25.5,39,
ROU,,34.6,46
RUS,,25.2,30.5
RWA,,42.5,55.1
SAU,16.3,,
SRB,38.2,45.1,
SGP,47.3,,50.1
SVN,,63,65.5
ZAF,43.9,36,
ESP,72.2,71.9,79.3
SWE,77.2,92.8,83
CHE,,84.5,
TZA,47.8,,
THA,,42.6,
TTO,,62.6,64.7
TUN,,,14.5
TUR,33.3,32.5,24.8
UGA,23.4,,
UKR,,26.4,34.6
GBR,,67.4,
USA,67.8,72.8,75.4
URY,,74.2,80.5
UZB,,,17.1
VEN,51.4,,
VNM,40.4,41,
YEM,,,6.6
ZMB,,42.5,
ZWE,37.7,,32.5
# Series: OTWMBPWM,,,
"# Name: Percentage of respondents who disagree or strongly disagree that men make better political leaders than women do, % male",,,
# Definition: Percentage of males who disagree or strongly disagree that men make better political leaders than women.,,,
# Source: World Values Survey,,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
