ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,2.6,,,,,,,,
ALB,,,,,,30.6,,,,,25.2,,,,23.4,,,
DZA,12.5,,,,,15.4,,14,,,12.4,,,,,,,
AGO,,1.1,,,,,,,,,,,,,,,,
ARG,,,,,,,,,,,9.5,,,,,,,
ARM,,,,11.4,,10.9,,,,,9.1,,,,,14.6,,
AZE,,,,,,5.7,,,,,,12.7,,,,,,
BGD,0.2,0.2,2,0.2,0.5,0.8,0.7,0.8,0.8,1.1,0.8,0.5,1,,,,2.1,
BLR,,,,,,,,,,,8.1,,,,,,,
BLZ,,,,,,,,,,,,11.8,,,,,7.1,
BEN,,2.2,,,,,2.7,,,,,11.3,,,,,,
BTN,,,,,3.3,,,,,,,,,4,,7.6,,
BOL,,,,9.9,,,,,9.3,,,,,8.1,,,,
BIH,,,,,,15.9,,,,,,23.9,,,,,,18
BWA,,,,,,10.5,,,,,,,11.1,,,,,
BRA,,5.8,,,,,,,,,,,7.7,,,,,
BGR,,,,,,,,,,12.6,,,,,,,,
BFA,,,,,1.7,,,,5.1,,,6.6,,,,2.9,,
BDI,,,,,,1.2,,,,,,,,,,2.6,,
KHM,,7.7,,,,3.9,,,,,1.3,,,2.1,,1.9,,
CMR,,,,8.3,,,,,,7.1,,9.5,,,,,5.1,
CAF,,,,,,10.9,,,,,,9.1,,,,,,
TCD,,,2.4,,,2.3,,,,4.4,,,,,,,,
CHL,,,,,,,,,,,,,,9.1,,,,
CHN,13.8,,,4.8,,2.8,,8.2,,,5.2,,,4.5,4.4,5.6,,
COL,4.1,,,,,4.3,,,,,4.2,,,,,4.2,,
COM,,6.2,,,,21.9,,,,,,,,,,,,
COG,,,,,,,,,,,8.6,,,,,,,
CRI,,,,,,,,,,,,,,7.9,,,,
CIV,,,,4,,,,,,,,8.6,4.9,,,,,
CZE,,,,,,,4.1,,,,,,,,,,,
PRK,,,,,,,,1.1,,,,,,,,,,
DJI,,,,,,,,8.8,,,,13.8,,,,,,8.5
DOM,,6.5,,,,7.1,,8.1,,,,,7.5,,,,,
ECU,,,,,,,,,,5,,,,,,,,
EGY,14.7,,,,,17.4,,,9.4,,13.8,,,21.2,,,,
SLV,,,,3.2,,,,,4.8,,,,,5,,,,
GNQ,,,1.5,,,13.6,,,,4,,,,,,,,
ERI,1.1,,,,,,,1.4,,,,,,,,,,
ETH,,,,,,1.9,,,,,4.5,,,,,,2,
FJI,,,,,,,,,,4.8,,,,,,,,
GAB,,,,,,5,,,,,,,,,,,,6.2
GMB,,,,,,3,,,,,,2.5,,,,,,
GEO,,,,,,,,,,,20.7,,,,18.3,,,
DEU,,,,,,,,,,,3.3,,,,,,,
GHA,,,,,2.5,,,,3.6,,,2.5,,5.9,,,,
GTM,5.6,,,,6.2,,,4.7,,,,,,,4.6,,,
GIN,,,,,4.1,,,,,,5,,,,,,,2.7
GNB,,,,,,4.8,,,,,,16.5,,2.5,,,,
GUY,,,,,,5.6,,,,,,7.3,,,8.4,,,
HTI,,,,,,2.3,,,,,,3.5,,,,,,
HND,,2.6,,,,,2.8,,,,,5.2,,,,,,
IND,,,,,3.3,,,,,,,1.7,,,,,,
IDN,,,,,,1.3,1.3,,,4.8,,,11.2,,,13,,
IRQ,,,,,,5.4,,,,,,14.3,,,,,,
JAM,3.2,4.1,4.7,4.7,5.7,4.8,4.2,8.3,,7.2,,3.3,7.7,6.1,,4.8,,
JOR,,,3.7,,,,,4.5,,,,,,,5.2,,,
KAZ,4.8,,,,3.1,,,,,,,16.4,,,,11.8,,
KEN,,,,7.2,,8.5,,,5.6,,,,,,5.3,,,
KWT,,,,,,,11,6.4,6,6.3,7.1,8.4,9.2,9.5,8,7.9,8,8.9
KGZ,,,8.7,,,,,,,,,8.6,,,,,,
LAO,,,,,,2.9,,,,,,1,,,,,,
LBN,,20.2,,,,,,,,18,,,,,,,,
LSO,,,,,,20.4,,,,6.2,,,,,6.9,,,
LBR,,,,,,4.6,,,,,,,3.5,,,,,
LBY,12.9,,,,,,,,,,,,21.6,,,,,
MKD,,,,,8.8,,,,,,15.8,,,,,,17.4,
MDG,,,3,,,,,,,6.1,,,,,,,,
MWI,,,,,,7.9,,,,9.9,,10.7,,,3.7,8.2,,
MDV,,,7,,,,4.2,,,,,,,,6.4,,,
MLI,,2,,,,,2.9,,,,,4.6,,,,,,
MRT,,,,,,3.7,,,,,,,2.2,0.6,,,,1.2
MEX,,,,7.4,,,,,,,,6.7,,,,,,9
MNG,,,,,5.7,12.2,,,,6,12.6,,,,,,,
MNE,,,,,,,,,,,12.6,,,,,,,
MAR,,,11.9,,,,,,12.4,,,,,,,,8.8,
MOZ,,,6.4,,,,,,5.3,,,,,3.2,,,7.7,
MMR,,,,,,2.6,,,2.6,,,,,,2.6,,,
NAM,,,,,,2.9,,,,,,,4.4,,,,,
NPL,,0.7,,0.4,,,0.7,,,,,0.6,,,,,1.6,
NIC,,,,6.4,,,6.2,,,3.7,,5.6,,,,,,
NER,,,,1.6,,1.4,,,,,,3.5,,,,,,
NGA,,,,,,,,,6,,,,13.1,10.7,,,2.7,
OMN,,,,,1.5,,,,,,,,,,2,,,
PAK,,,,,,,4.8,,,,,,,,,,6.1,
PAN,,,6.2,,,,,,,,,,,,,,,
PNG,,,,,,,,,,,2.5,,,,,,,
PER,,8.9,,,,10.7,,,,,7.1,,,9.8,,,,
PHL,,,,,,,,,2.2,,,,,2.9,,,3.9,
KOR,,,,,,,,,4.2,,,,,,,,,
MDA,,,,,,,,,,,9.3,,,,,,,
RWA,,,,,,7,,,,,6.3,,,,,7.1,,
STP,,,,,,8.7,,,,,,,,12.1,,,,
SAU,,,,,,,,,,,6,,,,,,,
SEN,,,,,,3.2,,,,,1.8,,,,,,2.9,0.6
SRB,,,,,,,,,,,18.2,,,,,14.7,,
SLE,,,,,,4.1,,,,,5.5,,,9.9,,10.6,,
SGP,,,,,,2,,,,,,,,,,,,
SOM,,,,,,,,,,,,4.5,,,,,,
ZAF,,,,,,,,,,,17.7,,,,,,,
SSD,,,,,,,,,,,,11.2,,,,,,
LKA,,,,,,1.2,,,,,,,1.5,,1,,,
SDN,,,,,,5.3,,,,,,4.4,,,,,,
SUR,,,,,,2.7,,,,,,3.4,,,,3,,
SWZ,,,,,,13.9,,,,,,10.9,,,,11.2,,
SYR,,,,,,,19.1,,,,,18.1,,,18.1,,,
TJK,,,,,,,,,,,6.2,,,,,,,
TZA,,4.2,,,1.8,,,,,4.3,,,,,,5,,
THA,,,,,,,,,,,,7.2,,,,,,
TGO,,,,2.1,,,,,,,,5.1,,,,1.2,,
TTO,,,,,,6.2,,,,,,,,,,,,
TUN,,,,,,,,,,,,9.2,,,,,,
TUR,,,,3.5,,,,,,7.5,,,,,,,,
UGA,4.6,,,,,4.5,,,,,,4.7,,,,,3.1,
UKR,,,,,,25.5,,,,,,,,,,,,
USA,,,,,,,6.9,8.1,,,,,,,,,,
URY,,,,,8.6,,,9.8,11,8.6,,,7.2,,,,7.6,
UZB,,18.8,,,,,,10.7,,,,12.5,,,,,,
VUT,,,,,,,,,,,,,4,,,,,
VNM,,,,,1.6,2.6,,2.3,1.9,2.2,2.3,2.6,2.5,2.5,,3.8,,
YEM,,,3.8,,,,,,5.3,,,,,,,,,
ZMB,,6,,,12.9,,,5.4,,,,,8.2,,,,,
ZWE,,,,,10.2,,,,,,8.7,,,,,5,,
AAE,13.8,,,4.8,,3.7875,,3.86667,,,4.78,,,3,3.5,6.075,,
ASA,,,,,,,6.9,8.1,,,,,,,,,,
ASE,,,,,2.36667,,,,,,,0.933333,,,,,,
EAM,13.8,,,4.8,,2.6,,2.3,,,2.5,,,2.5,2.6,3.8,,
NAN,,,,,,,6.9,8.1,,,,,,,,,,
SAM,,,,,3.3,,,,,,,0.6,,,,,,
EAE,8.73809,,,3.02245,,2.10684,,5.21337,,,3.3407,,,2.99836,2.76814,5.04355,,
NAE,,,,,,,6.22353,7.30586,,,,,,,,,,
SAE,,,,,2.51817,,,,,,,1.32739,,,,,,
# Series: OWC5FEIN,,,,,,,,,,,,,,,,,,
