ISO,1990,1995,2000,2005,2010
AFG,61.04,60.98,59.81,52.06,42.81
ALB,17,13.63,12.03,10.28,8.29
DZA,9.16,9.07,8.54,7.73,6.43
AND,5.71,5.56,4.74,4.05,3.66
AGO,110.43,86.62,61.24,46.33,37.63
ATG,0.79,0.61,0.4,0.29,0.26
ARG,0.13,0.11,0.08,0.07,0.05
ARM,17.12,15.25,12.07,10.23,8.48
AUS,0,0,0,0,0
AUT,7.21,6.71,6.86,6.21,5.08
AZE,16.11,16.48,9.92,6.96,5.46
BHS,4.56,2.22,0.8,0.54,0.5
BHR,23.04,25.38,24.01,22.56,16.57
BGD,72.71,57.02,53.7,50.96,58.27
BRB,0.61,0.52,0.37,0.35,0.31
BLR,15.84,10.72,6.74,3.48,1.82
BEL,9.26,8.44,7.07,5.77,4.57
BLZ,1.31,1.62,1.62,1.06,0.97
BEN,27.48,16.21,12,10,8.72
BTN,122.18,98.2,82.08,69.48,61.96
BOL,14.35,11.1,7.69,5.54,4.19
BIH,25.2,23.22,16.42,13.25,9.82
BWA,16.08,10.49,11,7.11,3.03
BRA,2.98,3.11,2.54,2.08,1.81
BRN,0.41,0.55,0.63,0.85,1
BGR,15.11,11.38,11.19,11.11,10.3
BFA,20.68,13.48,10.06,7.42,6.14
BDI,41.51,34.25,24.64,17.66,12.95
KHM,0.01,0.02,0.04,0.08,0.16
CMR,33.68,21.52,15.36,11.79,9.62
CAN,8.33,8.43,7.17,5.91,5.06
CPV,5.29,4.3,3.47,2.84,2.47
CAF,125.1,115.9,103.66,93.2,84.26
TCD,27.57,18.12,14.77,12.08,10.44
CHL,0.02,0.02,0.03,0.03,0.03
CHN,96.73,80.96,60.27,46.81,34.21
COL,1.51,1.51,1.32,1.08,0.92
COM,5.68,4.1,2.82,2.18,1.77
COG,43.62,43,32.02,24.69,19.6
CRI,1.08,1.07,1.03,0.81,0.7
CIV,26.33,15.56,11.08,8.97,7.51
HRV,10.96,9.95,8.99,7.92,6.57
CUB,7.22,8.4,7.97,7.59,6.39
CYP,12.05,11.77,9.71,7.07,5.69
CZE,8.49,4.81,4.23,4.27,3.63
PRK,80.73,82.09,77.98,75.58,73.15
COD,50.4,40.98,31.94,25.16,21.96
DNK,15.69,17.61,16.88,11.66,8.57
DJI,9.83,9.5,8.67,7.1,6.09
DMA,1.08,0.78,0.58,0.57,0.58
DOM,3.38,3.55,2.68,3,3.27
ECU,0,,,,
EGY,57.08,42.74,34.28,29.41,22.77
SLV,5.91,5.24,3.95,3.74,3.92
GNQ,40.46,29.34,14.77,10.2,8.41
ERI,20.48,14.34,9.41,8.33,7.96
EST,3.11,2.14,1.32,0.95,0.52
ETH,22.45,16.56,7.47,5.34,3.77
FJI,0.11,0.13,0.13,0.11,0.11
FIN,2.25,1.7,1.34,1.03,0.75
FRA,6.27,5.64,3.8,2.4,2.06
GAB,15.07,12.79,11.62,10.36,8.25
GMB,13.98,8.69,5.98,4.46,3.46
GEO,6.43,3.63,3.09,6.61,6.68
DEU,8.26,6.75,6.04,5.05,4.49
GHA,22.8,18.29,13.94,11.28,9.52
GRC,10.79,8.68,8.66,7.55,6.92
GRD,1.04,0.74,0.6,0.66,0.46
GTM,11.1,9.2,7.53,5.94,5.73
GIN,35.15,20.05,13.32,10.52,9.35
GNB,22.26,13.76,9.96,7.85,6.21
GUY,0.01,0,0,0,0
HTI,5.36,4.65,4.05,3.46,3.08
HND,6.02,5.94,5.81,5.38,4.84
HUN,19.89,16.17,12.8,13.25,10.81
ISL,2.46,2.56,2.71,2.66,2.27
IND,189.12,176.68,150.19,124.09,128.63
IDN,2.56,2.45,2.25,2.1,1.92
IRN,11.07,9.77,9.72,8.87,7.6
IRQ,19.62,20.42,18.83,17.78,16.32
IRL,13.05,12.13,10.07,7.13,5.78
ISR,17.71,12.59,11.71,9.31,7.24
ITA,11.37,9.29,7.82,6.35,5.81
JAM,2.29,2.13,1.95,1.37,1.44
JPN,4.89,3.38,2.43,2.1,1.94
JOR,26.33,21.87,16.31,14.49,12.58
KAZ,21.78,22.15,16.61,12.8,8.52
KEN,3.86,2.88,1.91,1.23,0.62
KWT,4.48,6.41,5.23,4.72,5.57
KGZ,66.96,67.17,46.14,34.94,22.35
LAO,4.09,4.68,4.92,5.32,5.47
LVA,3.85,2.81,1.31,1.05,0.65
LBN,23.54,20.22,15.53,12.47,10.21
LSO,17.56,17.43,19.82,23.25,21.61
LBR,54.25,49.21,38.45,29.07,24.23
LBY,13.5,11.67,11.28,10.04,8.93
LTU,9.82,6.92,3.67,2.36,1.25
LUX,9.02,8.66,7,6.58,5.64
MKD,19.45,14.5,8.84,7.12,5.24
MDG,4.57,3.77,2.67,1.93,1.48
MWI,23.31,22.04,19.44,16.16,10.78
MYS,1.76,3.04,4.03,4.54,5.95
MDV,21.12,16.27,14.12,12,12.2
MLI,21.79,16.86,13.04,10.02,8.48
MLT,7.52,6.38,7,5.4,3.86
MHL,0.01,0.02,0.02,0.02,0.02
MRT,9.66,5.9,4.21,3.39,2.9
MUS,0.93,0.74,0.65,0.44,0.36
MEX,16.17,15.19,14.49,13.43,11.9
FSM,0,0,0,0,0
MNG,10.8,11.53,10.02,7.52,5.62
MNE,1.23,1.19,1.11,0.73,0.53
MAR,7.42,6.64,5.59,4.84,4.14
MOZ,11.54,9.79,7.55,7.49,6.66
MMR,60.39,53.24,44.04,35.52,30.3
NAM,37.52,35.76,38.75,35.35,19.16
NPL,126.71,109.49,93.14,83.4,79.28
NLD,9.25,9.29,8.64,7.02,5.38
NZL,0.02,0.02,0.02,0.02,0.02
NIC,1.56,1.3,1.23,1.31,1.26
NER,21.89,13.21,9.16,7.19,6.02
NGA,32.01,19.66,14.86,11.49,9.2
NOR,3.29,4.2,5.2,4.92,4.52
OMN,4.38,4.02,4.28,4.24,4.9
PAK,37.39,43.22,39.74,33.51,29.26
PAN,1.15,0.9,0.61,0.56,0.65
PRY,5.9,4.71,3.07,2.37,1.89
PER,0.02,0.01,0.01,0,0
PHL,0.97,1.11,1.15,0.93,1.33
POL,12.44,8.97,5.42,4.56,3.76
PRT,8.45,7.28,6.5,4.74,3.97
QAT,18.03,18.8,13.13,8.73,5.45
KOR,5.89,3.8,2.99,2,1.42
MDA,27.13,25.15,14.53,11.35,6.97
ROU,29.76,18.04,9.02,5.83,4.07
RUS,7.87,7.6,4.7,3.53,2.09
RWA,34.18,22.47,9.96,4.47,2.71
LCA,1.55,1.14,0.9,0.7,0.69
VCT,0.57,0.44,0.26,0.22,0.21
STP,15.96,13.55,9.16,6.67,5.8
SAU,11.74,10.91,9.6,7.18,5.46
SEN,9.05,5.69,4.14,3.29,3.04
SRB,12.18,11.58,9.62,7.89,5.49
SYC,0.01,0.01,0.01,0.01,0.01
SLE,27.39,17.01,12.94,9.89,8.1
SGP,8.66,5.94,3.87,2.78,2.44
SVK,5.74,3.76,3.84,3.58,3.25
SVN,9.44,9.62,8,5.69,4.07
SOM,5.97,5.38,4.34,3.65,3
ZAF,14.1,12.86,13.03,9.74,6.44
ESP,9.94,8.09,6.33,4.6,3.76
LKA,4.69,8.84,9.95,8.65,7.66
SDN,16.88,12.65,8.76,7.15,6.08
SUR,0.06,0.03,0.02,0.01,0.01
SWZ,15.42,14.72,20.25,30.2,23.88
SWE,2.46,2.7,2.79,2.47,1.8
CHE,6.91,7.05,6.4,4.93,3.81
SYR,26.36,20.16,16.46,11.36,7.09
TJK,53.7,47.32,30.47,25.68,22.38
TZA,9.84,8.56,6.97,5.34,3.73
THA,0.58,1.05,1.13,1.02,1.18
TLS,2.54,2.07,1.44,1.07,0.79
TGO,38.88,23.79,16.44,12.61,10.3
TON,0.52,0.5,0.53,0.44,0.37
TTO,0.69,0.64,0.48,0.35,0.3
TUN,14.32,13.31,11.23,10.67,9.66
TUR,25.43,25.11,21.44,19.35,16.71
TKM,33.42,28.53,25.74,20.09,15.47
UGA,17.4,13.41,10.25,7.58,5.53
UKR,20.84,18.32,11.27,7.44,4.35
ARE,42.01,44.54,41.11,32.03,29
GBR,8.76,8.03,7.73,7.23,6.3
USA,25.89,25.71,24.18,21.01,17.04
URY,0.05,0.06,0.05,0.04,0.03
UZB,31.46,29.81,21.15,13.12,10.9
VUT,0.62,0.56,0.41,0.39,0.35
