ISO,1990,1995,2000,2005,2010
AFG,49.65,47.6,46.41,44.15,39.99
ALB,31.7,26.21,24.36,21.68,17.85
DZA,17.86,20.33,19.53,15.78,11.99
AND,17.7,15.24,13.13,11.5,9.18
AGO,174.91,133.45,105.62,88.8,79.64
ATG,1.47,1.35,0.93,0.73,0.8
ARG,0.4,0.34,0.28,0.21,0.14
ARM,58.68,59.41,43.38,35.18,30.64
AUS,0,0,0,0,0
AUT,23.26,19.61,18.08,14.96,11.58
AZE,40.39,43.23,21.63,15.73,13.44
BHS,10.61,7.01,3.08,1.82,1.88
BHR,34.14,32.23,32.55,34.84,28.52
BGD,70.09,58.22,63.85,64.65,76.29
BRB,2.03,1.42,0.97,0.8,0.71
BLR,61.67,51.65,38.05,23.33,13.04
BEL,36.48,30.25,23.05,15.37,11.77
BLZ,2.86,3.38,4.29,2.97,2.81
BEN,61.6,39.11,31.88,27.53,25.06
BTN,139.37,119.33,109.81,106.75,103.81
BOL,12.11,9.53,7.38,5.29,4.1
BIH,48.75,52.06,33.09,27.02,19.04
BWA,39.86,24.72,17.33,11.15,9.99
BRA,5.94,6.01,4.99,4.12,3.62
BRN,0.68,1,1.27,1.4,1.69
BGR,39.52,33.13,30.17,32.25,28.34
BFA,31.15,17.79,14.28,12.18,10.92
BDI,47.97,41.44,25.7,18.36,13.13
KHM,0.01,0.02,0.04,0.12,0.3
CMR,63.32,37.42,28,23.58,20.8
CAN,21.39,17.32,12.9,9.2,7.2
CPV,22.59,19.3,15.86,13.89,12.47
CAF,231.07,205.8,177.37,171.32,167.57
TCD,34.51,20.86,17.37,15.15,13.92
CHL,0.05,0.04,0.05,0.05,0.06
CHN,122.98,109.98,89.1,74.83,60.74
COL,2.5,2.37,2.17,1.83,1.6
COM,5.54,4.03,2.56,2.01,1.7
COG,82.75,79.33,59.86,50.06,45.06
CRI,1.37,1.45,1.52,1.35,1.2
CIV,61.86,41.07,34.07,28.5,22.4
HRV,36.63,30.86,27.75,24.75,17.84
CUB,9.42,10.99,10.23,9.55,8.48
CYP,26.61,24.07,21.06,14.97,13.09
CZE,33.02,17.37,13.59,12.32,9.86
PRK,120.68,125.92,126.31,126.64,126.11
COD,57.05,47.23,40.94,39.09,38.62
DNK,24.15,23.13,19.59,13.67,9.89
DJI,9.32,8.65,6.91,6.25,5.74
DMA,2.38,2.08,1.63,2,2.37
DOM,6,5.51,4.83,5.46,5.74
ECU,0,,,,
EGY,89.69,67.3,57.89,53.39,43.31
SLV,7.65,6.94,4.6,4.24,4.02
GNQ,72.44,47.29,29.6,22.62,19.59
ERI,18.04,14.38,10.51,9.36,8.95
EST,15.74,12.94,8,6.41,3.47
ETH,90.75,66.19,42.71,31.46,23.35
FJI,0.19,0.21,0.22,0.19,0.2
FIN,10.65,7.51,5.55,3.87,2.36
FRA,20.17,16.56,11.98,7.69,6.25
GAB,38.98,34.17,29.46,27.01,22.91
GMB,25.42,14.55,10.45,8.72,7.22
GEO,23.56,13.26,12.59,24.91,28.08
DEU,31.7,22.56,16.13,11.77,9.23
GHA,19.65,18.24,14.44,16.33,15.65
GRC,19.7,17.22,16.66,14.08,13
GRD,1.73,1.42,1.61,1.77,1.29
GTM,13.19,12.13,10.16,8.24,7.83
GIN,41.76,23.85,18.28,15.77,15.13
GNB,35.53,19.59,14.2,12.88,11.55
GUY,0.02,0.01,0,0,0
HTI,6.33,5.7,5.09,4.48,4.72
HND,6.74,6.56,6.29,5.94,5.52
HUN,63.38,49.85,35.46,34.11,26.47
ISL,2.72,2.92,2.99,2.87,2.81
IND,210.64,192.16,167.43,148.83,175.51
IDN,4.93,5.29,5.56,5.66,5.65
IRN,22.17,19.41,18.79,17.22,15.44
IRQ,23.41,22.44,19.89,18.86,18.54
IRL,27.42,23.81,18.72,12.12,9.65
ISR,32.95,25.28,24.11,20.07,15.12
ITA,45.26,35.17,27.08,19.9,15.52
JAM,4.64,3.71,4.2,4.34,5.12
JPN,12,9.88,7.79,6.82,6.23
JOR,58.93,47.46,33.62,27.7,25.68
KAZ,73.31,80.58,60.52,48.27,30.28
KEN,4.31,3.01,1.81,1.32,0.84
KWT,9.03,10.94,9.36,9.77,10.13
KGZ,156.01,167.31,120.05,93.82,65.27
LAO,3.53,4.41,5.12,6.12,6.94
LVA,22.43,18.28,8.19,6.68,3.88
LBN,27.94,22.19,17.53,14.55,12.41
LSO,47.53,50.96,55.22,62.02,61.74
LBR,60.14,47.96,38.53,31.28,28.35
LBY,22.08,17.88,17.7,18.45,16.92
LTU,44.56,33.58,20.01,15.7,8.36
LUX,30.67,25.32,18.83,13.89,9.13
MKD,34.67,26.99,18.77,15.07,11.77
MDG,5.79,4.41,2.91,2.16,1.7
MWI,28.06,27.24,23.63,21.83,16.42
MYS,3.19,6.51,9.14,11.46,15.6
MDV,7.89,7.47,7.47,8.48,8.69
MLI,33.14,25.49,21.18,18.71,17.42
MLT,41.26,38.27,36.71,30.3,25.46
MHL,0.03,0.03,0.03,0.03,0.05
MRT,11.97,7.21,5.52,5.11,4.88
MUS,2.78,2.07,1.69,1.33,1.22
MEX,28.89,25.01,23.96,21.74,20.41
FSM,0,0,0,0,0
MNG,20.53,22.06,18.66,18.65,13.79
MNE,5.51,5.12,4.35,3.13,2.57
MAR,14.71,14.04,13.36,12.81,11.57
MOZ,8.4,8.59,7.81,8.45,7.52
MMR,38.39,37.96,36.56,34.37,32.91
NAM,83.38,80.06,79.76,73.9,49.28
NPL,97.46,86.75,78.26,71.77,71.57
NLD,30.73,25.25,19.28,12.66,8.51
NZL,0.03,0.03,0.03,0.02,0.03
NIC,2.25,2.11,2.06,2.28,2.13
NER,26.96,13.31,9.18,7.89,7.21
NGA,41.07,21.66,14.94,12.12,11.13
NOR,7.68,7.92,8.08,6.87,6.21
OMN,10.49,10.52,10.69,11.06,10.47
PAK,93.5,93.56,92.47,90.9,95.82
PAN,2.08,1.82,1.15,1.08,1.33
PRY,6.56,5.53,4.74,4.47,4.31
PER,0.02,0.01,0.01,0,0
PHL,2.2,3.08,3.74,3.16,4.45
POL,55.73,39.78,22.48,18.44,13.85
PRT,26.11,22.99,19.8,15.14,12.13
QAT,16.54,17.85,12.76,9.82,6.92
KOR,12.76,10.16,8.66,6.36,4.5
MDA,83.26,80.01,45.85,37.36,26.73
ROU,79.78,56.25,29.08,20.73,15.85
