ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,,,,,,,,,,,49.37,,,,,45.83,,,
ALB,,89.08,72.56,,,,54.95,,,,48.73,,,,50.77,,,,53.31
DZA,,,65.6,,,,,46.17,,,,,35.51,,,,,43.14,
AND,,,81.59,,,,81.64,,,,80.38,,,,75.34,,74.12,,
AGO,,,,,,,,,,,,,,87.36,,,,62.75,
ATG,,,,,63.6,,,,,91.19,,,,,80.27,,,,
ARG,80.96,,,78.22,80.54,,75.21,,,,70.94,,73.13,,72.39,,79.39,,77.17
ARM,53.91,,,,51.72,,,,55.18,,,,59.99,,,,,62.87,
AUS,,95.77,,94.99,,,94.85,,,94.32,,,94.76,,,93.22,,,93.23
AUT,85.98,,,,80.42,,,84.27,,,,78.49,,78.81,,,,,74.91
AZE,86.05,,,,,67.99,,,,,40.47,40.47,,,,49.76,,,
BHS,,,91.71,,,,,90.03,,,,,92.13,,,,,90.78,
BHR,,,,,,,,53,,,,73.6,,,,67,,,
BGD,,75.6,,,,,74.97,,,,,,,85.26,,,,,
BRB,,,,,63.1,,,,56.88,,,,,63.54,,,,,65.05
BLR,56.4,,,,,61.08,,,,90.14,,,,76.74,,,,74.2,
BEL,91.15,,,,90.57,,,,91.63,,,,91.08,,,89.22,,,
BLZ,,,,90.1,,,,,79.52,,,,,77.18,,,,73.18,
BEN,75.8,,,,70.11,,,,55.9,,,,58.69,,,,,,
BTN,,,,,,,,,,,,,54.87,79.45,,,,,66.13
BIH,,46.06,,70.74,,63.7,,55.45,,,,54.94,,,,56.49,,,
BWA,,,,,77.11,,,,,76.2,,,,,76.71,,,,
BRA,,,,78.51,,,,68.72,,,,83.27,,,,81.88,,,
BGR,,,58.87,,,,66.63,,,,55.76,,,,60.64,,,,52.49
BFA,,,44.53,,,,,64.14,,,,,56.43,,,,,75.96,
BDI,,,,,,,,,,,77.23,,,,,66.68,,,
KHM,,,,93.74,,,,,83.22,,,,,75.21,,,,,68.49
CMR,,,75.6,,,,,65.66,,,,,62.01,,,,,,76.79
CAN,,,67,,,61.18,,,,60.91,,64.94,,59.52,,,61.41,,
CPV,76.52,,,,,,54.14,,,,,54.18,,,,,76.01,,
CAF,,,,58.45,,,,,,,72.65,,,,,,61.16,,
TCD,,,50.14,,,,,52.4,,,,,,,,,56.6,,
CHL,,,87.32,,,,87.11,,,,87.67,,,,87.67,,,,49.25
COL,,,,45,,,,42.45,,,,40.49,,,,43.75,,,
COG,,,,,,,,69.36,,,,,,,,,,,
COK,,,,,88.96,,,,,,,86.95,,,,82.81,,,
CRI,,,,69.99,,,,68.84,,,,65.13,,,,69.11,,,
CIV,,,,,,31.54,,,,,,,,,,,36.56,,
HRV,68.79,,,,,76.55,,,61.65,,,,59.58,,,,54.17,,
CUB,,,,98.35,,,,,97.64,,,,,96.89,,,,,90.88
CYP,,90.13,,,,,91.75,,,,,89,,,,,78.7,,
CZE,,76.29,,74,,,,57.95,,,,64.47,,,,62.6,,,59.48
COD,,,,,,,,,,,,70.29,,,,,59.05,,
DNK,,,,85.95,,,87.15,,,,84.54,,86.59,,,,87.74,,
DJI,,,56.83,,,,,,48.42,,,,,72.61,,,,,69.16
DMA,65.18,,,,,60.17,,,,,59.09,,,,54.87,,,,
DOM,,78.57,,52.97,,,,51.05,,,,56.46,,,,56.43,,,
ECU,,67.87,,47.25,,,,63.51,,,,63.5,,,75.72,,,,80.84
EGY,47.99,,,,,,,,,,28.13,,,,,27.47,,62.04,
SLV,,,89.18,,,38.07,,,28.42,,,52.56,,,53.58,,,,
GNQ,,,,,94.94,,,,,96.45,,,,,,,,,
EST,68.91,,,,57.43,,,,58.24,,,,61.91,,,,63.53,,
ETH,94.05,,,,,90,,,,,82.6,,,,,93.44,,,
FJI,,,,,89.41,,81.05,,,,,64,,,,,,,
FIN,68.58,,,,65.27,,,,66.71,,,,65.02,,,,67.37,,
FRA,,,67.96,,,,,60.32,,,,,59.98,,,,,55.4,
GAB,,,,,,,,,,,,,,,,,34.28,,
GMB,,,73.21,,,,,56.38,,,,,41.7,,,,,19.44,
GEO,68.18,,,,67.87,,,,60.06,63.93,,,,53.39,,,,59.76,
DEU,,,,82.2,,,,79.08,,,77.65,,,,70.78,,,,71.55
GHA,,65,,,,61.19,,,,85.12,,,,69.52,,,,80.01,
GRC,,76.34,,,,74.97,,,,76.62,,,74.14,,70.92,,,62.47,
GRD,61.78,,,,56.67,,,,57.42,,,,,80.3,,,,,87.73
GTM,46.8,,,,40.39,,,,54.5,,,,60.46,,,,69.38,,
GIN,61.86,,,,,,,71.98,,,,,,,,,,,63.53
GNB,,,,,80,,,,,74.37,,,,82,,,,,
GUY,,,88.42,,,,91.73,,,,,68.82,,,,,72.89,,
HTI,31.09,,,,,59.99,,,,,,28.31,,,,,,,
HND,,,71.83,,,,66.31,,,,45.97,,,,50.05,,,,61.16
HUN,,,,57.01,,,,70.52,,,,67.57,,,,64.38,,,
ISL,87.38,,,,84.07,,,,87.7,,,,83.6,,85.12,,,,81.44
IND,,57.94,,61.97,59.99,,,,,58.07,,,,,58.17,,,,
IDN,,,88.93,,93.3,,,,,84.09,,,,,70.99,,,,
IRN,,0,,,,,,,,,,,,49.47,,,,64.2,
IRQ,,,,,,,,,,,79.63,,,,,64,,,
IRL,,,65.92,,,,,62.57,,,,,67.03,,,,70.05,,
ISR,,79.32,,,78.73,,62.29,,67.81,,,63.55,,,64.72,,,67.77,
ITA,,82.91,,,,,81.44,,,,,83.62,,80.54,,,,,75.19
JAM,,,65.42,,,,,59.06,,,,,60.4,,,,53.17,,
JPN,,59.65,,,,60.62,,,59.8,,67.46,,,,69.27,,,59.32,
JOR,,,47.45,,,,,,57.75,,,,54,,,53,,,56.5
KAZ,80.73,,,,62.56,,,,,56.49,,,68.41,,,,,75.44,
KEN,,,65.45,,,,,57.18,,,,,69.09,,,,,,85.91
KIR,,,,,,,,,,,,,67.54,,,,,,
KWT,,80,,,,,,,,,,91.92,,59.41,59,,,59.53,51.9
KGZ,61.1,,,,,64.41,,,,,59,,75.2,,,56.59,,,
LVA,71.9,,,71.9,,,,71.17,,,,60.98,,,,64.72,59.49,,
LBN,,43.14,,,,44.97,,,,,46.47,,,,53.98,,,,
LSO,,,,71.83,,,,66.69,,,,,49,,,,,50.04,
LBR,,,,,,,,,,,76.49,,,,,,71.64,,
LBY,,,,,,,,,,,,,,,,,,61.58,
LIE,,,86.94,,,,86.72,,,,86.47,,,,84.63,,,,79.8
LTU,,52.92,,,,58.18,,,,40.21,,,,32.37,,,,35.91,
