ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,56.9,60.1,,,,,,,,,,
DZA,,,,,,,,,,50.4,,,,,,,52.9,
ATG,,,,,,,,15.8,,,,,,,,,,
ARG,,,,,,,,40.9,39.5,38.2,37.2,35.1,,,,24.5,22.6,35
ARM,,,,,,,,,,,,,10.6,8.8,8.7,8.2,7.8,
AUS,34.9,,40.5,38.3,,29.4,35.6,33.5,32.6,31.2,31,29.4,28.3,27.3,,,,
AUT,27,25,23,22.2,21.7,20.9,19.9,19.5,19.1,17.6,17.8,18.6,19.4,18.3,17.4,16.8,16.8,16
AZE,,,,,,,,,,,,,3.6,2.9,,,12.8,12.8
BHS,20.9,25.1,20.7,21.2,,,14.4,12.5,,,,8.8,,,,,14.9,
BHR,,,,,,,,,,,,,,,,28.5,,
BRB,,,20.1,,,,,,14.8,,,,,,,,,
BLR,,,,,,,,,,,,,,,3.3,,,
BEL,34.4,32.3,31.3,33.1,33.3,32.1,30.6,29.7,29.1,27.6,25.7,25.1,24.2,22.8,21.7,22.4,21.5,20.9
BLZ,54.6,42.2,55.2,52.8,53.4,,,,,,42.4,,,,,,,
BOL,,37.2,48.3,,,46.4,,,,,44.7,,,39.8,37.7,,,
BIH,,,,,,,,,,,,25.3,24.2,24,22.9,20.6,20.7,20.4
BWA,,63.4,,,,,,,,,,55.9,,,,,,
BRA,15,16.4,16.3,17.1,17.6,,,,,,,42.4,41.1,,,,37,
BGR,30,27.6,27.3,,,24.6,21.7,21.7,21.1,21.5,19.9,17.5,16.3,16.4,15.9,14.6,13.8,13.3
KHM,,,,,,,,,,,,,,,26.1,26.5,27.3,28
CAN,21.8,20.8,19.8,19.3,18.8,18,17.1,16.7,15.9,15.4,14.6,14.5,13.8,13.5,,,,
CHL,,,,,,,,,,,,24.8,24.4,24,,,22,
COL,,26.5,24.4,23.9,,,,,,,32.1,,30.1,46.4,30.7,45.8,28.5,
CRI,50.5,64.5,63.9,47.6,62.8,64.1,60.2,59,57.5,57.3,41.2,,39.2,38,37,38.3,37.5,
HRV,,,,23.7,,,21.5,21.8,22.6,21.8,20.5,18.8,17.9,18,17.4,17.1,16.8,14.6
CUB,,,,,,,,,,,,35.3,33.3,33,,,,
CYP,,,,,34,33.4,32.2,30.4,30.6,31.8,29.1,26.6,24.3,23.2,24.3,23.6,21.9,19.1
CZE,12.6,11.5,,10.4,10.1,10.3,10.3,8.8,8.2,7.9,7.2,7.2,7.1,6.8,6.5,6,5.6,5.6
DNK,20.9,24.6,24.2,23.3,22.2,22,18.4,18.5,21.5,20.7,20.7,20.7,27,27.9,27.1,25.8,24.6,23.2
DMA,,,67.9,,,,,,,,,,,,,,,
DOM,,37.3,37.6,,,38.3,,,,,44.1,43.2,41.9,,,,39.2,
ECU,,,,,,,30.7,32.4,31.5,32,31.1,31.4,42.4,50.9,41.7,48.9,37.7,
EGY,,,,,,,,,,,,,,8.5,9.5,10.3,10.4,
SLV,,40.6,,,,,,,,,53.9,,53.4,18.7,1.8,52.6,24.6,
EST,15.7,,12.8,12.9,12.8,12.5,12.4,11,11.2,11,9.9,11,10.5,11.1,10.5,9.8,10.3,9.7
ETH,,,,,20.7,,,,,,,,,,,,,
FIN,29.6,28.3,26.2,26.3,26.4,24.9,24.4,23.8,22.8,21.2,19.6,19,18.2,17.9,16.8,16,15.4,14.6
FRA,34.2,34.8,33.6,34,33,31.8,30.7,29.8,29.3,29,28.1,27.5,26.4,25.1,24.6,24.2,23.6,22.8
GEO,,,,,49,,,47.5,,11.1,,,9.5,,8.3,8,,
DEU,16.1,18.3,17.4,,18.3,17.2,16.8,16.4,16.1,15.5,17.7,17.9,16.9,15.9,15.5,14.9,14.1,14
GRC,51.2,49.6,48.3,45.6,43.1,42.1,41.6,40.1,38.6,34.9,34.1,35.9,35.3,34.4,34.4,33.1,31.3,29.7
GTM,,,,,,,,,,56.6,,55.1,,,,43.8,47.6,
GIN,,,,27.5,,,,,,,,,,,,,,
GUY,,,,,,,,,,,,,42.7,42.8,41.2,41.5,,
HND,,,,,,,,,,,,,,,,,50.6,
HUN,,,23.9,20.1,16.1,18.4,18.3,17.6,16.3,15.4,15.3,14.6,14.1,14.1,13.7,13.6,13,12.8
ISL,,,,,47.9,49.7,48.7,45.5,44.1,43.1,40.5,31.5,41.4,40.9,38.9,38.5,33.9,32.9
IND,,,,,,11.6,,,,,29.3,,,,,14.4,,
IDN,,52.6,,50.6,27.5,53.2,53.2,54,57.7,56.4,57.6,55.1,55.7,53.5,,,,
IRN,,29.6,,,,,,,,,50.2,,57.3,54.3,,,,
IRL,43.7,41.4,41.5,,35.1,33.3,31.7,31.3,29.9,29.1,27.9,26.1,25,23.6,21.8,20.7,20.2,19.2
ISR,,18.9,,17.4,16.2,16.5,15.9,15.3,14.4,14.1,14,13.8,13.2,12.7,,,,
ITA,54.5,52.6,50.8,49.3,47.5,45.2,47.6,46.8,44.7,42.5,41.2,40.2,39.3,38.4,37.4,36.5,36,35.4
JPN,,20.5,19.7,19.3,18.6,17.2,16.8,63.5,62.8,,60.5,57.7,49.4,58.6,,,,
JOR,,,,,,52.3,53.7,51.6,52.3,53.1,50.3,50.5,47.8,49,49.8,49.1,47.9,48.2
KAZ,,,,,,,,7.9,6.7,6,,,,,,,,
KWT,43,,,,,,,,25.2,,24.1,,,,,,28.9,
KGZ,,,,,,,,,,,23.9,23.7,,,,,,
