ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,93.4322,,,91.2318,,,95.3583,93.3643,94.3883,95.4426,97.8856,99.1443,
DZA,81.3738,83.2257,86.7842,92.9278,93.144,95.4299,95.5669,95.5689,95.4218,95.1297,92.1705,94.6823,94.6924,,97.1044,95.1326,94.5528,
AGO,,,,,,,,,,,,,,25.7306,26.8638,,,
ARG,,,78.4754,91.9145,91.2782,93.2831,91.6283,82.1105,96.723,88.7422,95.8756,97.1479,99.4278,94.0752,95.8567,95.04,,
ARM,,,,,,,,95.5704,96.4129,98.7371,98.1034,97.3562,,,97.7627,95.9884,95.3413,
AUT,,,,97.9603,,,,97.8622,99.259,97.3895,97.9536,98.959,98.6063,99.0829,98.2325,100,100,
AZE,83.3019,,,97.8769,97.7993,92.8094,98.3046,95.2082,99.8637,98.1151,93.5923,99.9189,98.4449,96.6606,97.5029,95.6248,98.8642,
BHS,,,,,,,,,,,84.301,,91.9681,87.4181,87.715,,,
BHR,81.377,83.4659,,92.8377,91.2736,91.9493,97.4186,,98.6961,96.911,,,,,97.4581,98.1822,96.5091,
BGD,,,,,,,,,,,,,,66.071,70.6372,,,
BRB,,,,,90.4279,,,,97.7059,,,,,,,,,
BLR,98.4689,100,,99.1891,99.4483,99.1047,96.1621,99.3154,,98.3249,100,99.2626,100,,,99.6074,99.3376,
BEL,,,,,,,,,,,94.454,94.5612,88.4386,94.7451,98.3248,94.3047,,
BLZ,60.3407,63.1405,,,73.474,,,,,,92.6189,86.1171,90.0096,96.194,91.4336,88.7521,,
BEN,27.0414,26.979,26.2778,,,66.3663,63.0427,54.94,63.3103,,,,,,51.3524,52.9566,57.7764,
BTN,,,,79.0005,85.8254,85.2373,,,,,87.7407,,,94.8598,91.694,93.4258,98.6957,
BOL,54.0254,55.6421,58.065,74.7053,77.3856,72.196,80.3361,77.6361,,,,79.5878,82.4493,80.1077,84.5791,86.24,,
BIH,,,,,,,,,,,,,,,98.4149,79.9999,83.6339,
BWA,,81.849,,86.8567,85.546,88.052,86.1518,87.548,87.5814,87.9033,88.8639,,,94.6768,,,,
BRN,,,,,,,,,95.1254,97.0051,96.8327,96.9189,96.1823,,96.3272,,95.1028,
BGR,88.0778,88.5307,93.6759,90.5046,93.2534,94.7199,92.8247,93.6456,94.2528,93.2095,94.6079,94.3458,94.1452,93.5461,97.103,96.4503,,
BFA,,43.8999,,61.3303,63.4234,63.3935,61.2966,68.5542,71.3195,70.1614,66.1809,73.8425,70.6811,71.5386,66.5994,,72.7854,
BDI,,,,,,53.641,54.596,66.6336,57.7618,65.5174,,68.453,63.8944,,61.0761,54.4852,47.2705,
KHM,34.9125,,11.1296,42.9291,,53.0786,61.9833,55.8619,54.6746,58.3707,56.7545,55.7698,57.3307,,,62.0034,68.5369,
CMR,,,,,,,,,,,,60.5248,56.0954,69.004,65.3839,57.2767,70.4498,
CAN,,,,99.13,98.867,,,,,,,,,,,,,
CPV,,,,,,,91.2693,82.8664,89.2206,,90.1569,,86.9853,,,89.0824,,
CAF,,,,,,,,,,,,,,40.6963,38.8665,43.9173,45.3539,
TCD,13.1305,12.8886,11.908,40.6781,42.0172,40.462,42.1285,44.3013,,23.5382,25.0197,,,,27.0282,47.0787,34.6777,
CHL,,,79.3498,99.0736,98.1217,,,96.2248,97.3449,,,,,,,97.6269,99.3584,
CHN,,74.8447,79.8378,,,,,,,,,,,,,,,
COL,62.8788,60.8015,,72.1965,69.3015,,,,,83.6439,84.755,89.2309,,,85.1106,87.1127,87.0393,
COM,,,,40.6293,,,,,,,,,,,,,,
COG,,51.3025,,,,,,57.402,,,,,70.5366,,,,,
CRI,74.3753,76.9098,,,90.2412,91.5042,89.9005,,,86.521,91.647,85.6359,95.5787,95.6091,90.0319,92.5138,89.7123,
CIV,47.9632,48.3165,42.8338,,56.4494,83.9697,,,,,,66.5255,,59.3737,,,79.3766,
HRV,95.1407,,,99.5437,99.7159,99.1865,99.4012,100,,,99.7742,99.6441,98.9183,99.2522,99.5997,98.7677,,
CUB,,,,,95.6638,96.4853,97.2957,96.9948,96.2145,97.7342,97.9382,97.1364,97.0255,95.4868,96.138,96.0842,97.5995,
CYP,,,,,96.2937,98.7373,,98.6446,97.2536,97.7138,99.6595,98.7767,96.7721,,,,,
CZE,,,,,98.6169,98.678,98.9186,98.1255,98.5866,98.6811,99.2003,98.5426,98.853,99.7981,99.0695,99.2305,99.3825,
COD,,,,,,,,,,,,,73.2051,,51.133,48.5172,65.8402,
DNK,,,,99.7713,99.8758,99.9357,,,,91.2135,,,98.775,99.5117,99.168,,,
DJI,,,,,,,,,,,,,,,,,,70.7839
DMA,,,,,,,,82.789,80.1734,,,84.8223,88.6007,,90.3863,95.976,85.9107,
DOM,,,,73.7359,75.1956,,,,,,,,,,,,82.6786,
ECU,68.6505,68.1553,69.2881,76.0078,74.8719,77.4871,76.8024,72.7868,73.2322,76.6572,76.2163,82.0444,,,,92.9025,93.0074,
EGY,,,,,99.4787,99.2419,95.2208,98.1015,98.9687,,94.2491,,,,96.6295,,,
SLV,55.3046,49.0354,,60.553,62.1709,67.353,67.4154,72.7387,,,69.5722,70.9112,77.7065,78.075,86.9622,86.108,85.6223,
GNQ,,,,,,,,,,,,,,56.2557,64.3294,58.2955,72.057,
ERI,,,,,91.45,60.1501,,82.08,73.4142,74.1344,69.5938,60.9777,68.6332,71.9647,66.8827,,,
EST,81.1837,85.5342,,97.1651,99.2524,97.9251,98.4197,98.0154,98.0468,98.7533,96.9386,96.7319,97.525,98.6018,97.6327,,,
ETH,23.3605,20.3381,,46.0388,53.9732,63.3116,53.595,46.8616,47.3644,63.279,64.9346,59.1563,45.6092,41.3682,37.5289,41.6308,39.6148,
FJI,,,,89.3788,82.0079,90.854,89.0514,,91.6004,,,,,88.34,,,,
FIN,,,,99.4922,99.3248,100,99.5979,99.8952,99.8477,99.9979,100,99.4561,99.7967,99.2776,99.9115,99.3672,,
GAB,,45.6718,49.0318,,,,,,,,,,,,,,,
GMB,41.5051,44.4988,40.4395,,66.2182,75.0141,56.2418,,76.238,65.2229,61.8378,,72.1419,86.5981,55.9861,65.9851,81.8825,
GEO,,,,,99.754,100,94.1269,90.0959,89.732,88.7064,,,96.1039,94.3843,98.5973,,89.0498,
DEU,92.5444,94.2184,96.8509,,99.4242,99.678,99.1993,99.055,99.3512,99.3466,98.4171,97.9865,96.0885,,96.7848,96.9556,,
GHA,,,,,,57.9717,84.5727,64.7431,,,,,,68.6951,,,,
GRC,,,,,,,,,,98.9859,99.1033,97.1508,,,,,,
GTM,,35.6169,,,54.0084,48.6518,58.8014,,,60.7514,61.9629,61.7449,64.0472,78.8261,67.8988,70.6849,,
GIN,,,,,,,,,69.1581,67.3306,70.4223,71.3424,49.4996,56.5408,56.1608,,54.0867,
GUY,75.7571,,,,,68.9203,,,,,,,,81.5907,,,94.7176,
HTI,,,29.0575,,,,,,,,,,,,,,,
HND,47.7486,52.2359,51.7938,,,,,,,,84.7239,,78.7539,74.8678,83.8344,78.3219,73.0177,
HUN,,,96.093,96.7648,97.5545,95.1817,97.1947,97.9779,97.5807,98.4209,98.3049,98.2687,98.7893,97.8752,98.0195,,,
ISL,,,,98.2699,,,97.4138,98.0591,98.3814,97.8722,98.3795,,,,98.6544,96.8801,,
IND,54.1399,,,,60.4016,58.7137,63.537,,,,,,,,,,,
IDN,92.6671,92.1808,86.6567,,,,88.7197,87.0508,,80.9062,,,82.8246,,,,,
IRN,,,,,,96.745,93.7131,87.1606,,,,,,95.9885,93.485,97.9015,96.5531,
IRQ,,,,,47.1912,,,,,,,,,,,,,
ISR,,,,,,,98.4828,98.4845,98.9377,99.2391,98.8666,,98.4802,97.7446,,,,
ITA,,,,,,,96.2882,,,99.5041,99.8755,99.9452,99.6919,99.9864,99.8172,99.0065,,
JAM,,,,,,,89.3263,,,,,,,89.7591,,83.2448,,
JPN,,,,,,,,,,,,,,99.9841,99.9319,99.9361,,
JOR,,92.8333,,,96.4041,,,96.1301,97.0226,95.1462,,93.8492,,,,98.8164,,
KAZ,95.4195,,,,,92.4343,94.8392,98.6458,99.3235,99.55,99.8989,99.5514,99.9314,99.2422,99.148,99.9163,99.7425,99.4539
KEN,,,,,,,,,71.4038,,,,,,,,,
KIR,,,,,,,67.1719,,86.0651,,,,,,,,,
KWT,78.1815,94.8262,89.1993,91.1965,95.1499,94.5432,97.5565,98.8447,98.9586,,,,,,95.9737,,95.1787,
KGZ,,,,,93.8834,92.0438,92.0831,94.9441,97.5607,96.9952,99.5154,96.9919,98.3858,96.729,97.3176,95.9433,97.4323,
LAO,,41.2555,42.4421,56.1886,53.761,54.0854,63.0168,64.9921,63.3822,62.5368,61.8311,61.2468,67.8275,69.3623,71.5403,69.2125,71.1484,
LVA,,,,,97.4329,97.5573,95.9146,97.5008,97.791,97.6825,97.8193,97.1589,93.7622,95.6649,94.5368,92.6959,,
LBN,,,,,93.8995,98.1522,93.5086,91.8918,97.8372,93.7594,92.0089,97.4632,92.7243,93.3484,,93.5807,96.2779,
LSO,65.9032,67.8282,70.8742,62.0848,66.6039,62.9006,67.4019,76.7949,64.4806,74.0015,71.2343,55.9024,76.6533,72.6875,76.8168,72.7465,75.0747,
LBR,,,,,,,,,,,,,,61.9167,,,,
LIE,,,,,,,,,,,,,83.8264,,78.0847,,,
LTU,92.0481,,,98.6357,99.8473,97.9589,98.6993,97.6254,98.7947,98.2434,96.783,97.9729,97.9729,98.602,98.3677,96.6572,,
MKD,97.0939,97.6055,,98.4665,99.1047,97.1751,98.5543,96.39,98.4446,98.7552,94.7649,96.692,,,,,,
MDG,25.4463,27.228,,38.9202,52.6606,37.2193,35.3494,55.448,60.2642,42.9119,36.7656,43.2004,43.2917,50.4007,35.3795,40.1006,41.9477,
MWI,14.5004,21.1768,,,33.8354,,30.9746,,,32.3341,35.9681,34.8994,57.3493,41.7355,53.5945,51.5504,47.7163,
MYS,,,,,,,,96.7824,,,89.6141,92.4025,96.1983,97.8912,99.8661,100,,
MLI,,,,,61.8768,,70.2823,60.3593,73.5147,74.7387,70.6507,,72.6241,76.7805,75.718,73.5778,59.4187,
MLT,,,,97.4976,,98.3232,97.16,97.8589,,,,,95.2709,75.8658,,96.7824,,
MHL,,,,,,,,,,,,72.4181,,79.535,,,,
MRT,30.0749,29.4279,32.3755,57.2515,,,41.5742,,,40.8392,43.0533,54.7312,,82.0055,,,,
MUS,,,,98.8425,97.8474,97.8331,97.807,98.5223,97.6242,96.2896,98.97,97.2992,95.9218,98.1859,97.0304,97.6518,97.5432,
