ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,89.6114,,,89.929,,,93.9337,93.4375,93.7624,95.2287,97.8644,98.7834,
DZA,83.6368,84.7532,87.2103,92.0395,91.4558,94.5637,93.4847,94.5169,93.4622,93.2031,90.9196,92.0113,92.9523,,95.039,94.5526,92.7675,
AGO,,,,,,,,,,,,,,27.5904,31.8729,,,
ATG,,,,,,,,,,,,,91.3221,,,,,
ARG,,,76.9499,92.3107,88.6641,90.8783,89.9327,80.8727,95.4161,86.8423,94.5404,94.8816,95.8242,93.8372,95.3239,93.1167,,
ARM,,,96.5034,,,,,95.7612,96.2942,98.6812,98.5077,97.7055,,,96.9847,95.9838,95.6171,
AUT,,,,97.0754,,,,97.1579,97.7629,97.2244,97.9143,97.6347,97.3689,97.714,96.9925,99.4117,99.7383,
AZE,83.2525,,,97.3892,96.8344,95.9823,96.7379,96.523,97.713,97.8585,96.9084,98.6763,99.265,98.4217,96.3609,97.2074,98.1864,
BHS,,,,,,,,,,,81.4151,,90.7051,82.4423,89.4999,,,
BHR,80.2374,81.6316,,92.4641,90.3406,92.3395,98.1336,,98.6704,98.2133,,,,,98.7507,97.7904,97.8074,
BGD,,,,,,,,,,,,,,66.6009,66.201,,,
BRB,,,,,91.2091,,93.3317,,95.8321,96.9981,91.0659,,91.2585,89.9577,,93.3747,,
BLR,97.8683,98.1116,98.6113,93.7078,99.2017,98.8827,96.2186,98.5234,95.9457,99.1105,99.2258,99.167,98.0114,99.503,99.6784,98.1925,99.0633,
BEL,,,,,,,,,,,93.6178,93.3869,87.2315,93.4395,96.8248,93.3218,,
BLZ,59.9456,62.5233,,,73.9958,83.5992,,,,,91.2578,83.984,89.8653,94.7291,90.2656,90.9166,,
BEN,33.1056,34.9323,34.0094,,,75.7393,68.2154,59.1062,64.2702,,,,,,53.9368,55.7844,59.2613,
BTN,,,,76.4943,81.5074,81.3905,,,84.2101,85.985,84.3204,87.4327,85.3078,89.5234,86.4973,91.0336,94.9012,
BOL,55.9154,57.1297,59.5542,77.1974,79.8076,74.3922,82.3314,78.8191,,,,80.202,83.6666,80.8961,84.8807,86.1828,,
BIH,,,,,,,,,,,,,,,98.7436,80.5639,83.3074,
BWA,74.2845,75.9068,,82.3396,82.033,84.4708,83.6014,84.0167,85.0502,83.779,86.8001,,,92.9721,,,,
BRN,81.8505,,,93.7405,,,,,97.1174,97.0486,96.5413,95.83,96.2482,96.6661,96.1371,96.5805,96.3692,
BGR,88.6728,87.8656,93.6507,90.3454,92.9362,94.7233,92.7161,93.8707,93.6662,92.2519,94.8401,94.1242,93.6911,93.7774,97.366,96.6375,,
BFA,,43.1213,,58.8971,61.0434,61.3358,58.3312,66.5565,69.2229,68.9336,64.4366,72.0186,69.0033,71.138,63.626,,68.9655,
BDI,,,,,,53.8177,57.7912,64.6178,57.8551,62.7538,,64.5383,59.5894,69.1105,56.1779,50.7217,43.8021,
KHM,39.8918,,14.1952,44.0559,,54.7357,63.5926,55.0178,53.5175,56.9225,55.0914,54.4839,54.4635,,,61.343,65.9486,
CMR,,,,,76.1736,,,,,,,57.2904,56.855,68.8389,66.1622,57.0866,69.7548,
CAN,,,,97.4458,98.5945,,,,,,,,,,,,,
CPV,,,,,,,89.0279,83.9872,87.4887,85.0758,87.5124,86.1223,85.739,83.2541,85.1087,89.3066,,
CAF,,,,,,,,,,,,,,46.4432,46.8945,46.4728,46.5563,
TCD,20.8755,20.1237,18.6064,44.1402,47.8252,46.8975,52.1828,50.1116,,25.8263,30.1198,,,,27.8097,49.3352,38.0587,
CHL,,,78.7434,98.5559,97.6331,,,96.7177,97.3713,,,91.3533,,,,97.9341,98.6675,
CHN,76.5951,76.4277,81.1015,,,,,,,,,,,,,,,
COL,59.4007,58.1218,,63.4347,66.5694,60.9314,69.406,,,80.8726,80.8321,85.2229,84.7212,,84.5324,87.361,84.7119,
COM,,,,41.2127,,,,,55.4069,,,,,,,,,
COG,,49.1586,,,,,,57.5935,,,,,70.2909,,,,,
COK,,,,46.8635,,,,,,,,,,,,,,
CRI,72.7883,74.5812,,,88.5971,90.4847,88.4224,,,83.5973,90.4608,83.8351,93.8494,94.2141,88.7986,91.044,88.457,
CIV,54.2407,54.4597,48.8734,80.4856,62.3887,87.3145,,,,,,75.54,,60.7737,,,82.1778,
HRV,95.1418,,,99.4722,99.3971,99.5131,99.5381,99.5517,,,99.4962,99.4535,98.1436,98.9502,99.0561,99.3033,,
CUB,,,,,94.6767,96.0193,96.806,96.6465,96.5871,96.8068,96.89,96.8151,96.0865,95.499,96.1526,95.0407,96.4771,
CYP,95.1187,,,,94.9226,98.8147,,97.9649,98.6413,98.1361,98.6539,98.8821,95.2674,,,,,
