ISO,2010
BEN,17
BFA,88
CMR,2
CAF,30
TCD,45
CIV,41
DJI,93
EGY,96
ERI,94
ETH,82
GMB,75
GHA,7
GIN,98
GNB,54
IRQ,9
KEN,40
LBR,78
MLI,89
MRT,76
NER,3
NGA,35
SEN,27
SLE,95
SOM,98
SDN,90
TZA,5
TGO,2
UGA,22
YEM,25
# Series: PFGMFTFF,
# Name: FGMC prevalence among girls and women by current age 40-44 (%),
# Definition: Most types of FGM/C involve the cutting and removal of portions of the female genitalia. % of women and girls who had FGM/C by current age 40-44.,
"# Source: UNICEF, Female Genital Mutilation/Cutting: A statistical overview and exploration of the dynamics of change, July 2013",
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
