ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,,,,,,,0.19,,,,0.2,0.14,0.15,0.15,0.18,0.19,0.23,,
ALB,,,,,,,,,,,,,,,,,1.11,1.15,
DZA,,,,,,,,1.13,,,1.03,,1.21,,,,,,
AND,,,,,,,,,3.7,,,,,,,,,,
AGO,,,0.08,,,,,,,0.08,,,,,0.17,,,,
ATG,,,,,0.17,,,,,,,,,,,,,,
ARG,,,,3.01,,,,,,3.16,,,,,,,,,
ARM,,,,,,,,,,,,,,,,,2.66,2.69,
AUS,,2.52,,,,,2.47,,,,,2.7,,,2.99,3.85,3.27,,
AUT,,,,,,,,,3.38,,,,,,,4.86,4.83,,
AZE,,,,,,,,,,,,,,,,,3.38,3.43,
BHS,,,,1.05,,,,,,,,,,2.82,,,,,
BHR,,,,,,,,,,1.09,2.72,,1.4,1.44,1.48,1.49,0.91,,
BGD,,,,,,,0.23,,0.25,0.26,0.3,0.31,0.3,,,,0.36,,
BRB,1.36,,,,,1.37,1.57,,,,1.81,,,,,,,,
BLR,,,,,,,,,,,,,,,,3.51,3.76,,
BEL,,,,,,,,,,,,,,,,3.78,2.99,,
BLZ,,,,,,1.05,,,,,,,,,0.83,,,,
BEN,,,,,,,,,,0.05,,,,0.06,,,,,
BTN,,,,,,,,,,0.05,,,0.06,0.07,,,,0.26,
BOL,,,,,,,1.22,,,,,,0.33,,,0.44,0.47,,
BIH,,,,,,,,,,,,,,,1.65,1.69,,,
BWA,,,,0.26,0.3,0.29,0.29,0.3,0.3,0.4,0.26,0.34,,,,,,,
BRA,,,,,,1.15,,,,1.62,1.66,1.69,1.72,1.76,1.8,,1.86,,1.89
BRN,,,,,,1.01,,1.14,,,,,1.01,1.42,,1.36,1.5,,
BGR,,,,,,,,,,,,,,,,3.76,3.81,,
BFA,,,,,,,,,,0.05,,0.03,,0.06,,0.05,,,
BDI,,,,,,,,,,0.03,,,,,,,,,
KHM,,0.11,,0.14,,0.16,,,,,,,,0.23,,,,,
CMR,,,,,,,,,,0.19,0.06,,0.08,,0.08,,,,
CAN,,,,1.86,,,1.9,1.92,2.14,1.82,,1.91,,1.98,,2.07,,,
CPV,,,,,,,,,,0.49,,0.23,0.26,0.57,0.23,0.3,,,
CAF,,,,,,,,,,0.09,,,,0.04,0.05,,,,
TCD,,,0.03,0.02,0.03,0.03,,,,0.04,,0.04,,,,,,,
CHL,,,,,,,,0.9,0.95,0.99,0.97,1.03,1.03,1.03,1.02,,,,
CHN,,,,,,,1.06,,1.42,,,,,,1.42,1.46,,,
COL,,1.16,1.19,1.22,1.25,,,1.35,,,1.38,1.4,1.42,1.43,1.45,1.47,,,
COM,,,,,,,,,,0.15,,,,,,,,,
COG,,,,0.66,,,,,,0.2,,0.19,0.1,,,,,,
COK,,,,,,,0.78,,,1.18,,,,,1.33,,,,
CRI,,,,,,1.33,,,,,,,,,,,,,1.11
CIV,,,,,,,,,,0.12,0.09,,,0.14,,,,,
HRV,2.04,2.13,2.11,1.95,1.81,,,,,,,,,,,2.72,2.84,,
CUB,5.18,5.46,5.66,5.71,5.81,5.89,5.9,5.95,6.02,6.15,6.26,6.33,6.4,6.57,6.59,6.72,,,
CYP,2.16,,,,,,,,,,,,2.51,2.57,2.65,2.77,2.29,,
CZE,,,,,,,,,3.51,,,,,,,3.71,3.62,,
PRK,,,,,,,,,3.29,,,,,,,,,,
COD,,,,,,,,,,0.11,,,,,,,,,
DNK,,,,,,,,2.93,,,,,,3.41,3.42,,,,
DJI,,,,,0.14,,,,,0.18,0.18,0.23,,,,,,,
DMA,,,0.5,,,,1.59,,,,,,,,,,,,
DOM,,,,,,1.88,,,,,,,,1.12,0.81,,1.49,,
ECU,1.25,1.33,1.34,1.33,1.4,1.48,1.58,1.61,1.54,,,,,,1.69,,,,
EGY,,,,,,,,,0.54,,2.43,,2.63,,2.83,,,,
SLV,,,,,1.19,,,1.24,,,1.51,,,1.6,,,,,
GNQ,,,,,,,,,,0.3,,,,,,,,,
ERI,,,,,,,,,,0.05,,,,,,,,,
EST,,,,,,4.48,,,,,,,,,,3.34,3.26,,
ETH,,,,,,,,,0.03,0.03,0.03,0.03,0.02,0.03,0.03,,,,
FJI,,,,,0.34,,,,0.45,,,,,0.39,0.43,,,,
FIN,,,,,,,,3.17,,,,,,2.74,2.91,,,,
FRA,,3.23,,,,,,,,,,,3.74,,,,3.38,3.18,
GAB,0.29,,,,,,,,,0.29,,,,,,,,,
GMB,,,,,,,,,0.11,0.11,0.11,0.11,0.1,0.11,,,,,
GEO,,,,,,,,,,,,,,4.64,4.76,,4.24,4.24,
DEU,,,,,,,,,3.37,,,,,,,3.69,3.81,,
GHA,,,,,,,,,,0.15,,,0.07,0.11,0.09,0.1,,,
GRC,,,,,,,4.38,,,,,,,,,,,,
GRD,,,0.5,0.98,0.73,0.72,0.72,0.72,0.73,,,0.66,,,,,,,
GTM,,,,,0.9,,,,,,,,,,0.93,,,,
GIN,,,,,,0.09,,,,0.12,0.1,,,,,,,,
GNB,,,,,,,,,,0.12,,,,0.05,0.07,,,,
GUY,,,,,,0.48,,,,,,,,,0.21,0.21,,,
HTI,,,,0.25,,,,,,,,,,,,,,,
HND,,,,,,0.57,,,,,0.37,,,,,,,,
HUN,3.39,3.44,3.5,3.58,3.62,,,3.76,3.87,3.96,3.23,3.5,3.21,3.6,3.52,3.41,2.96,,
ISL,,,,,,3.43,3.47,3.59,3.61,3.62,3.63,3.68,3.76,3.83,3.83,3.73,3.46,3.48,
IND,,,,,,0.55,0.56,0.58,0.59,0.6,0.6,0.61,0.62,0.64,0.65,0.69,0.74,0.7,
IDN,,,,,,,,,0.13,,,,,,0.15,0.14,,0.2,
IRN,,,,,,,,,,0.87,0.89,,,,,,,,
IRQ,,,,,,,,,,,,,,,,0.61,,,
IRL,,,,,,,,,,2.79,,,,,,,2.7,2.72,
ISR,4.84,,,,,,,,,,,,,,,,3.35,,
ITA,,,,,,,,,,4.2,,,,,,,4.09,,
JAM,,,,,,,,,0.85,,,,,0.41,,,,,
JPN,,1.92,,1.97,,2.01,,2.06,,2.12,,2.17,,2.23,,2.3,,,
JOR,,,,1.03,1.98,1.9,2.05,2.2,2.26,2.03,2.26,2.35,2.56,2.39,2.36,2.56,,,
KAZ,,,,,,,,,3.54,3.56,3.74,3.88,4.01,3.98,4.1,4.31,3.84,3.58,
KEN,,,,,,,,0.14,,0.04,,,,0.18,0.18,0.18,0.18,,
KIR,,,,0.3,,,,,,0.23,,0.3,,0.24,0.33,0.38,,,
KWT,,,,,,,1.53,,,,,1.25,1.66,1.72,1.79,,,,
KGZ,,,,,,,,,,,,,,2.4,2.39,2.4,2.47,1.96,
LAO,0.35,,,,,0.29,,,,0.35,0.27,,,,0.19,,,0.18,
LVA,,,,,,,,,,,,,,,,2.9,2.88,,
LBN,,,,,,,3.25,,,,2.36,3.25,3.06,,3.54,3.07,3.2,,
LSO,,,,,,,,,0.05,,,,,,,,,,
LBR,,,,,,,,,,0.03,,,,0.01,,,,,
LBY,,,1.29,,,,,,,1.25,,,,1.8,1.9,,,,
LTU,4.14,4.17,4.19,4.16,4.15,,,,,,,,,,,3.64,3.75,4.12,
LUX,,,,,,,,,,,,,,,,,2.77,2.82,
MKD,,,,,,,,,,,,,,,2.62,,,,
