ISO,2012
AUS,15.73
AUT,7.31
CAN,12.83
CYP,5.52
CZE,7.84
DNK,9.08
EST,11.74
FIN,22.44
FRA,7.27
DEU,9.23
IRL,7.26
ITA,2.59
JPN,21
NLD,16.17
NOR,11.69
POL,10.15
KOR,6.66
SVK,7.13
ESP,3.69
SWE,15.08
USA,10.64
# Series: PICLHIFE,
"# Name: PIAAC highest scores (Level 4 or 5), literacy, female",
"# Definition: Survey of adult skills, % who achieved highest proficiency",
# Source: Organisation for Economic Co-operation and Development (OECD),
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
