ISO,2000,2009,2012
ALB,,,0.73
ARG,,,0.8
AUS,,,0.96
AUT,,,0.97
AZE,,0.95,
BEL,,,0.97
BRA,,,0.82
BGR,,,0.89
CAN,,,0.99
CHL,,,0.97
COL,,,0.76
CRI,,,0.94
HRV,,0.95,
CZE,,,0.96
DNK,,,0.98
EST,,,0.98
FIN,,,0.99
FRA,,,0.96
GEO,,0.75,
DEU,,,0.98
GRC,,,0.93
HUN,,,0.98
ISL,,,0.95
IDN,,,0.72
IRL,,,0.99
ISR,,,0.89
ITA,,,0.95
JPN,,,0.98
JOR,,,0.82
KAZ,,,0.93
KGZ,,0.61,
LVA,,,0.99
LTU,,,0.95
LUX,,,0.91
MKD,0.62,,
MYS,,,0.91
MLT,,0.92,
MUS,,0.88,
MEX,,,0.89
MNE,,,0.81
NLD,,,0.98
NZL,,,0.96
NOR,,,0.88
PAN,,0.83,
PER,,,0.84
POL,,,0.99
PRT,,,0.97
QAT,,,0.43
KOR,,,0.96
MDA,,0.82,
ROU,,,0.91
RUS,,,0.96
SRB,,,0.86
SGP,,,1
SVK,,,0.95
SVN,,,0.97
ESP,,,0.95
SWE,,,0.94
CHE,,,0.99
THA,,,0.91
TTO,,0.8,
TUN,,,0.78
TUR,,,0.93
ARE,,,0.85
USA,,,0.96
URY,,,0.88
VEN,,0.91,
VNM,,,0.99
ACE,,,0.941818
HIA,,,0.942432
AME,,,0.8625
ASA,,,0.975
ECM,,,0.96
HIM,,,0.96
LCM,,,0.84
NAN,,,0.96
ECE,,,0.741849
HWW,,,0.879116
LCE,,,0.643031
NAE,,,0.963
# Series: PIMAFEHQ,,,
"# Name: PISA math scores, female, highest income quintile",,,
"# Definition: PISA scores are usually scaled so that the OECD average in each domain (mathematics, reading and science) is 500 and the standard deviation is 100, by household wealth index.",,,
# Source: Organisation for Economic Co-operation and Development (OECD),,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
