ISO,2000,2009,2012
ALB,,,0.52
ARG,,,0.72
AUS,,,0.95
AUT,,,0.92
AZE,,0.44,
BEL,,,0.91
BRA,,,0.77
BGR,,,0.82
CAN,,,0.96
CHL,,,0.98
COL,,,0.77
CRI,,,0.92
HRV,,0.94,
CZE,,,0.92
DNK,,,0.93
EST,,,0.97
FIN,,,0.97
FRA,,,0.91
GEO,,0.6,
DEU,,,0.98
GRC,,,0.91
HUN,,,0.97
ISL,,,0.89
IDN,,,0.68
IRL,,,0.98
ISR,,,0.87
ITA,,,0.93
JPN,,,0.94
JOR,,,0.79
KAZ,,,0.72
KGZ,,0.47,
LVA,,,0.98
LTU,,,0.94
LUX,,,0.87
MKD,0.46,,
MYS,,,0.72
MLT,,0.8,
MUS,,0.79,
MEX,,,0.83
MNE,,,0.79
NLD,,,0.92
NZL,,,0.94
NOR,,,0.88
PAN,,0.79,
PER,,,0.79
POL,,,0.97
PRT,,,0.95
QAT,,,0.45
KOR,,,0.95
MDA,,0.69,
ROU,,,0.82
RUS,,,0.9
SRB,,,0.8
SGP,,,0.98
SVK,,,0.88
SVN,,,0.92
ESP,,,0.9
SWE,,,0.88
CHE,,,0.94
THA,,,0.9
TTO,,0.75,
TUN,,,0.72
TUR,,,0.94
ARE,,,0.75
USA,,,0.96
URY,,,0.83
VEN,,0.9,
VNM,,,0.99
ACE,,,0.894848
HIA,,,0.911081
AME,,,0.82625
ASA,,,0.96
ECM,,,0.92
HIM,,,0.93
LCM,,,0.79
NAN,,,0.96
ECE,,,0.711178
HWW,,,0.856171
LCE,,,0.607502
NAE,,,0.96
# Series: PIREFEHQ,,,
"# Name: PISA reading scores, female, highest income quintile",,,
"# Definition: PISA scores are usually scaled so that the OECD average in each domain (mathematics, reading and science) is 500 and the standard deviation is 100, by household wealth index.",,,
# Source: Organisation for Economic Co-operation and Development (OECD),,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
