ISO,2003,2006,2009,2012
ALB,,,383,395
ARG,,375,383,382
AUS,522,513,509,498
AUT,502,494,486,494
AZE,,477,427,
BEL,525,517,504,509
BRA,348,361,379,383
BGR,,415,430,440
CAN,530,520,521,513
CHL,,396,410,411
COL,,360,366,364
CRI,,,397,396
HRV,,461,454,465
CZE,509,504,490,493
PRK,528,,,
DNK,506,508,495,493
EST,,514,508,518
FIN,541,543,539,520
FRA,507,492,489,491
GEO,,,381,
DEU,499,494,505,507
GRC,436,457,459,449
HUN,486,486,484,473
ISL,523,508,505,496
IDN,358,382,372,373
IRL,495,496,483,494
ISR,,436,443,461
ITA,457,453,475,476
JPN,530,513,524,527
JOR,,388,387,396
KAZ,,,405,432
KGZ,,310,334,
LVA,482,484,481,493
LIE,521,525,523,523
LTU,,485,480,479
LUX,485,482,479,477
MYS,,,406,424
MLT,,,470,
MUS,,,418,
MEX,380,401,412,406
MNE,,393,396,410
NLD,535,524,517,518
NZL,516,517,515,492
NOR,492,487,495,488
PAN,,,357,
PER,,,356,359
POL,487,491,493,516
PRT,460,459,481,481
QAT,,325,371,385
KOR,,543,544,544
MDA,,,396,
ROU,,412,425,443
RUS,463,473,467,483
SRB,436,433,437,444
SGP,,,559,575
SVK,489,485,495,477
SVN,,502,501,499
ESP,481,476,474,476
SWE,506,500,495,480
CHE,518,523,524,524
THA,419,420,417,433
TTO,,,418,
TUN,353,358,366,381
TUR,415,421,440,444
ARE,,,424,436
GBR,505,487,482,488
USA,480,470,477,479
URY,416,420,421,404
VNM,,,,507
ACE,491.148,476.972,467.925,480.222
HIA,497.267,486.237,485.357,488.3
AME,,385.5,389.9,388.125
ASA,505,495,499,496
ECM,495,486,481,483
HIM,502,492,489,492
LCM,,375,383,383
NAN,480,470,477,479
ECE,375.405,401.177,415.422,410.441
HWW,441.005,467.653,474.359,476.014
LCE,,267.412,300.636,296.469
NAE,484.907,474.918,481.355,482.4
# Series: PISAFEMA,,,,
"# Name: PISA math scores, female",,,,
"# Definition: PISA scores are usually scaled so that the OECD average in each domain (mathematics, reading and science) is 500 and the standard deviation is 100.",,,,
# Source: Organisation for Economic Co-operation and Development (OECD),,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
