ISO,2003,2006,2009,2012
ALB,,,406,401
ARG,,397,404,409
AUS,525,527,528,519
AUT,492,507,490,501
AZE,,386,377,
BEL,509,510,503,503
BRA,387,386,404,404
BGR,,443,450,457
CAN,516,532,526,524
CHL,,426,443,442
COL,,384,392,390
CRI,,,423,424
HRV,,494,491,493
CZE,520,510,503,508
PRK,527,,,
DNK,467,491,494,493
EST,,533,528,543
FIN,551,565,562,554
FRA,511,494,497,500
GEO,,,383,
DEU,500,512,518,524
GRC,475,479,475,473
HUN,504,501,503,493
ISL,500,494,495,480
IDN,394,387,387,383
IRL,504,509,509,520
ISR,,452,456,470
ITA,484,474,490,492
JPN,546,530,545,541
JOR,,436,433,430
KAZ,,,405,429
KGZ,,325,340,
LVA,491,493,497,510
LIE,512,527,511,516
LTU,,493,500,503
LUX,477,482,480,483
MYS,,,427,425
MLT,,,478,
MUS,,,423,
MEX,400,406,413,412
MNE,,413,408,419
NLD,522,521,520,520
NZL,513,532,535,513
NOR,483,489,502,496
PAN,,,377,
PER,,,367,370
POL,494,496,511,527
PRT,465,472,495,490
QAT,,365,393,402
KOR,,523,539,536
MDA,,,420,
ROU,,419,433,441
RUS,485,478,480,489
SRB,439,438,443,447
SGP,,,542,552
SVK,487,485,491,467
SVN,,523,519,519
ESP,485,486,485,493
SWE,504,503,497,489
CHE,508,509,512,512
THA,433,428,431,452
TTO,,,419,
TUN,390,388,400,398
TUR,434,430,460,469
ARE,,,454,462
GBR,517,510,509,508
USA,489,489,495,498
URY,436,430,428,416
VNM,,,,528
ACE,493.333,483.167,477.3,490.611
HIA,498.933,495.921,496.31,499.525
AME,,404.833,407,408.375
ASA,502.5,510.5,510.5,511
ECM,494,493,494,493
HIM,500,494,497,501
LCM,,397,404,409
NAN,489,489,495,498
ECE,384.158,408.91,426.68,421.08
HWW,449.724,479.637,488.596,489.054
LCE,,281.158,314.626,310.304
NAE,491.65,493.23,498.068,500.6
# Series: PISAFESC,,,,
"# Name: PISA science scores, female",,,,
"# Definition: PISA scores are usually scaled so that the OECD average in each domain (mathematics, reading and science) is 500 and the standard deviation is 100.",,,,
# Source: Organisation for Economic Co-operation and Development (OECD),,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
