ISO,2003,2006,2009,2012
ALB,,,372,394
ARG,,388,394,396
AUS,527,527,519,
AUT,509,517,506,517
AZE,,475,435,
BEL,533,524,526,520
BRA,365,380,394,401
BGR,,412,426,438
CAN,541,534,533,523
CHL,,424,431,436
COL,,382,398,390
CRI,,,423,420
HRV,,474,465,477
CZE,524,514,495,505
PRK,552,,,
DNK,523,518,511,507
EST,,515,516,523
FIN,548,554,542,517
FRA,515,499,505,499
GEO,,,378,
DEU,508,513,520,520
GRC,455,462,473,457
HUN,494,496,496,482
ISL,508,503,508,490
IDN,362,399,371,377
IRL,510,507,491,509
ISR,,448,451,472
ITA,475,470,490,494
JPN,539,533,534,545
JOR,,381,386,375
KAZ,,,405,432
KGZ,,311,328,
LVA,485,489,483,489
LIE,550,525,547,546
LTU,,487,474,479
LUX,502,498,499,502
MYS,,,403,416
MLT,,,455,
MUS,,,422,
MEX,391,410,425,420
MNE,,405,408,410
NLD,540,537,534,528
NZL,531,527,523,507
NOR,498,493,500,490
PAN,,,362,
PER,,,374,378
POL,493,500,497,520
PRT,472,474,493,493
QAT,,311,366,369
KOR,,552,548,562
MDA,,,399,
ROU,,418,429,447
RUS,473,479,469,481
SRB,437,438,448,453
SGP,,,565,572
SVK,507,499,498,486
SVN,,507,502,503
ESP,490,484,493,492
SWE,512,505,493,477
CHE,535,536,544,537
THA,415,413,421,419
TTO,,,410,
TUN,365,373,378,396
TUR,430,427,451,452
ARE,,,418,432
GBR,512,504,503,500
USA,486,479,497,484
URY,428,433,433,415
VNM,,,,517
ACE,501.407,485.25,476.3,487.944
HIA,507.633,496.184,494.286,496.795
AME,,402.833,404.4,407
ASA,513.5,506.5,515,503.5
ECM,508,498,493,492
HIM,509,503,498,500
LCM,,388,398,401
NAN,486,479,497,484
ECE,383.539,409.784,424.683,417.148
HWW,448.862,479.086,487.12,475.56
LCE,,279.085,313.298,310.145
NAE,491.397,484.41,500.563,487.9
# Series: PISAMAMA,,,,
"# Name: PISA math scores, male",,,,
"# Definition: PISA scores are usually scaled so that the OECD average in each domain (mathematics, reading and science) is 500 and the standard deviation is 100.",,,,
# Source: Organisation for Economic Co-operation and Development (OECD),,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
