ISO,2000,2009,2012
ALB,,,0.79
ARG,,,0.7
AUS,,,0.96
AUT,,,0.94
AZE,,0.62,
BEL,,,0.92
BRA,,,0.74
BGR,,,0.8
CAN,,,0.98
CHL,,,0.9
COL,,,0.69
CRI,,,0.87
HRV,,0.98,
CZE,,,0.94
DNK,,,0.93
EST,,,1
FIN,,,0.99
FRA,,,0.92
GEO,,0.66,
DEU,,,0.95
GRC,,,0.92
HUN,,,0.93
ISL,,,0.93
IDN,,,0.71
IRL,,,0.96
ISR,,,0.9
ITA,,,0.94
JPN,,,0.98
JOR,,,0.87
KAZ,,,0.87
KGZ,,0.41,
LVA,,,0.99
LTU,,,0.96
LUX,,,0.92
MKD,0.94,,
MYS,,,0.85
MLT,,0.88,
MUS,,0.75,
MEX,,,0.84
MNE,,,0.83
NLD,,,0.96
NZL,,,0.95
NOR,,,0.97
PAN,,0.56,
PER,,,0.46
POL,,,0.99
PRT,,,0.94
QAT,,,0.81
KOR,,,0.99
MDA,,0.77,
ROU,,,0.88
RUS,,,0.96
SRB,,,0.92
SGP,,,0.98
SVK,,,0.8
SVN,,,0.98
ESP,,,0.96
SWE,,,0.93
CHE,,,0.96
THA,,,0.95
TTO,,0.76,
TUN,,,0.71
TUR,,,0.97
ARE,,,0.94
USA,,,0.94
URY,,,0.74
VEN,,0.61,
VNM,,,0.99
ACE,,,0.928788
HIA,,,0.938649
AME,,,0.7425
ASA,,,0.96
ECM,,,0.94
HIM,,,0.95
LCM,,,0.74
NAN,,,0.94
ECE,,,0.733916
HWW,,,0.868461
LCE,,,0.571473
NAE,,,0.944
# Series: PISCFELQ,,,
"# Name: PISA science scores, female, lowest income quintile",,,
"# Definition: PISA scores are usually scaled so that the OECD average in each domain (mathematics, reading and science) is 500 and the standard deviation is 100, by household wealth index.",,,
# Source: Organisation for Economic Co-operation and Development (OECD),,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
