ISO,1995,2000,2005,2010
AGO,,,13.4,
ARG,,,21.8,29.4
AUS,22,24,,24.9
AUT,,,11.6,24.7
AZE,,,15.1,
BGD,,,26.3,20.6
BRB,20,33,,
BLR,,,,31.1
BEL,17,12,30.6,26.5
BLZ,,,,45.7
BEN,,11,,17.6
BOL,10,9,,27.1
BIH,,,15,22.7
BWA,50,16,12.7,15.4
BRA,,,25.3,32.6
BGR,,,,53.2
BFA,,,,26.9
BDI,,,,25.8
KHM,,13,15.2,
CMR,12,15,,21.2
CAN,22,27,20.5,30.7
TCD,,13,,
CHL,20,17,29.3,22.6
CHN,9,23,19.4,20
COL,,,29.5,
COG,,,,60
CRI,,,,24.8
HRV,,13,25.7,28.6
CUB,,25,17.9,
CYP,,,,15.3
CZE,,9,,22.7
PRK,12,9,13.4,
COD,,,,14
DNK,,,,29.7
DOM,,,,24
ECU,6,29,16,24.1
EGY,,76,13.3,31.8
SLV,,13,12.1,36.4
EST,,28,24.1,29.6
ETH,,,,6.6
FJI,5,22,20.3,24.2
FIN,20,23,29.2,31.6
FRA,19,17,,27.7
GEO,,,18.9,16.5
DEU,15,12,22.4,22.5
GHA,6,13,21.8,16.7
GRC,,,,25.9
GRD,,,,11.3
GTM,23,44,22.8,23.6
GIN,,,,20
GUY,,,,34.4
HTI,,,24,21.5
HUN,11,15,11.9,26
ISL,28,23,,27.2
IND,10,18,20.9,22.3
IDN,10,9,17.7,
IRL,,,26.4,75
ISR,9,10,18.6,17.1
ITA,7,15,14,19.3
JAM,16,23,29,24.6
JPN,30,23,25.5,18.9
JOR,,,,15.8
KEN,,14,9.1,14.2
KSV,,,,14.9
KGZ,,,,22.4
LBN,4,6,,5.9
LSO,,,14.5,21.4
MKD,,11,,
MDG,,,,25.6
MWI,,,17.2,
MYS,11,21,,14.5
MLT,,15,16.7,15.3
MRT,,,,14.3
MUS,,,23.9,30.5
MEX,21,15,,21.8
MNE,,,,17.5
MOZ,,,21.7,
NAM,,13,24.7,34.8
NPL,17,9,15,13.7
NLD,20,22,24.2,30.7
NZL,13,32,26.4,24.8
NIC,,,,29.4
NER,,,,25
NGA,27,7,16.9,14.7
NOR,,22,26.1,32.8
PAK,46,17,,19.4
PNG,,19,,14.4
PRY,,,17.2,17.8
PER,15,22,24.6,28.2
PHL,13,22,22.5,29.7
POL,,,,30.3
PRT,,,19.6,22
KOR,,,,27.2
ROU,9,10,22.7,30.3
RUS,11,31,,
RWA,,,28.7,
LCA,,,,24
VCT,,,,37.5
SEN,,,14.6,22.3
SYC,,,15.9,
SVN,7,13,,
ZAF,28,13,26,22.1
SSD,,,,8
ESP,11,16,21.7,26.3
LKA,21,16,,
SDN,,16,,
SUR,,19,20,31.7
SWZ,,,24.3,
SWE,,31,29.9,31.8
CHE,13,19,16.7,24.8
TZA,,,18.4,15.8
THA,9,11,14.5,15.5
TGO,,,,9.8
TON,,,,16.1
TTO,30,16,23.1,11.8
TUN,,,,27
TUR,15,14,18.5,25.7
UGA,,,,26.4
ARE,,,,12.2
GBR,25,37,24.6,31.8
USA,28,23,27.4,26.2
URY,12,20,10,17.8
UZB,,,15,
VEN,,,18,
VNM,,27,18.3,23.9
ZMB,,,16.8,10.2
ZWE,30,25,22.4,29.2
WLD,17,18,21,24
GAF,22,11,19,19
GAS,14,17,19,20
GCR,22,24,25,25
GEU,16,19,21,26
GLA,16,20,23,29
GME,14,15,15,16
GNA,27,25,26,26
GPC,20,25,26,25
# Series: PNWSBWMN,,,,
# Name: % of news subjects that are women,,,,
# Definition: % of news subjects that are women,,,,
"# Source: Global Media Monitoring Project, World Association for Christian Communication (GMMP, WACC)",,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
