ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,17.59,18.42,19.02,19.5,19.99,20.6,21.35,22.2,23.12,24.02,24.86,25.63,26.35,27.03,27.71,28.4,29.11,29.82,30.12
ALB,3.36,3.34,3.33,3.33,3.32,3.3,3.29,3.26,3.24,3.22,3.2,3.18,3.17,3.16,3.15,3.15,3.15,3.16,3.16
DZA,28.29,28.75,29.18,29.62,30.06,30.5,30.96,31.43,31.92,32.38,32.86,33.5,34.2,34.7,35.3,36,36.7,37.5,38.3
AGO,12.1,12.45,12.79,13.14,13.51,13.92,14.38,14.89,15.42,15.98,16.54,17.12,17.71,18.31,18.93,19.55,20.18,20.82,21.47
ATG,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09
ARG,34.78,35.2,35.6,36,36.4,36.78,37.16,37.52,37.87,38.23,38.59,38.97,39.36,39.75,40.13,40.52,40.9,41.28,41.66
ARM,3.22,3.17,3.14,3.11,3.09,3.08,3.06,3.05,3.04,3.03,3.01,3,2.99,2.98,2.97,2.96,2.96,2.97,2.97
AUS,18.12,18.33,18.51,18.71,18.92,19.14,19.39,19.6,19.83,20.05,20.31,20.63,21.02,21.48,21.87,22.17,22.52,22.92,23.18
AUT,7.95,7.96,7.97,7.98,7.99,8.01,8.04,8.08,8.12,8.17,8.23,8.28,8.32,8.35,8.39,8.42,8.45,8.48,8.5
AZE,7.73,7.8,7.88,7.95,8.02,8.08,8.14,8.2,8.27,8.35,8.44,8.53,8.63,8.78,8.9,9,9.11,9.24,9.36
BHS,0.28,0.28,0.29,0.29,0.29,0.3,0.3,0.31,0.32,0.32,0.33,0.34,0.34,0.35,0.35,0.36,0.37,0.37,0.38
BHR,0.56,0.58,0.6,0.62,0.62,0.64,0.65,0.71,0.76,0.82,0.89,0.96,1.04,1.1,1.18,1.23,1.2,1.25,1.28
BGD,119.87,122.4,124.95,127.48,129.97,132.38,134.73,137.01,139.19,141.24,143.14,144.87,146.46,147.97,149.5,151.13,152.86,154.7,156.9
BRB,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
BLR,10.18,10.14,10.09,10.04,10.02,9.99,9.95,9.9,9.85,9.8,9.75,9.71,9.69,9.51,9.5,9.48,9.45,9.42,9.4
BEL,10.14,10.17,10.19,10.21,10.24,10.26,10.31,10.36,10.4,10.45,10.51,10.58,10.6,10.61,10.62,10.63,10.64,10.65,10.66
BLZ,0.21,0.21,0.22,0.23,0.23,0.24,0.25,0.25,0.26,0.27,0.27,0.28,0.29,0.29,0.3,0.31,0.32,0.32,0.33
BEN,5.99,6.18,6.36,6.55,6.74,6.95,7.18,7.42,7.67,7.92,8.18,8.44,8.71,8.97,9.24,9.51,9.78,10.05,10.32
BTN,0.51,0.51,0.52,0.53,0.55,0.56,0.58,0.6,0.62,0.63,0.65,0.67,0.68,0.69,0.7,0.72,0.73,0.74,0.75
BOL,7.64,7.81,7.98,8.15,8.32,8.5,8.67,8.84,9.02,9.19,9.35,9.52,9.68,9.83,9.99,10.16,10.32,10.5,10.68
BIH,3.52,3.49,3.54,3.64,3.75,3.83,3.88,3.9,3.9,3.89,3.88,3.88,3.87,3.86,3.85,3.85,3.84,3.83,3.83
BWA,1.58,1.62,1.66,1.69,1.72,1.76,1.78,1.81,1.83,1.85,1.88,1.9,1.92,1.93,1.95,1.97,1.99,2,2.02
BRA,162.49,164.84,167.06,169.22,171.32,173.45,175.88,178.28,180.62,182.91,185.15,187.34,189.46,191.53,193.54,195.5,197.4,199.24,201.03
BRN,0.3,0.3,0.31,0.32,0.32,0.33,0.34,0.35,0.35,0.36,0.37,0.37,0.38,0.39,0.39,0.4,0.41,0.41,0.42
BGR,8.29,8.22,8.13,8.05,8,7.94,7.89,7.83,7.77,7.71,7.66,7.6,7.55,7.5,7.45,7.4,7.35,7.28,7.22
BFA,10.09,10.37,10.66,10.97,11.28,11.61,11.95,12.3,12.66,13.03,13.42,13.82,14.24,14.66,15.1,15.54,16,16.46,16.94
BDI,6.21,6.29,6.37,6.45,6.54,6.67,6.84,7.04,7.26,7.51,7.77,8.04,8.33,8.62,8.93,9.23,9.54,9.85,10.16
KHM,10.77,11.09,11.4,11.69,11.96,12.22,12.47,12.71,12.93,13.15,13.36,13.56,13.75,13.94,14.14,14.36,14.61,14.86,15.11
CMR,13.93,14.32,14.71,15.11,15.51,15.93,16.35,16.78,17.22,17.68,18.14,18.61,19.1,19.6,20.1,20.62,21.16,21.7,22.17
CAN,29.3,29.59,29.87,30.14,30.42,30.7,30.99,31.28,31.59,31.91,32.25,32.58,32.93,33.32,33.73,34.13,34.48,34.88,35.25
CPV,0.4,0.41,0.42,0.43,0.43,0.44,0.45,0.46,0.47,0.47,0.48,0.48,0.48,0.48,0.49,0.49,0.49,0.49,0.5
CAF,3.33,3.41,3.48,3.56,3.63,3.7,3.77,3.83,3.89,3.95,4.02,4.09,4.16,4.24,4.32,4.4,4.49,4.58,4.67
TCD,6.98,7.22,7.46,7.72,8,8.3,8.62,8.96,9.31,9.66,10.01,10.36,10.69,11.03,11.37,11.72,12.08,12.45,12.83
CHL,14.4,14.6,14.8,15,15.2,15.4,15.57,15.75,15.92,16.09,16.27,16.43,16.6,16.76,16.93,17.09,17.25,17.4,17.56
CHN,1216.92,1228.79,1239.66,1249.46,1258.11,1266,1274,1280,1287,1293,1300,1306,1312,1319,1325,1334,1339,1345,1350
COL,37.24,37.9,38.57,39.23,39.9,40.56,41.22,41.87,42.53,43.18,43.84,44.5,45.15,45.8,46.44,47.08,47.7,48.32,48.93
COM,0.47,0.48,0.49,0.5,0.52,0.53,0.54,0.56,0.57,0.58,0.6,0.62,0.63,0.65,0.67,0.68,0.7,0.72,0.74
COG,2.72,2.8,2.88,2.96,3.04,3.13,3.21,3.28,3.36,3.45,3.54,3.65,3.76,3.88,4,4.11,4.22,4.34,4.45
COK,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,,
CRI,3.48,3.57,3.66,3.75,3.84,3.93,4.01,4.09,4.17,4.25,4.32,4.39,4.46,4.53,4.6,4.68,4.75,4.82,4.89
CIV,14.22,14.63,15.04,15.44,15.8,16.13,16.42,16.68,16.91,17.14,17.39,17.66,17.95,18.26,18.6,18.98,19.39,19.84,20.31
HRV,4.5,4.49,4.57,4.5,4.55,4.38,4.3,4.3,4.31,4.31,4.31,4.31,4.31,4.31,4.3,4.29,4.28,4.27,4.25
CUB,10.93,10.96,11.01,11.06,11.1,11.13,11.16,11.18,11.2,11.2,11.2,11.19,11.17,11.18,11.17,11.17,11.17,11.18,11.19
CYP,0.65,0.66,0.67,0.68,0.68,0.69,0.7,0.71,0.71,0.72,0.73,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.87
CZE,10.32,10.31,10.3,10.29,10.28,10.27,10.22,10.2,10.21,10.22,10.25,10.29,10.38,10.47,10.51,10.53,10.54,10.54,10.54
PRK,,,,21.94,22.08,22.18,22.25,22.37,22.52,22.71,22.93,23.08,23.2,23.3,24.06,24.19,24.31,24.43,24.6
COD,42.01,43.12,44.08,44.96,45.89,46.95,48.17,49.52,50.97,52.49,54.03,55.59,57.19,58.82,60.49,62.19,63.93,65.71,67.55
DNK,5.23,5.26,5.28,5.3,5.32,5.34,5.35,5.37,5.38,5.4,5.42,5.44,5.47,5.5,5.52,5.55,5.57,5.6,5.62
DJI,0.66,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.85,0.86,0.87
DMA,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
DOM,7.62,7.76,7.9,8.03,8.17,8.3,8.43,8.56,8.66,8.76,8.87,8.97,9.08,9.19,9.3,9.44,9.57,9.7,9.82
ECU,11.25,11.48,11.72,11.94,12.14,12.3,12.48,12.66,12.84,13.03,13.22,13.41,13.6,13.8,14,14.48,14.69,14.9,15.1
EGY,61.17,62.12,63.09,64.08,65.1,66.14,67.2,68.3,69.43,70.59,71.78,72.99,74.23,75.49,76.78,78.08,79.39,80.72,82.09
SLV,5.75,5.81,5.86,5.9,5.93,5.96,5.99,6.01,6.03,6.05,6.07,6.1,6.12,6.15,6.18,6.18,6.21,6.25,6.28
GNQ,0.44,0.46,0.47,0.49,0.5,0.52,0.54,0.55,0.57,0.59,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76
ERI,3.41,3.47,3.56,3.67,3.8,3.94,4.1,4.28,4.47,4.67,4.85,5.04,5.21,5.38,5.56,5.74,5.93,6.13,6.33
EST,1.45,1.43,1.41,1.39,1.38,1.37,1.37,1.36,1.36,1.35,1.35,1.34,1.34,1.34,1.34,1.34,1.34,1.29,1.29
ETH,57.02,58.82,60.58,62.35,64.16,66.02,67.96,69.95,71.99,74.07,76.17,78.29,80.44,82.62,84.84,87.1,89.39,91.73,94.1
FJI,0.78,0.78,0.79,0.8,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.83,0.84,0.84,0.85,0.86,0.87,0.87,0.87
FIN,5.11,5.13,5.14,5.15,5.16,5.18,5.19,5.2,5.21,5.23,5.25,5.27,5.29,5.32,5.34,5.37,5.39,5.41,5.43
FRA,58.01,58.22,58.42,58.64,58.9,59.21,59.6,60.05,60.53,61,61.44,61.85,62.21,62.55,62.89,63.23,63.58,63.94,64.29
GAB,1.08,1.11,1.14,1.17,1.2,1.23,1.26,1.29,1.32,1.35,1.38,1.41,1.45,1.48,1.52,1.56,1.59,1.63,1.66
GMB,1.07,1.1,1.13,1.16,1.19,1.23,1.27,1.31,1.35,1.39,1.44,1.48,1.53,1.58,1.63,1.68,1.74,1.79,1.85
GEO,5.03,4.95,4.89,4.83,4.77,4.44,4.4,4.37,4.34,4.32,4.32,4.4,4.39,4.38,4.39,4.44,4.47,4.5,4.52
DEU,81.82,82.01,82.06,82.04,82.16,82.26,82.44,82.54,82.53,82.5,82.44,82.32,82.22,82,81.8,81.75,80.33,80.52,80.8
GHA,16.76,17.17,17.57,17.97,18.38,18.83,19.29,19.79,20.3,20.84,21.38,21.95,22.53,23.11,23.69,24.26,24.82,25.37,25.98
GRC,10.67,10.76,10.83,10.9,10.95,10.99,11.01,11.03,11.03,11.04,11.04,11.05,11.07,11.08,11.1,11.11,11.12,11.13,11.13
GRD,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11
GTM,9.98,10.21,10.45,10.69,10.94,11.2,11.48,11.77,12.06,12.37,12.68,13,13.32,13.65,13.99,14.34,14.71,15.08,15.46
GIN,7.84,8.1,8.3,8.46,8.6,8.75,8.9,9.05,9.2,9.38,9.58,9.8,10.05,10.32,10.59,10.88,11.16,11.45,11.75
GNB,1.14,1.17,1.19,1.22,1.25,1.27,1.3,1.33,1.36,1.39,1.42,1.45,1.48,1.52,1.55,1.59,1.62,1.66,1.69
GUY,0.73,0.73,0.73,0.74,0.74,0.74,0.75,0.75,0.75,0.76,0.76,0.76,0.77,0.78,0.78,0.79,0.79,0.8,0.8
HTI,7.84,7.99,8.14,8.29,8.43,8.58,8.72,8.86,9,9.13,9.26,9.39,9.51,9.64,9.77,9.9,10.03,10.17,10.31
HND,5.59,5.72,5.85,5.98,6.11,6.24,6.37,6.5,6.63,6.76,6.9,7.04,7.18,7.32,7.47,7.62,7.78,7.94,8.1
HUN,10.25,10.21,10.17,10.14,10.09,10.04,10.2,10.18,10.14,10.12,10.1,10.08,10.07,10.04,10.03,10.01,9.99,9.96,9.94
ISL,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.3,0.31,0.32,0.32,0.32,0.32,0.32,0.32
