ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,0.2,,,,,,0.73,,0.53,0.44,,,0.2,,,,0.46,
DZA,6.38,,,,,,,,,,,,,,,,,,
AGO,,,,,,54.31,,,,,,,,,43.37,,,,
ARG,3.87,4.27,3.77,3.99,4.2,5.06,8.25,12.58,9,6.29,4.62,3.76,3.01,2.74,2.68,1.73,1.41,,
ARM,,17.5,,,16.76,,18.83,14.5,10.68,7.6,4.22,3.17,3.37,1.41,1.56,2.5,2.45,1.75,
AUS,1.34,,,,,,1.35,,1.36,,,,,,,,,,
AUT,1,,0.34,,,0.4,,,,0.34,,,,,,,,,
AZE,25.23,,,,,,6.27,0.02,0.04,,,,,0.31,,,,,
BGD,,60.91,,,,58.59,,,,,50.47,,,,,43.25,,,
BLR,0.36,,,0.84,0.38,0.26,0.12,0.47,0.5,0.06,0.06,0.05,,,0.01,,,,
BEL,0.35,,0.35,,,0.5,,,,,,,,,,,,,
BLZ,14.03,9.66,12.45,11.31,12.21,,,,,,,,,,,,,,
BEN,,,,,,,,,47.33,,,,,,,,,51.61,
BTN,,,,,,,,,23.96,,,,10.22,,,,,2.38,
BOL,,,16.98,,23.32,26.87,21.33,21.98,,11.69,18.31,15.86,12.19,10.48,10.67,,6.97,7.98,
BIH,,,,,,,0.28,,,0.1,,,0.04,,,,,,
BWA,,,,,,,,,24.36,,,,,,13.41,,,,
BRA,9.93,11.21,10.9,9.58,9.87,,10.2,8.87,9.62,8.14,7.18,5.93,5.84,4.87,4.72,,4.53,3.75,
BGR,0.82,,0.32,,,,2.12,,0.62,,,,0.26,0.73,,1.64,1.9,,
BFA,,,,70.03,,,,,48.9,,,,,,44.46,,,,
BDI,,,,86.43,,,,,,,,81.32,,,,,,,
KHM,,,,,,,,,,32.77,,,30.82,20.89,12.93,11.25,10.05,,
CMR,,47.43,,,,,24.86,,,,,,27.61,,,,,,
CAN,,,0.36,0.68,,0.34,,,,0.34,,,0.34,,,0.34,,,
CPV,,,,,,,,21.02,,,,,,13.72,,,,,
CAF,,,,,,,,,62.43,,,,,62.83,,,,,
TCD,,,,,,,,,61.94,,,,,,,,36.52,,
CHL,,2.2,,2.32,,2.16,,,1.73,,,1.07,,,1.28,,0.83,,
CHN,,37.39,,,36,,,28.06,,,15.77,,,12.34,,9.19,6.26,,
COL,,13,,,16.18,17.85,17.86,11.14,10.34,9.01,7.87,11.04,8.84,8.5,7.26,6.17,4.95,5.63,
COM,,,,,,,,,,46.11,,,,,,,,,
COG,,,,,,,,,,,54.1,,,,,,32.82,,
CRI,6.01,7.02,5.3,4.22,5.43,5.56,5.51,5.5,5.4,4.85,3.57,3.72,2.06,2.28,2.86,1.27,1.36,1.35,
CIV,21.09,,,30.06,,,,29.66,,,,,,35.04,,,,,
HRV,,,,,0.19,0.07,0.06,,,,,,,,,,,,
CZE,,0.13,,,,,,,,,,0.07,,0.04,0.03,0.04,0.03,,
COD,,,,,,,,,,,,87.72,,,,,,,
DNK,0.33,,,,,0.34,,,,0.33,,,0.39,,,0.67,,,
DJI,,,,,,,,18.83,,,,,,,,,,,
DOM,,4.69,4.95,,,5.24,3.68,5.27,6.43,7.83,5.38,4.23,3.72,3.35,2.99,2.24,2.54,2.25,
ECU,9.48,,,10.16,16.19,20.32,,,12,10.45,9.16,6.12,6.94,6.26,6.03,4.58,4.04,3.95,
EGY,,2.46,,,,1.81,,,,,2.26,,,1.68,,,,,
SLV,9.96,11.54,,17.38,13.73,13.67,14.4,14.68,13.4,8.02,7.11,4.27,2.85,4.82,4.24,5.17,2.82,2.53,
EST,0.25,,,0.05,,0.6,0.57,0.57,0.37,,0.72,0.73,0.47,0.45,0.59,0.81,0.98,,
ETH,63.2,,,,,54.57,,,,,38.96,,,,,,36.79,,
FJI,,,,,,,,,29.16,,,,,,5.88,,,,
FRA,,,,,,0.35,,,,,0.33,,,,,,,,
GAB,,,,,,,,,,,6.09,,,,,,,,
GMB,,,,65.61,,,,,33.63,,,,,,,,,,
GEO,,4.72,17.52,13.36,17.19,17.75,17.42,14.19,15.62,15.11,14.86,13.87,14.75,14.05,13.99,18.04,16.05,14.14,
DEU,,,,,,,,,,,,,,,,0.34,,,
GHA,,,,39.12,,,,,,,,28.59,,,,,,,
GRC,1.67,,,,,0.68,,,,1.01,,,1.03,,,1.37,,,
GTM,,,,16.23,,11.79,,19.91,17.97,16.47,,13.45,,,,,13.7,,
GIN,,,,,,,,,56.32,,,,39.33,,,,,40.87,
GNB,,,,,,,,48.9,,,,,,,,,,,
GUY,,,,8.7,,,,,,,,,,,,,,,
HTI,,,,,,,61.71,,,,,,,,,,,,
HND,26.18,28.48,19.45,24.4,24.84,,16.96,27.48,25.59,24.59,25.85,22.4,15.8,14.61,12.4,13.41,16.48,,
HUN,,,,,0.02,,,,,,,0.13,,0.03,,0.05,0.05,,
ISL,,,,,,,,,,0.33,,,0.36,,,,,,
IND,,,,,,,,,,,41.64,,,,32.68,,24.68,,
IDN,,43.38,,,47.7,,,29.39,,,21.56,,,22.71,,18.04,16.2,,
IRN,,,,1.26,,,,,,,1.45,,,,,,,,
IRQ,,,,,,,,,,,,,3.37,,,,,3.91,
IRL,0.34,,,,,0.37,,,,,,,,,,0.36,,,
ISR,,,0.36,,,,0.33,,,,0.67,,0.33,,,0.39,,,
ITA,1.01,,,1.67,,1.34,,,,0.67,,,,1.01,,1.35,,,
JAM,,1.76,,,1.33,,37.33,0.31,,0.24,,,,,,,,,
JPN,,,,,,,,,,,,,,0.35,,,,,
JOR,,,1.49,,,,,,1.16,,,0.25,,0.07,,0.08,,,
KAZ,,4.98,,,,,6.12,3.76,2.41,1.45,0.02,0.41,0.16,0.01,,0.06,,,
KEN,,,31.83,,,,,,,,43.37,,,,,,,,
KGZ,,,,31.84,,36.81,32.58,29.74,24.71,10.99,19.91,13.38,1.9,5.5,5.63,6.02,5.11,,
LAO,,,47.53,,,,,41.22,,,,,35.1,,,,,30.26,
LVA,,0.42,0.56,,,,,0.41,,0.11,,1.19,,,,1.38,1.07,,
LSO,,,,,,,,,55.16,,,,,,,56.22,,,
LBR,,,,,,,,,,,,,83.76,,,,,,
LTU,,,,0.12,,0.06,0.3,0.16,0.07,0.06,1.71,1.4,,0.05,,1.48,0.83,,
MKD,,,,,,4.17,,0.53,0.45,0.52,0.28,0.92,,0.28,,,,,
MDG,,,72.04,,82.37,,76.34,,,,82.43,,,,,87.67,,,
MWI,,,,83.22,,,,,,74.95,,,,,,72.16,,,
MYS,2.09,,0.54,,,,,,,0.54,,,,,,,,,
MDV,,,,25.59,,,,,,1.48,,,,,,,,,
MLI,,,,,,,61.18,,,,,51.43,,,,50.61,,,
MRT,,23.4,,,,21.16,,,,25.41,,,,23.43,,,,,
MUS,,,,,,,,,,,,0.21,,,,,,0.43,
MEX,,7.86,,8.62,,5.53,,3.9,,1.6,4.93,0.68,,1.15,,0.72,,1.03,
FSM,,,,,,31.15,,,,,,,,,,,,,
MNE,,,,,,,,,,,0.25,0.14,0.37,0.09,,,0.21,,
MAR,,,,,6.76,,6.27,,,,,,2.57,,,,,,
MOZ,,80.59,,,,,,,74.69,,,,,,60.71,,,,
NAM,,,,,,,,,,31.91,,,,,,23.54,,,
NPL,,67.97,,,,,,,53.13,,,,,,,23.74,,,
NLD,,,,,0.34,,,,,0.68,,,0.37,,,0.35,,,
NIC,,,,12.51,,,14.37,,,,2.84,,,,8.54,,,,
NER,,,,,,,,,,,51.25,,,42.06,,,40.81,,
NGA,,68.65,,,,,,,,61.84,,,,,,62.03,,,
NOR,0.36,,,,,0.34,,,,0.34,,,0.33,,,0.67,,,
PAK,,,48.14,,29.05,,,35.87,,,22.59,22.58,,17.15,,,12.74,,
PAN,15.69,,14.57,14.77,12.66,13.82,,11.07,10.67,9.92,9.49,10.18,7.2,4.73,2.99,3.82,3.55,3.99,
PNG,,35.79,,,,,,,,,,,,,,,,,
