ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,,,,2.1,,,,,,,,
ATG,,,,,,,,23.5,,,,,,,,,,
ARG,,,,,,,,0.2,0.2,0.2,0.1,0.1,,,,0.3,0.4,3.7
ARM,,,,,,,,,,,,,0.2,0.3,,,,
BHS,1.2,1.2,2,1.7,,,0.4,1,,,,,,,,,,
BHR,,,,,,,,,,,,,,,,27.3,,
BLZ,17.1,,16.1,17.9,19.8,,,,,,16.1,,,,,,,
BOL,,,0,,,0.1,,,,,16.5,,,14.6,15.2,,,
BWA,,,,,,,,,,,,11.5,,,,,,
BRA,52.5,49.2,48.5,46.6,45.2,,,,,,,9.1,9,,,,7,
CHL,,,,,,,,,,,,,0,0,,,0.7,
COL,,1.8,1.5,1.6,,,,,,,4.3,,3.1,3.1,3.5,3.7,3.6,
CRI,11.7,0,,0.1,0,0.1,0,0,,1.7,1.7,,1.5,1.8,1.5,1.7,1.2,
CUB,,,,,,,,,,,,1.1,0.8,0.8,,,,
DMA,,,0.1,,,,,,,,,,,,,,,
DOM,,,,,,,,,,,,,,,,,4.8,
ECU,,,,,,,3.7,3.4,,3.2,2.5,2.9,6.3,5.9,5.8,5.8,6.1,
EGY,,,,,,,,,,,,,,3,3.4,3.6,3.4,
SLV,,,,,,,,,,,13.1,,12.1,35.6,94.5,9.8,49.7,
ETH,,,,,1.3,,,,,,,,,,,,,
GEO,,,,,,,,4.1,,,,,,,,,,
GTM,,,,,,,,,,0.3,,0.2,,,,25.3,20.3,
HND,,,,,,,,,,,,,,,,,9.4,
IND,,,,,,76,,,,,68.7,,,,,60.4,,
IDN,,19,,34,35.7,18.3,18.3,17.8,15.7,15.1,13.7,13.6,13.5,13.5,,,,
ISR,,,,,,,0,0,0,0,,0,0,,,,,
KWT,,,,,,,,,,,25.5,,,,,,25.8,
KGZ,,,,,,,,,,,2.2,2.4,,,,,,
LBN,,,,,,,,,,,,,1.7,,,,,
MUS,10.5,,,,,7.6,,,,4.2,4,3.8,3,,,,,
MEX,16.1,,,,15.7,14.3,,13.2,13.1,,,,,,,,,
MNG,,,,,,,,4.1,3.4,,,,3.1,2.6,1.2,1,1.6,
MNE,,,,,,,,,,,2.8,,2.3,2.5,1.8,1.4,1.4,1.2
MAR,31.7,0.1,,,,,,,0,,,,,,,,,
NAM,,,,,,,,,,0,,,,,,,,
NZL,,,,,,19.3,18.9,18.6,,17.8,17.6,,17.1,,,,,
NIC,0.2,,,,,,,,,,,11.6,,10,,13.1,,
NGA,0,,,,,,,,,,,,,,,,,
PAK,,,,,,,,,,,,,1.3,1.2,,,,
PAN,,,,,,,,,2.8,2.7,3.2,2.9,4.5,3.1,4.3,4,0,
PRY,0,,,,,,,,,,,,3.2,3,0.5,0.4,2.2,
PER,9,,,,,,,,,,10.3,,8.5,,8.3,,7.4,
MDA,,,,,,6.6,6,5.6,3.4,3.1,3.5,2.5,1.6,1.1,0.7,0.6,0.7,1.6
ROU,3.3,,,,,,,,,,,,,,,,,
KNA,,,,,,,0.6,,,,,,,,,,,
LCA,8.2,8.2,6.3,4.8,8.5,8,,,,,16.6,,,,,,,
SAU,,,,,27.8,25.7,24.2,25.1,,,,22.3,20.2,18.4,14.8,,,
ZAF,,,,,,,0.2,,,,,,,,,,,
SYR,,,,,,,,,,,,,4.9,,,,,
TJK,,,,,,,,,,1.1,,,,,,,,
THA,,,,,,,,,,,,,,36.2,35.2,33.7,32.7,27
TLS,,,,,,,,,,,,,,,,2.4,,
TTO,,,,,,,,,,,,0.1,0.2,0.3,,,,
TUR,,,,,,,,5.8,3.8,4.5,6,,,,,,,
ARE,,,,,,,,,,,13.8,,,,,,,
URY,,,,,,,,,5.9,,20.9,,,0,,0,,
VEN,,,,,,,,,,,,,2.8,2.6,4.2,3.9,3.5,
YEM,,,,,8.7,,,,,,,,,,,16.7,,
AME,12.8889,,,,,,,,,,,,4.33333,,,,8.30714,
ASE,,,,,,76,,,,,68.7,,,,,60.4,,
LCM,9,,,,,,,,,,,,3.1,,,,3.6,
SAM,,,,,,76,,,,,68.7,,,,,60.4,,
LCE,21.4942,,,,,,,,,,,,4.20515,,,,4.62837,
SAE,,,,,,56.7868,,,,,51.2541,,,,,45.1085,,
# Series: PP00FE15,,,,,,,,,,,,,,,,,,
"# Name: Share of labour force with pre-primary education, Female",,,,,,,,,,,,,,,,,,
"# Definition: Share of females in the labour force age 15+ with education delivered in kindergarten, nursery schools or infant classes or less than one year of schooling",,,,,,,,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
