ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,,,,4.3,,,,,,,,
ATG,,,,,,,,31.2,,,,,,,,,,
ARG,,,,,,,,0.3,0.2,0.1,0.1,0.1,,,,0.4,0.3,4.7
ARM,,,,,,,,,,,,,0.1,0.3,,,,
BHS,1.5,2,1.9,2.6,,,1,1.5,,,,,,,,,,
BHR,,,,,,,,,,,,,,,,26,,
BLZ,27,,27.5,27.9,28.8,,,,,,24.3,,,,,,,
BOL,,,0.1,,,0.1,,,,,4.5,,,5.4,5.2,,,
BWA,,,,,,,,,,,,19.9,,,,,,
BRA,58.6,56.5,56.1,53.9,53.1,,,,,,,11.9,11.9,,,,10.7,
CHL,,,,,,,,,,,,0,0,0,,,1.2,
COL,,1.5,1.4,1.6,,,,,,,6.7,,5.6,5.6,6.1,5.9,5.7,
CRI,18.4,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,3.8,3,,2.8,2.7,2.8,3.4,2.8,
CUB,,,,,,,,,,,,3.1,2.8,2.6,,,,
DMA,,,0.9,,,,,,,,,,,,,,,
DOM,,,,,,,,,,,,,,,,,7.8,
ECU,,,,,,,2.1,2.4,,2.4,2.5,2.1,4.8,4.5,4.3,4.6,4.6,
EGY,,,,,,,,,,,,,,11.7,11.4,11,10.7,
SLV,,,,,,,,,,,12.9,,12.3,36,94.3,10.1,55.5,
ETH,,,,,7.9,,,,,,,,,,,,,
GEO,,,,,,,,2.5,,,,,,,,,,
GTM,,,,,,,,,,0.5,,0.3,,,,19.3,16.9,
HND,,,,,,,,,,,,,,,,,13.2,
IND,,,,,,45.2,,,,,39.9,,,,,33.1,,
IDN,,16.1,,22.2,36.6,12.9,13.8,13.1,10.3,10.6,9.5,10.2,10.8,11.3,,,,
ISR,,,,,,,0,0,0,,0,0,0,,,,,
KWT,,,,,,,,,,,29.4,,,,,,19.2,
KGZ,,,,,,,,,,,2.3,2.3,,,,,,
LBN,,,,,,,,,,,,,5,,,,,
MUS,3.9,,,,,2.9,,,,1.4,1.5,1.5,1.3,,,,,
MEX,21.8,,,,19.3,18.1,,17,16.6,,,,,,,,,
MNG,,,,,,,,5.8,4.2,,,,3.8,3.3,1.7,1.8,2.5,
MNE,,,,,,,,,,,1.5,,2.2,2.7,1.5,1.2,1.2,1.4
MAR,25.4,2.4,,,,,,0,0,,,,,,,,,
NAM,,,,,,,,,,0.1,,,,,,,,
NZL,,,,,,21,20.6,20.4,,19.3,19.6,,18.6,,,,,
NIC,0.2,,,,,,,,,,,16.1,,14.6,,15.4,,
NGA,0.2,,,,,,,,,,,,,,,,,
PAK,,,,,,,,,,,,,3.3,2.8,,,,
PAN,,,,,,,,,5.8,5.8,5.8,5.5,4.2,3.7,1.4,1.3,0,
PRY,0.1,,,,,,,,,,,,2.3,2.3,0.3,0.1,1.9,
PER,5,,,,,,,,,,2.3,,2,,1.8,,1.9,
MDA,,,,,,4.1,4.1,4.1,2.6,2.1,2.2,1.9,1.7,1.2,1.2,0.8,0.8,1.5
ROU,1.1,,,,,,,,,,,,,,,,,
KNA,,,,,,,1.2,,,,,,,,,,,
LCA,11,9.4,9.7,7.2,11.6,10.4,,,,,12.7,,,,,,,
SAU,,,,,16.9,16.4,16,16.3,,,,15.2,13,11.2,9.9,,,
ZAF,,,,,,,0.2,,,,,,,,,,,
SYR,,,,,,,,,,,,,11.6,,,,,
TJK,,,,,,,,,,0.5,,,,,,,,
THA,,,,,,,,,,,,,,31.6,30.7,29.2,28,24
TLS,,,,,,,,,,,,,,,,4.6,,
TTO,,,,,,,,,,,,0.3,0.3,0.3,,,,
TUR,,,,,,,,2.3,2.5,3.4,3.8,,,,,,,
ARE,,,,,,,,,,,15.3,,,,,,,
URY,,,,,,,,,7.9,,27.9,,,0,,0,,
VEN,,,,,,,,,,,,,4.4,4.3,1.6,1.5,1.3,
YEM,,,,,29.8,,,,,,,,,,,30,,
AME,15.9556,,,,,,,,,,,,4.45,,,,8.84286,
ASE,,,,,,45.2,,,,,39.9,,,,,33.1,,
LCM,11,,,,,,,,,,,,2.8,,,,2.8,
SAM,,,,,,45.2,,,,,39.9,,,,,33.1,,
LCE,24.5272,,,,,,,,,,,,5.12835,,,,5.69419,
SAE,,,,,,33.7732,,,,,29.7677,,,,,24.72,,
# Series: PP00MA15,,,,,,,,,,,,,,,,,,
"# Name: Share of labour force with pre-primary education, Male",,,,,,,,,,,,,,,,,,
"# Definition: Share of males in the labour force age 15+ with education delivered in kindergarten, nursery schools or infant classes or less than one year of schooling",,,,,,,,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
