ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,,,,3.9,,,,,,,,
ATG,,,,,,,,27.4,,,,,,,,,,
ARG,,,,,,,,0.2,0.2,0.1,0.1,0.1,,,,0.4,0.3,4.3
ARM,,,,,,,,,,,,,0,0.3,,,,
BHS,1.3,1.6,2,2.2,,,0.7,1.2,,,,,,,,,,
BHR,,,,,,,,,,,,,,,,26.2,,
BLZ,23.8,,23.7,24.4,25.8,,,,,,21.3,,,,,,,
BOL,,,0.1,,,0.1,,,,,9.9,,,9.6,9.7,,,
BWA,,22.1,,,,,,,,,,15.7,,,,,,
BRA,56.1,53.6,53,50.9,49.8,,,,,,,10.7,10.6,,,,9.1,
KHM,,,,,,,,,,,,,,,35.1,35.2,34.4,34.6
CHL,,,,,,,,,,,,0,0,0,,,1,
COL,,1.6,1.5,1.6,,,,,,,5.7,,4.6,4.6,5,5,4.8,
CRI,16.4,0.1,0,0.1,0.1,0.2,0.1,0.1,0.1,3.1,2.5,,2.4,2.4,2.3,2.8,2.2,
CUB,,,,,,,,,,,,2.3,2,1.9,,,,
DMA,,,0.5,,,,,,,,,,,,,,,
DOM,,,,,,,,,,,7.4,7.1,6.8,,,,6.6,
ECU,,,,,,,2.8,2.8,2.8,2.8,2.5,2.4,5.4,5.1,4.9,5.1,5.2,
EGY,,,,,,,,,,,,,,9.7,9.5,9.3,9.1,
SLV,,,,,,,,,,,13,,12.2,35.8,94.4,10,53.1,
ETH,,,,,4.8,,,,,,,,,,,,,
GEO,,,,,,,,3.2,,,,,,,,,,
GTM,,,,,,,,,,0.4,,0.3,,,,21.5,18.1,
HND,,,,,,,,,,,,,,,,,11.8,
IND,,,,,,54,,,,,48.7,,,,,40.2,,
IDN,,17.6,,26.8,36,15.3,15.8,15.1,12.7,12.7,11.4,11.8,12.2,12.1,,,,
ISR,,,,,,,,0,,,,0,,0,,,,
KWT,,,,,,,,,,,28.4,,,,,,21.4,
KGZ,,,,,,,,,,,2.2,2.3,,,,,,
LBN,,,,,,,,,,,,,4.2,,,,,
MUS,6.1,,,,,4.5,,,,2.4,2.4,2.3,1.9,,,,,
MEX,19.9,,,,18.1,16.8,,15.7,15.4,,,,,,,,,
MNG,,,,,,,,5,3.8,,,,3.5,3,1.5,1.4,2.1,
MNE,,,,,,,,,,,2,,2.3,2.6,1.6,1.3,1.3,1.4
MAR,27.3,1.8,,,,,,0,0,,,,,,,,,
NAM,,,,,,,,,,0.1,,,,,,,22,
NZL,,,,,,20.2,19.8,19.6,,18.6,18.7,,17.9,,,,,
NIC,0.2,,,,,,,,,,,14.4,,12.8,,14.5,,
NGA,0.1,,,,,,,,,,,,,,,,,
PAK,,,,,,,,,,,,,2.9,2.5,,,,
PAN,,,,,,,,,4.7,4.6,4.8,4.5,4.3,3.5,3.7,3.5,0,
PRY,0,,,,,,,,,,,,2.7,2.6,0.4,0.4,2.1,
PER,6.6,11.8,,,,,,,,,5.8,,4.8,,4.7,,4.3,
MDA,,,,,,5.4,5.1,4.9,3,2.6,2.9,2.2,1.6,1.2,0.9,0.7,0.7,1.6
ROU,2.1,,,,,,,,,,,,,,,,,
KNA,,,,,,,0.9,,,,,,,,,,,
LCA,9.7,8.8,8.2,6.1,10.1,9.3,,,,,14.7,,,,,,,
SAU,,,,,18.5,17.7,17.2,17.6,,,,16.3,14.1,12.3,10.6,,,
SRB,,,,,,,,,,,,,,,,5.6,4.5,4.4
ZAF,,,,,,,0.2,,,,,,,,9.2,8.4,7.9,
SYR,,,,,,,,,,,,,10.5,,,,,
TJK,,,,,,,,,,0.7,,,,,,,,
THA,,,,,,,,,,,,,,33.7,32.8,31.2,30.1,25.4
TLS,,,,,,,,,,,,,,,,3.9,,
TTO,,,,,,,,,,,,0.2,0.3,0.3,,,,
TUR,,,,,,,,3.2,2.8,3.7,4.3,,,,,,,
ARE,,,,,,,,,,,15.1,,,,,,,
URY,,,,,,,,,7,,24.7,,,0,,0,,
VEN,,,,,,,,,,,,,3.8,3.6,3.7,3.5,3.2,
YEM,,,,,24.8,,,,,,,,,,,28.3,,
AME,14.8889,,,,,,,,,,,,4.60769,,,,8.7,
ASE,,,,,,54,,,,,48.7,,,,,40.2,,
LCM,9.7,,,,,,,,,,,,4.3,,,,4.3,
SAM,,,,,,54,,,,,48.7,,,,,40.2,,
LCE,23.3719,,,,,,,,,,,,4.83465,,,,5.27855,
SAE,,,,,,40.3485,,,,,36.333,,,,,30.0225,,
# Series: PP00TO15,,,,,,,,,,,,,,,,,,
"# Name: Share of labour force with pre-primary education, Total",,,,,,,,,,,,,,,,,,
"# Definition: Share of females and males in the labour force age 15+ with education delivered in kindergarten, nursery schools or infant classes or less than one year of schooling",,,,,,,,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
