ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,50.9526,,
ALB,,,,,,96.4981,,,,,100,,,99.3942,,,,
ARM,,,,,,99.8138,,,99.8138,,100,,100,,,100,100,
AZE,,,,,,99.3399,,,,,,98.4632,,,,,,
BGD,,75.5681,,,80.6702,,,,,84.3173,,88.3866,85.1952,,,,90.7318,
BLR,,,,,,,,,,,100,,,,,,,
BLZ,,,,,,,,,,,,96.8965,,,,,98.8751,
BEN,,32.1027,,,,,54.7157,,,,64.1515,64.1515,,,,,,
BTN,,,,,,,,,,,,,,,,84.0711,,
BOL,,,,92.2207,,93.8136,,,88.0802,,,,,96.6417,,,,
BIH,,,,,,98.0645,,,,,,99.6918,,,,,99.2397,
BFA,,,,48.9899,,,,,51.5915,,,51.4902,51.7894,,,51.7894,,
BDI,,,,,,43.7722,,,,,31.5722,,,63.8035,,63.8035,,
KHM,,,,,,65.2454,,,,,76.8655,,,,,85.1881,,
CMR,,,,84.6527,,88.1774,,,,89.1912,92.3999,92.3999,,,,,93.0079,
CAF,,,,,,58.2311,,,,,,56.4748,,,,,,
TCD,,28.8825,,,,40.1107,,,,40.5371,,,,,,,,
COL,92.7046,,,,,95.2305,95.2305,,,,98.3426,,98.3426,,,95.6491,95.6491,
COM,,,,,,60.6941,,,,,,,,,,,,
COG,,,,,,,,,,,90.131,,90.131,,,,96.8639,
CIV,,,,60.7733,,49.2305,,,,,,53.8282,,63.1357,,,63.1357,
COD,,,,,,64.9275,,,,,,,67.5889,,,69.1452,,
DJI,,,,,,,,,,,,74.2007,,,,,,
DOM,,78.6872,,,86.9553,,,95.1086,,,,95.4288,95.4288,,,,,
EGY,89.4108,,,,,90.8526,,,,,97.7783,,,98.6456,,,,
GNQ,,,,,,63.398,,,,,,,,,,,,
ETH,,,,,,61.6504,,,,,53.3168,,,,,,72.2281,
GAB,,,,,,83.4691,,,,,,,,,,,,96.6651
GMB,,,,,,66.229,,,,,77.8546,,,,,,,
GEO,,,,,,,,,,,99.4685,99.4685,,,,,,
GHA,,,,80.3256,,,,,83.7336,,,91.5098,,90.5973,,,87.0603,
GIN,,,,,43.6746,,,,,,42.1292,,,,,,,
GNB,,,,,,35.1538,,,,,,48.2059,,,,,,
GUY,,,,,,97.885,,,,,,97.3599,,,98.0798,,,
HTI,,,,,,67.5698,,,,,75.5082,,,,,,,78.14
HND,,,,,,,,,,,95.677,,,,,,96.7086,
IND,,,,95.0948,,,,,,,96.17,,,87.9156,90.1353,87.5662,88.9794,89.2698
IDN,,,96.2277,,,,,96.9231,,,,99.042,99.042,,,,98.7455,98.7455
IRQ,,,,,,72.5925,,,,,,76.4939,,,,,84.1591,
JAM,,,,,,,,,,,93.9806,,,,,,,
JOR,,,99.4182,,,,,98.2024,,,,,97.015,,,,,
KAZ,100,,,,99.1767,,,,,,,99.7698,99.7698,,,100,100,
KEN,,,,76.4394,,77.0104,,,,,,,86.4047,86.4047,,,,
KGZ,,,100,,,,,,,,99.8014,,,,,,,
LAO,,,,,,66.54,,,,,,96.513,,,,,97.2568,
LSO,,,,,,82.1862,,,,86.5313,,,94.2481,,94.2481,,,
LBR,,,,,,,,,,,,,59.3192,,,,,
MKD,,,,,,,,,,,98.9653,,,,,,100,
MDG,,,72.8391,,,,,,81.2012,,79.334,,,79.334,,,,
MWI,,,,,,78.1901,,,,87.4316,,,88.9857,,,88.9857,,
MDV,,,,,,,,,,,,,,,99.4598,,,
MLI,25.1711,,,,,,35.8925,,,,,44.3817,,,,,,
MRT,,,,,,,,,,67.9345,,,67.9345,,,,,
MNG,,,,,,99.3333,,,,,99.0476,,99.0476,,,,,
MNE,,,,,,,,,,,100,,,,,,,
MAR,,,,,,,,,81.8037,,,,,,,,,
MOZ,,,20.7598,,,38.5508,,,38.5508,,,,64.3916,64.3916,,,67.6056,
MMR,,,,,,92.2997,,,,,,,,,,,,
NAM,,,,,,94.6354,,,,,,96.6749,96.6749,,,,,
NPL,,66.8901,,,,,78.485,,,,,87.1296,,,,,94.6563,
NIC,,,,89.4625,,,91.817,,,,,,,,,,,
NER,,,,50.4916,,26.0621,,,,,,31.5126,,,,,,
NGA,,,,,85.6439,,,,91.2063,,,,,93.3604,,,96.5286,
PAK,,,,,,,,,,,,90.1924,,,,,,53.7563
PER,,95.2079,,,,96.6634,,,,,,97.3724,97.3724,,,,,98.3633
