ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,5.5037,,
ALB,,,,,,81.4356,,,,,95.1555,,,94.0134,,,,
ARM,,,,,,100,,,100,,99.1015,,99.1015,,,100,100,
AZE,,,,,,96.7568,,,,,,90.9005,,,,,,
BGD,,27.126,,,44.159,,,,,39.4709,,57.0391,53.5798,,,,53.5237,
BLR,,,,,,,,,,,98.7305,,,,,,,
BLZ,,,,,,,,,,,,86.165,,,,,62.4158,
BEN,,0.71142,,,,,2.08329,,,,9.02956,9.02956,,,,,,
BTN,,,,,,,,,,,,,,,,28.3312,,
BOL,,,,36.2519,,56.1516,,,47.8356,,,,,72.1713,,,,
BIH,,,,,,92.674,,,,,,96.3252,,,,,96.863,
BFA,,,,3.02339,,,,,2.84787,,,8.48639,6.32642,,,6.32642,,
BDI,,,,,,13.253,,,,,5.09453,,,18.4734,,18.4734,,
KHM,,,,,,11.5857,,,,,23.0647,,,,,42.3561,,
CMR,,,,24.9541,,31.2817,,,,18.3505,9.21229,9.21229,,,,,11.8206,
CAF,,,,,,5.9685,,,,,,2.76818,,,,,,
TCD,,0,,,,3.30812,,,,0.06378,,,,,,,,
COL,50.6992,,,,,67.7801,67.7801,,,,74.9116,,74.9116,,,83.0477,83.0477,
COM,,,,,,29.4114,,,,,,,,,,,,
COG,,,,,,,,,,,43.0752,,43.0752,,,,49.56,
CIV,,,,15.9134,,8.48578,,,,,,9.15278,,15.3415,,,15.3415,
COD,,,,,,12.9492,,,,,,,11.4604,,,14.33,,
DJI,,,,,,,,,,,,18.7526,,,,,,
DOM,,26.004,,,50.5035,,,63.0751,,,,68.3859,68.3859,,,,,
EGY,40.3604,,,,,42.7466,,,,,50.5423,,,62.2026,,,,
GNQ,,,,,,32.0981,,,,,,,,,,,,
ETH,,,,,,3.27313,,,,,4.04658,,,,,,14.3918,
GAB,,,,,,33.7501,,,,,,,,,,,,62.8061
GMB,,,,,,5.26345,,,,,21.7424,,,,,,,
GEO,,,,,,,,,,,96.0632,96.0632,,,,,,
GHA,,,,33.642,,,,,38.2924,,,38.6172,,38.0938,,,46.3555,
GIN,,,,,1.47622,,,,,,2.92791,,,,,,,
GNB,,,,,,1.95722,,,,,,0.72807,,,,,,
GUY,,,,,,86.7531,,,,,,85.3883,,,79.4764,,,
HTI,,,,,,9.8213,,,,,13.2605,,,,,,,23.2389
HND,,,,,,,,,,,50.0287,,,,,,66.704,
IND,,,,32.7928,,,,,,,40.0883,,,61.8298,67.6008,70.0703,66.7441,61.9775
IDN,,,68.7444,,,,,80.0745,,,,80.5902,80.5902,,,,84.9111,84.9111
IRQ,,,,,,25.899,,,,,,26.8637,,,,,23.4965,
JAM,,,,,,,,,,,96.3166,,,,,,,
JOR,,,88.8687,,,,,92.8565,,,,,95.6024,,,,,
KAZ,99.2231,,,,99.325,,,,,,,99.6519,99.6519,,,100,100,
KEN,,,,41.4029,,32.5563,,,,,,,47.8339,47.8339,,,,
KGZ,,,97.601,,,,,,,,99.885,,,,,,,
LAO,,,,,,23.7117,,,,,,15.856,,,,,26.5519,
LSO,,,,,,42.1539,,,,41.2073,,,61.4827,,61.4827,,,
LBR,,,,,,,,,,,,,7.5969,,,,,
MKD,,,,,,,,,,,76.5799,,,,,,91.2045,
MDG,,,7.70237,,,,,,7.40671,,11.2854,,,11.2854,,,,
