ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,53.7782,,
ALB,,,,,,98.0966,,,,,96.3464,,,97.2184,,,,
ARM,,,,,,100,,,100,,99.8879,,99.8879,,,100,100,
AZE,,,,,,99.4363,,,,,,97.6703,,,,,,
BGD,,61.9358,,,67.6848,,,,,73.4015,,80.2754,76.3058,,,,84.5093,
BLR,,,,,,,,,,,100,,,,,,,
BLZ,,,,,,,,,,,,95.7471,,,,,94.8576,
BEN,,23.8359,,,,,38.9053,,,,52.3779,52.3779,,,,,,
BTN,,,,,,,,,,,,,,,,78.8323,,
BOL,,,,89.5429,,90.6406,,,89.7663,,,,,95.531,,,,
BIH,,,,,,98.4202,,,,,,97.9368,,,,,98.1807,
BFA,,,,51.9942,,,,,52.5359,,,48.2418,49.4509,,,49.4509,,
BDI,,,,,,48.6487,,,,,54.7948,,,63.0755,,63.0755,,
KHM,,,,,,56.5949,,,,,68.5047,,,,,77.5104,,
CMR,,,,77.0101,,79.3855,,,,76.6899,79.8798,79.8798,,,,,83.2257,
CAF,,,,,,48.2574,,,,,,41.7242,,,,,,
TCD,,22.8846,,,,37.7452,,,,38.0117,,,,,,,,
COL,90.395,,,,,93.5595,93.5595,,,,95.0711,,95.0711,,,93.8221,93.8221,
COM,,,,,,55.9119,,,,,,,,,,,,
COG,,,,,,,,,,,81.2812,,81.2812,,,,88.8103,
CIV,,,,56.7274,,38.523,,,,,,40.8853,,56.801,,,56.801,
COD,,,,,,55.1805,,,,,,,53.9787,,,58.9705,,
DJI,,,,,,,,,,,,48.841,,,,,,
DOM,,73.3021,,,78.5685,,,87.9195,,,,89.3224,89.3224,,,,,
EGY,82.6399,,,,,84.9094,,,,,89.1432,,,92.3798,,,,
GNQ,,,,,,61.1635,,,,,,,,,,,,
ETH,,,,,,56.7911,,,,,62.754,,,,,,74.4029,
GAB,,,,,,78.1929,,,,,,,,,,,,88.8251
GMB,,,,,,57.2987,,,,,68.6736,,,,,,,
GEO,,,,,,,,,,,99.1803,99.1803,,,,,,
GHA,,,,74.1526,,,,,79.4141,,,82.7126,,84.292,,,79.4034,
GIN,,,,,34.1135,,,,,,39.3029,,,,,,,
GNB,,,,,,29.258,,,,,,38.5704,,,,,,
GUY,,,,,,96.9236,,,,,,95.0803,,,97.4404,,,
HTI,,,,,,62.1772,,,,,65.9882,,,,,,,70.4885
HND,,,,,,,,,,,87.1897,,,,,,90.9248,
IND,,,,83.6838,,,,,,,85.8221,,,,,,,
IDN,,,93.8334,,,,,95.5258,,,,95.7041,95.7041,,,,98.1718,98.1718
IRQ,,,,,,62.2673,,,,,,66.1852,,,,,64.8819,
JAM,,,,,,,,,,,96.8333,,,,,,,
JOR,,,96.1005,,,,,96.6271,,,,,97.9094,,,,,
KAZ,100,,,,99.6277,,,,,,,99.4845,99.4845,,,100,100,
KEN,,,,74.2297,,50.187,,,,,,,82.6859,82.6859,,,,
KGZ,,,98.972,,,,,,,,99.6326,,,,,,,
LAO,,,,,,80.7617,,,,,,92.8435,,,,,91.8647,
LSO,,,,,,77.7551,,,,82.9268,,,90.5965,,90.5965,,,
LBR,,,,,,,,,,,,,52.4638,,,,,
MKD,,,,,,,,,,,92.3252,,,,,,97.1003,
