ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,76.054,,
ALB,,,,,,91.9363,,,,,96.3184,,,98.5716,,,,
ARM,,,,,,99.6402,,,99.6402,,99.7661,,99.7661,,,100,100,
AZE,,,,,,99.2982,,,,,,99.1899,,,,,,
BGD,,78.2806,,,83.4548,,,,,80.1146,,88.8321,82.828,,,,87.7612,
BLR,,,,,,,,,,,100,,,,,,,
BLZ,,,,,,,,,,,,97.1691,,,,,94.0055,
BEN,,55.1596,,,,,71.7456,,,,81.385,81.385,,,,,,
BTN,,,,,,,,,,,,,,,,93.2925,,
BOL,,,,96.4115,,97.1558,,,97.1946,,,,,98.4105,,,,
BIH,,,,,,97.8462,,,,,,100,,,,,98.6278,
BFA,,,,62.9171,,,,,60.713,,,71.8597,67.1437,,,67.1437,,
BDI,,,,,,38.2239,,,,,35.2132,,,60.6512,,60.6512,,
KHM,,,,,,75.3918,,,,,84.3986,,,,,86.7089,,
CMR,,,,89.2283,,87.8042,,,,90.4917,93.7811,93.7811,,,,,94.3829,
CAF,,,,,,59.8014,,,,,,64.0465,,,,,,
TCD,,56.54,,,,61.0914,,,,58.2347,,,,,,,,
COL,95.2125,,,,,94.4764,94.4764,,,,98.5503,,98.5503,,,98.6184,98.6184,
COM,,,,,,63.8422,,,,,,,,,,,,
COG,,,,,,,,,,,90.4537,,90.4537,,,,95.2938,
CIV,,,,80.5786,,72.195,,,,,,70.378,,85.1507,,,85.1507,
COD,,,,,,66.836,,,,,,,78.0063,,,74.4115,,
DJI,,,,,,,,,,,,86.8062,,,,,,
DOM,,79.2711,,,73.6691,,,85.4416,,,,93.1111,93.1111,,,,,
EGY,93.5,,,,,91.0917,,,,,97.289,,,98.0599,,,,
GNQ,,,,,,58.4823,,,,,,,,,,,,
ETH,,,,,,69.7301,,,,,69.0539,,,,,,81.3985,
GAB,,,,,,83.2064,,,,,,,,,,,,94.8486
GMB,,,,,,83.6032,,,,,83.7704,,,,,,,
GEO,,,,,,,,,,,98.4712,98.4712,,,,,,
GHA,,,,91.5061,,,,,90.8757,,,95.4603,,96.673,,,92.7628,
GIN,,,,,68.129,,,,,,70.3449,,,,,,,
GNB,,,,,,52.3108,,,,,,58.1678,,,,,,
GUY,,,,,,98.0537,,,,,,94.097,,,99.1147,,,
HTI,,,,,,72.3277,,,,,79.6384,,,,,,,81.4832
HND,,,,,,,,,,,95.881,,,,,,97.3985,
IND,,,,94.4978,,,,,,,96.6095,,,85.7329,85.9494,86.93,88.0977,87.6293
IDN,,,97.1064,,,,,97.6916,,,,99.1573,99.1573,,,,99.08,99.08
IRQ,,,,,,72.897,,,,,,84.5384,,,,,87.2212,
JAM,,,,,,,,,,,97.4423,,,,,,,
JOR,,,97.5021,,,,,97.3607,,,,,98.395,,,,,
KAZ,98.9052,,,,100,,,,,,,99.0844,99.0844,,,100,100,
KEN,,,,74.059,,76.5204,,,,,,,83.8331,83.8331,,,,
KGZ,,,100,,,,,,,,99.4042,,,,,,,
LAO,,,,,,73.7487,,,,,,96.3539,,,,,96.3112,
LSO,,,,,,68.9441,,,,70.8005,,,86.101,,86.101,,,
LBR,,,,,,,,,,,,,64.075,,,,,
MKD,,,,,,,,,,,98.4254,,,,,,100,
MDG,,,74.1182,,,,,,81.1924,,79.9331,,,79.9331,,,,
MWI,,,,,,77.2118,,,,84.3245,,,85.1305,,,85.1305,,
MDV,,,,,,,,,,,,,,,98.9931,,,
MLI,50.7594,,,,,,59.0216,,,,,65.4492,,,,,,
MRT,,,,,,,,,,72.4778,,,72.4778,,,,,
MNG,,,,,,98.3539,,,,,98.6297,,98.6297,,,,,
MNE,,,,,,,,,,,96.7531,,,,,,,
MAR,,,,,,,,,88.2685,,,,,,,,,
MOZ,,,27.1133,,,43.237,,,43.237,,,,68.9679,68.9679,,,76.8842,
MMR,,,,,,92.0371,,,,,,,,,,,,
NAM,,,,,,90.1167,,,,,,96.0692,96.0692,,,,,
NPL,,77.8453,,,,,79.7532,,,,,88.5185,,,,,96.6044,
NIC,,,,87.567,,,88.5683,,,,,,,,,,,
NER,,,,60.2052,,44.6632,,,,,,46.4793,,,,,,
NGA,,,,,94.0261,,,,90.506,,,,,95.901,,,97.5607,
PAK,,,,,,,,,,,,89.8593,,,,,,57.4412
PER,,98.4858,,,,98.5924,,,,,,98.1658,98.1658,,,,,99.1167
PHL,,,,97.3687,,,,,97.9332,,,,,97.7182,,,,
MDA,,,,,,99.2771,,,99.6601,,99.6601,,,,,,,
RWA,,,,,,59.6583,,,,,32.5083,,,,,48.4599,,
STP,,,,,,82.3113,,,,,,,,92.0344,,,,
SEN,,,,,,,,,,,54.9092,,62.3088,,,62.3088,,
SRB,,,,,,,,,,,98.2775,,,,,98.2533,98.2533,
SLE,,,,,,56.2455,,,,,69.6793,,,84.0964,,83.7949,,
SOM,,,,,,,,,,,,10.7177,,,,,,
SUR,,,,,,96.3334,,,,,,97.3406,,,,97.8078,,
SWZ,,,,,,78.5056,,,,,,86.3275,87.8418,,,87.8418,,
SYR,,,,,,,,,,,,94.7308,,,,,,
TJK,,,,,,97.6526,,,,,98.3691,,,,,,,
TZA,,87.4377,,,80.9642,,,,,79.5509,,,95.7529,,,95.7529,,
THA,,,,,,,,,,,99.9304,,,,,,,
TLS,,,,,,,,,,,,,,,85.743,,,
TGO,,,,72.3686,,71.135,,,,,,90.1261,,,,91.1521,,
