ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,27.8657,,
ALB,,,,,,85.2419,,,,,91.6329,,,93.8247,,,,
ARM,,,,,,98.9758,,,98.9758,,96.7937,,96.7937,,,100,100,
AZE,,,,,,96.1877,,,,,,96.4127,,,,,,
BGD,,28.1876,,,37.3615,,,,,28.7667,,47.0547,40.109,,,,43.3073,
BLR,,,,,,,,,,,100,,,,,,,
BLZ,,,,,,,,,,,,87.9375,,,,,62.2976,
BEN,,3.81067,,,,,15.5192,,,,26.8827,26.8827,,,,,,
BTN,,,,,,,,,,,,,,,,35.6969,,
BOL,,,,52.8912,,62.8085,,,63.4111,,,,,81.5551,,,,
BIH,,,,,,92.6154,,,,,,95.6553,,,,,100,
BFA,,,,7.08626,,,,,8.68749,,,13.4171,10.6993,,,10.6993,,
BDI,,,,,,15.0538,,,,,10.6073,,,26.8426,,26.8426,,
KHM,,,,,,22.843,,,,,32.3008,,,,,38.313,,
CMR,,,,33.6055,,32.5336,,,,31.6976,35.231,35.231,,,,,31.7132,
CAF,,,,,,17.4804,,,,,,11.7633,,,,,,
TCD,,6.43647,,,,13.3455,,,,0.20676,,,,,,,,
COL,44.8228,,,,,61.5294,61.5294,,,,65.2288,,65.2288,,,78.8784,78.8784,
COM,,,,,,32.843,,,,,,,,,,,,
COG,,,,,,,,,,,51.6341,,51.6341,,,,60.0828,
CIV,,,,25.7695,,17.9484,,,,,,18.516,,20.8554,,,20.8554,
COD,,,,,,23.2638,,,,,,,23.7743,,,22.3544,,
DJI,,,,,,,,,,,,51.0721,,,,,,
DOM,,19.9728,,,34.5264,,,42.1419,,,,51.3397,51.3397,,,,,
EGY,64.4658,,,,,69.1453,,,,,72.9892,,,75.4737,,,,
GNQ,,,,,,31.5452,,,,,,,,,,,,
ETH,,,,,,10.3423,,,,,10.9012,,,,,,18.7193,
GAB,,,,,,34.0816,,,,,,,,,,,,59.1432
GMB,,,,,,18.0514,,,,,35.4389,,,,,,,
GEO,,,,,,,,,,,96.8202,96.8202,,,,,,
GHA,,,,37.7022,,,,,40.1906,,,38.6255,,49.2905,,,41.0558,
GIN,,,,,10.7749,,,,,,16.0381,,,,,,,
GNB,,,,,,3.63283,,,,,,10.0419,,,,,,
GUY,,,,,,85.1389,,,,,,79.352,,,76.8954,,,
HTI,,,,,,10.6588,,,,,13.2614,,,,,,,15.361
HND,,,,,,,,,,,43.1324,,,,,,56.6961,
IND,,,,55.7298,,,,,,,60.2458,,,69.0611,70.9998,69.4053,65.8898,66.0284
IDN,,,66.4629,,,,,77.8869,,,,78.4663,78.4663,,,,85.0736,85.0736
IRQ,,,,,,40.8266,,,,,,48.1727,,,,,44.7117,
JAM,,,,,,,,,,,98.9217,,,,,,,
JOR,,,88.083,,,,,93.0989,,,,,94.7179,,,,,
KAZ,99.6049,,,,97.1264,,,,,,,99.6374,99.6374,,,99.4505,99.4505,
KEN,,,,42.2439,,31.6268,,,,,,,49.2981,49.2981,,,,
KGZ,,,98.1089,,,,,,,,100,,,,,,,
LAO,,,,,,33.7919,,,,,,32.9995,,,,,38.5379,
LSO,,,,,,18.1586,,,,14.6604,,,20.4697,,20.4697,,,
LBR,,,,,,,,,,,,,16.8412,,,,,
MKD,,,,,,,,,,,77.9061,,,,,,91.9058,
MDG,,,4.13594,,,,,,8.42763,,11.1441,,,11.1441,,,,
MWI,,,,,,36.2849,,,,42.8805,,,43.1076,,,43.1076,,
MDV,,,,,,,,,,,,,,,90.4026,,,
MLI,2.48009,,,,,,5.19653,,,,,14.3912,,,,,,
MRT,,,,,,,,,,14.4367,,,14.4367,,,,,
MNG,,,,,,64,,,,,71.5762,,71.5762,,,,,
MNE,,,,,,,,,,,87.6659,,,,,,,
MAR,,,,,,,,,31.2873,,,,,,,,,
MOZ,,,2.2116,,,1.99657,,,1.99657,,,,12.831,12.831,,,23.6524,
MMR,,,,,,53.486,,,,,,,,,,,,
NAM,,,,,,48.0556,,,,,,48.2244,48.2244,,,,,
NPL,,47.1082,,,,,38.2051,,,,,61.3555,,,,,68.5464,
NIC,,,,13.4443,,,13.0732,,,,,,,,,,,
NER,,,,18.515,,6.12955,,,,,,4.43587,,,,,,
NGA,,,,,51.2103,,,,40.833,,,,,34.0306,,,39.6522,
PAK,,,,,,,,,,,,38.7316,,,,,,28.1576
PER,,69.7639,,,,71.2934,,,,,,76.0723,76.0723,,,,,86.4623
PHL,,,,49.8183,,,,,53.0632,,,,,53.055,,,,
MDA,,,,,,98.2454,,,94.5748,,94.5748,,,,,,,
RWA,,,,,,21.2145,,,,,5.99009,,,,,17.8432,,
STP,,,,,,36.2655,,,,,,,,36.4062,,,,
SEN,,,,,,,,,,,5.50774,,19.4741,,,19.4741,,
SRB,,,,,,,,,,,87.4264,,,,,89.6361,89.6361,
SLE,,,,,,12.2252,,,,,9.72866,,,15.3414,,55.4661,,
SOM,,,,,,,,,,,,0.53325,,,,,,
SUR,,,,,,31.5506,,,,,,42.5,,,,62.5863,,
SWZ,,,,,,42.8296,,,,,,36.2386,46.2754,,,46.2754,,
SYR,,,,,,,,,,,,83.7609,,,,,,
TJK,,,,,,99,,,,,95.978,,,,,,,
TZA,,61.7364,,,62.5993,,,,,31.2051,,,58.1873,,,58.1873,,
THA,,,,,,,,,,,94.7248,,,,,,,
TLS,,,,,,,,,,,,,,,43.3776,,,
TGO,,,,20.3773,,30.668,,,,,,47.8184,,,,35.4098,,
TTO,,,,,,92.1687,,,,,,93.1977,,,,,,
TUR,,,,89.6579,,,84.8877,,84.8877,,,,,,,,,
UGA,19.0076,,,,,27.3354,,,,,,29.6725,29.6725,,,,23.7218,
UKR,,,,,,,,,,,98.4726,,100,,,,,
UZB,,99.0532,,,,,,,,,,90.7355,,,,,,
VEN,,,,,,68.5832,,,,,,,,,,,,
VNM,,,51.912,,,59.0658,,64.7964,,,,84.7156,,,,89.0896,,
YEM,,,,,,,,,,,,48.5998,48.5998,,,,,
ZMB,,32.0697,,,,34.6078,17.916,,,,,,33.8936,,,,,
ZWE,,,,,69.7055,,,,,,68.8811,,69.1375,,69.3728,69.1375,,
# Series: PRCRMALQ,,,,,,,,,,,,,,,,,,
"# Name: Primary completion rate, lowest income quintile, male",,,,,,,,,,,,,,,,,,
"# Definition: Percentage of (i) children and young people aged 3-7 years above primary school graduation age and (ii) young people aged 15-24 years, who have completed primary school.",,,,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Educational For All Monitoring Project (EFA) Global Monitoring Report",,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
