ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,93.27,93.46,89.52,90.84,87.62,89.1,80.93,78.91,79.13,81.03,79.2
ALB,51.93,60.58,60.8,60.46,56.72,63.9,61.8,65.19,64.06,58.01,55.75,56.06,59.16,56.27,52.91,54.61,52.06,52.4
DZA,27.77,25.29,28.97,29.66,30.59,26.67,22.57,23.53,22.18,27.59,27.29,25.61,22.88,19.97,20.65,20.85,17.98,15.88
AND,35.56,34.77,33.81,27.96,33.85,35.18,31.25,31.19,31.4,30.83,30.86,29.57,30.21,30.13,29.92,26.55,26.41,23.43
AGO,29.41,47.91,52.41,69.95,48.13,50.53,51.69,57.81,57.11,52.14,50,33.46,34.56,29.35,39.05,39.52,37.4,37.84
ATG,33.54,35.81,33.98,32.05,30.74,30.99,32.67,31.62,33.03,34.99,34.43,33.96,35.4,33.63,26.68,24.56,26.25,24.58
ARG,40.24,42.28,45.55,45.83,44.93,46.1,45.97,46.44,48.26,48.51,46.47,45.3,41.75,38.16,33.98,36.04,33.46,30.8
ARM,68.9,72,75.6,71.42,71.62,81.81,73.21,74.79,72.74,74.47,63.73,55.16,51.28,53.55,55.78,57.86,47.79,58.15
AUS,34.22,34.75,33.11,33.64,31.62,33.19,33.72,33.09,33.89,33.32,33.11,33.41,32.49,32.14,31.49,32.17,31.63,33.09
AUT,26.5,26.81,24.83,24.73,24.29,24.36,24.93,25.23,25.51,25.31,24.68,24.34,24.19,23.68,23.78,25.32,24.66,24.45
AZE,75.97,75.74,77.46,83.37,81.61,81.44,81.12,82.27,87.36,87.02,88.8,85.99,80.76,81.15,77.11,78.1,78.42,77.24
BHS,60.15,59.9,57.53,54.54,52.82,51.95,52.06,52.23,52.87,52.19,55.62,52.79,55.04,54.06,52.55,53.31,54.39,53.93
BHR,29.83,30.61,28.43,31.53,31.15,32.67,33.26,33.64,33.12,32.63,31.67,30.93,29,26.67,27.38,28.7,30.06,28.09
BGD,63.86,63.83,57.7,59.18,60.13,60.98,60.06,60.32,62.35,61.22,65.1,63.51,65.61,64.37,63.41,63.5,61.82,65.57
BRB,32.05,31.66,34.79,34.61,34.59,34.2,32.44,31.22,33.91,34.91,35.61,35.24,33.34,32.55,33.28,34.99,34.04,34.41
BLR,28.88,24.68,17.68,22.96,23.49,24.51,28.45,29.51,26.16,25.26,27.06,29.77,30.85,34.92,35.98,22.31,29.47,22.81
BEL,23.2,21.82,24.62,25.2,25.42,25.39,24.59,26.2,24.81,23.99,23.88,26.17,26.65,25.1,23.95,24.91,24.09,24.09
BLZ,38,43.6,42.25,43.21,44.49,47.39,42.48,43.9,42.87,42.92,40.52,39.29,36.49,35.29,33.69,34,33.53,35.1
BEN,55,55.71,57.92,55.77,54,55.8,50.75,55.81,52.25,52.32,50.31,49.78,49.25,49.05,46.65,48.83,47.9,48.54
BTN,30.79,20.15,21.98,23.04,24.92,20.74,21.59,16.2,25.89,27.54,25.66,22.23,15.17,13.93,15.04,15.37,16.06,16.09
BOL,36.18,35.65,33.98,38.78,41.86,39.9,40.68,37.18,39.92,37.45,33.81,30.11,31.85,34.95,33.94,33.83,29.23,28.25
BIH,62.77,56.96,56.63,58.11,46.57,43.28,40.14,37.46,31.44,42.8,42.73,39.88,36.27,32.27,29.43,29.12,28.72,28.85
BWA,47.64,47.5,43.5,43.55,42.24,37.83,27.83,24.64,35.93,29.86,27.26,29.42,29.65,30.36,30.83,37.18,38.35,43.64
BRA,56.99,59.46,57.05,57.36,57.27,59.7,57.71,55.36,55.63,52.98,59.86,58.31,58.18,57.24,56.43,52.98,54.26,53.58
BRN,22.15,18.59,18.83,16.17,22.24,13.51,18.94,17.64,16.34,16.34,14.48,13.19,11.32,8.88,7.96,7.8,8.02,8.24
BGR,26.04,30.4,28.34,30.1,33.67,39.07,41.61,38.74,37.89,39.24,39.08,43.05,41.8,41.47,44.65,44.31,44.69,43.71
BFA,61.27,61.63,58.95,60.09,58.82,60.36,62.63,56.1,53.58,46.33,40.46,43.14,39.73,40.95,50.6,44.61,50.49,45.66
BDI,67.76,67.77,72.75,69.25,68.82,69.35,64.69,66.48,71.65,62.82,68.23,68.78,62.3,57.31,55.59,37.65,36.72,40.54
KHM,83.01,74.32,76.16,81.84,81.78,79.53,79.94,76.94,67.88,67.64,77.94,82.39,76.29,81.37,80.55,77.53,77.37,75.32
CMR,76.68,82.71,78.92,82.26,81.2,79.02,75.8,73.28,72.96,75.62,77.03,77.46,77.37,79.31,73.5,69.87,65.3,66.49
CAN,28.75,29.23,29.88,29.44,30.04,29.65,30.02,30.48,29.83,29.68,29.76,30.24,29.81,29.51,29.08,29.24,29.61,29.95
CPV,19.57,18.32,18.38,25.05,26.33,26.75,24.57,24.74,25.02,25.13,24.87,22.53,21.28,23.35,23.65,23.24,24.49,22.61
CAF,57.66,62.12,60.92,61.99,53.49,49.83,52.36,50.01,51.27,54.6,50,51.15,46.54,46.79,58.14,49.84,48.6,50.34
TCD,65.31,62.82,64.82,69.34,66.08,57.5,60.22,69.01,53.16,64.44,58.9,67.86,76.73,78.44,78.52,75.21,70.38,68.7
CHL,61.76,62.25,61.5,60.18,58.48,56.72,57.2,57.45,61.51,60.88,61.03,59.03,57.46,55.78,52.07,51.89,51.58,51.41
CHN,49.5,53.41,55.76,58.19,59.11,61.72,64.43,64.17,63.77,62.03,61.23,59.35,53.07,50.05,47.5,45.69,44.11,44.04
COL,44.94,37.9,37.54,30.06,25.52,20.7,21.3,19.74,17.28,23.98,25.79,25.8,27.41,29.03,26.58,26.37,24.77,24.22
COM,36.7,38.53,41.55,45.04,48.28,56.25,61.33,51.71,50.8,48.44,47.84,44.97,43.3,40.98,55.8,58.8,59.79,44.12
COG,40.69,39.87,38.3,40.66,42.81,42.47,45.22,47.49,50.19,46.4,40.76,37.03,39.09,40.6,49.63,39.53,32.55,26.1
COK,7.58,8.03,10.39,10.06,11.17,9.91,6.61,8.58,8.92,9.57,5.71,7.24,6.83,7.99,5.77,5.82,9.02,8.89
CRI,23.5,23.84,23.8,21.05,21.49,21.36,24.76,24.19,24.7,27.51,29.38,31.01,32.76,30.47,27.51,26.52,25.32,25.38
CIV,74.11,73.2,73.48,76.64,74.33,71.54,73.86,67.92,70.98,71.8,76.58,76.89,77.6,75.48,73.54,73.49,75.48,72.51
HRV,13.54,12.42,15.52,12.96,12.66,13.86,16.72,19.95,17.39,18.94,13.98,13.93,12.97,15.13,15.11,15.2,17.51,17.68
CUB,9.77,9.51,9.32,9.43,8.81,9.17,9.56,11.86,10.55,10.91,8.04,7.69,5.15,4.63,4.22,4.81,4.96,5.85
CYP,64.16,65.9,64.77,58.12,57.34,58.35,57.64,55.02,54.87,56.16,58.19,57.57,57.41,58.64,55.26,56.72,56.73,56.86
CZE,9.11,9.33,9.71,9.57,9.52,9.68,10.23,9.53,10.2,10.85,12.69,13.27,14.81,17.45,16.04,16.24,15.82,15.19
COD,95.88,96.68,94.96,96.24,94.17,95.85,94.72,94.03,78.3,78.8,76.37,72.58,66.41,52.89,57.9,54.55,49.21,48.65
