ISO,2001,2002,2004,2005,2006,2007,2008,2010,2011,2012
ARG,,,,,97.74,,,,,
AUS,,,,,,,,,98.82,
AZE,,,,,,,,,96.48,
BLZ,38.5,,,,,,,,,
BEN,,,,22.08,,,,,,
BWA,,,,,,,,,76.07,
BRA,,,,,98.94,,,,,
BGR,,,,,,,,,98.18,
BFA,,,,,,36.39,,,,
BDI,,,,,,,46.25,,,
CMR,,,,65.18,,,,,,
CAN,,,,,,,,,99.92,
TCD,,,21.9,,,,,,,
CHL,,,,,99.5,,,,,
COL,,,,,,,,,92.51,
COM,,,,,,,22.31,,,
COG,,,,,,32.17,,,,
CRI,,,,,99.72,,,,,
CIV,,,,,,,32.01,,,
HRV,,,,,,,,,100,
CUB,,,,,99.46,,,,,
CYP,96.1,,,,,,,,,
CZE,,,,,,,,,100,
DNK,,,,,,,,,100,
DOM,,,,,94.06,,,,,
ECU,,,,,94.03,,,,,
SLV,,,,,98.86,,,,,
FIN,,,,,,,,,99.91,
FRA,,,,,,,,,99.86,
GAB,,,,,80.73,,,,,
GEO,,,,,,,,,97.03,
DEU,,,,,,,,,99.8,
GRC,99.1,,,,,,,,,
GTM,,,,,95.65,,,,,
HND,,,,,,,,,92.51,
HUN,,,,,,,,,99.09,
ISL,,,,,99.54,,,,,
IND,,,,,,,,,,46.29
IDN,,,,,,,,,88.36,
IRN,,,,,,,,,90.46,
IRL,,,,,,,,,99.59,
ISR,,,,,,,,,97.49,
ITA,,,,,,,,,99.84,
KEN,,,,,,91.45,,,,
KWT,,,,,,,,,67.23,
LVA,,,,,99.7,,,,,
LBN,,,,,,,,52.55,,
LSO,,,,,,76.06,,,,
LTU,,,,,,,,,99.7,
LUX,,,,,100,,,,,
MKD,,,,,82.86,,,,,
MDG,,,,25,,,,,,
MWI,,,,,,66.4,,,,
MLI,,,,,,,,,89.57,
MRT,,,9.57,,,,,,,
MUS,,,,,,85.25,,,,
MAR,,,,,,,,,32.05,
MOZ,,,,,,79.46,,,,
NAM,,,,,,83.5,,,,
NLD,,,,,,,,,100,
NZL,,,,,,,,,98.27,
NIC,,,,,98.28,,,,,
NER,,13.2,,,,,,,,
NOR,,,,,,,,,99.73,
OMN,,,,,,,,,61.82,
PAK,,,,,,,,,,49.21
PRY,,,,,94.69,,,,,
PER,,,,,96.65,,,,,
POL,,,,,,,,,99.68,
PRT,,,,,,,,,99.95,
QAT,,,,,,,,,73.24,
MDA,,,,,99.41,,,,,
RUS,,,,,,,,,99.96,
SAU,,,,,,,,,73.32,
SEN,,,,,,39.71,,,,
SYC,,,,,,81.87,,,,
SGP,,,,,,,,,99.61,
SVK,,,,,,,,,99.67,
SVN,,,,,,,,,99.59,
SOM,,,,,,,,,95.11,
ZAF,,,,,,,,,69.81,
ESP,,,,,,,,,99.44,
SWZ,,,,,,97.96,,,,
SWE,,,,,,,,,99.9,
TZA,,,,,,96.77,,,,
TGO,,,,,,,,14.64,,
TTO,,,,,,,,,92.05,
TUR,88.45,,,,,,,,,
UGA,,,,,,80.82,,,,
ARE,,,,,,,,,78.39,
URY,,,,,99.02,,,,,
ZMB,,,,,,58.25,,,,
ZWE,,,,,,77.64,,,,
ACE,,,,,,,,,99.4273,
AME,,,,,97.4308,,,,,
ASE,,,,,,,,,,47.75
ECM,,,,,,,,,99.73,
LCM,,,,,98.28,,,,,
SAM,,,,,,,,,,46.29
ECE,,,,,,,,,61.0279,
LCE,,,,,60.3821,,,,,
SAE,,,,,,,,,,39.9741
# Series: PRREMAIN,,,,,,,,,,
"# Name: Achieving basics in reading, male",,,,,,,,,,
# Definition: Percentage of children taking part in an assessment who achieved an international minimum learning standard in reading. (Primary level),,,,,,,,,,
# Source: World Inequality Database on Education (WIDE),,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,
