ISO,2003,2006,2007,2011
ARG,,94.9,,
ARM,,,,90.05
AUS,,,,99.24
AZE,,,,90.45
BHR,,,,92.87
CAN,,93.83,,
CHL,,,,98.6
COL,,,79.93,
HRV,,,,99.96
CUB,,99.5,,
CYP,98.85,,,
CZE,,,,99.73
DNK,,,,99.59
DOM,,85.84,,
SLV,,,77.14,
FIN,,,,99.88
GEO,,,,95.46
DEU,,,,99.87
HUN,,,,98.51
IRN,,,,91.25
IRL,,,,99.18
ITA,,,,99.67
JPN,,,,99.97
KAZ,,,,98.96
KWT,,,,68.45
LVA,,,100,
LTU,,,,99.86
MLI,,,,90.89
MNG,,,90,
MAR,,,,30.9
NLD,,,,100
NZL,,,,98.08
NGA,,,67.38,
NOR,,,,99.94
OMN,,,,74.93
PRY,,93.43,,
PER,,91.18,,
PHL,51.96,,,
POL,,,,99.28
PRT,,,,99.75
QAT,,,,77.25
KOR,,,,100
MDA,98.27,,,
RUS,,,,100
SAU,,,,94.2
SRB,,,,98.66
SGP,,,,99.61
SVK,,,,98.35
SVN,,,,99.22
SOM,,,,93.76
ESP,,,,99.73
SWE,,,,99.79
THA,,,,95.86
TUN,,,,66.04
TUR,,,,93.27
UKR,,,97.36,
ARE,,,,88.17
USA,,,,99.75
URY,,97.42,,
YEM,,,,19.67
ACE,,,,98.2983
HIA,,,,96.164
ASA,,,,99.75
ECM,,,,99.59
HIM,,,,99.61
NAN,,,,99.75
ECE,,,,63.6954
HWW,,,,81.9597
NAE,,,,89.8106
# Series: PRSCFEIN,,,,
"# Name: Achieving basics in science, female",,,,
# Definition: Percentage of children taking part in an assessment who achieved an international minimum learning standard in science. (Primary level),,,,
# Source: World Inequality Database on Education (WIDE),,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
