ISO,2003,2006,2007,2011
ARG,,94.41,,
ARM,,,,87.09
AUS,,,,98.73
AZE,,,,89.15
BHR,,,,85.59
CAN,,92.91,,
CHL,,,,98.91
COL,,,81.69,
HRV,,,,99.82
CUB,,99.7,,
CYP,98.64,,,
CZE,,,,99.79
DNK,,,,99.76
DOM,,85.56,,
SLV,,,80.05,
FIN,,,,99.94
GEO,,,,92.15
DEU,,,,99.95
HUN,,,,98.37
IRN,,,,90.63
IRL,,,,98.58
ITA,,,,99.84
JPN,,,,100
KAZ,,,,98.14
KWT,,,,49.64
LVA,,,99.64,
LTU,,,,99.67
MLI,,,,90.26
MNG,,,88.14,
MAR,,,,28.6
NLD,,,,100
NZL,,,,98.19
NGA,,,61.93,
NOR,,,,99.91
OMN,,,,62.75
PRY,,90.98,,
PER,,94.02,,
PHL,47.44,,,
POL,,,,99.33
PRT,,,,99.89
QAT,,,,67.33
KOR,,,,100
MDA,97.73,,,
RUS,,,,99.96
SAU,,,,77.13
SRB,,,,98.49
SGP,,,,99.69
SVK,,,,98.97
SVN,,,,99.63
SOM,,,,94.6
ESP,,,,99.6
SWE,,,,99.58
THA,,,,92.73
TUN,,,,55.24
TUR,,,,91.47
UKR,,,95.82,
ARE,,,,79.19
USA,,,,99.77
URY,,98.21,,
YEM,,,,14.01
ACE,,,,97.8783
HIA,,,,93.7047
ASA,,,,99.77
ECM,,,,99.6
HIM,,,,99.63
NAN,,,,99.77
ECE,,,,63.4976
HWW,,,,81.429
NAE,,,,89.8286
# Series: PRSCMAIN,,,,
"# Name: Achieving basics in science, male",,,,
# Definition: Percentage of children taking part in an assessment who achieved an international minimum learning standard in science. (Primary level),,,,
# Source: World Inequality Database on Education (WIDE),,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
