ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,10,1200010,1802050,740879,947963,911679,527664,527186,515657,358954,1312950,1545190,1495300,984297
ALB,523,363,131,119,87,91,92,99,87,90,99,106,114,278
DZA,169600,169422,169241,169033,169048,94407,95124,95734,94991,90285,94448,94964,95869,95961
AGO,12086,12250,286542,147353,105132,68555,61498,25905,28665,35782,19669,23330,19390,45488
ARG,544,948,3981,3853,3906,3899,4025,4350,2845,,,2423,3463,4278
ARM,280591,264337,247555,239326,235303,219620,113792,4664,4124,3646,6825,5954,8772,13975
AUS,,,,,,,,,,,,28676,,
AUT,,30127,,32359,,,,,,,,,22971,22223
AZE,572738,587293,588214,584710,588115,584343,691979,691518,607898,590261,596846,600985,603441,611497
BHS,100,,,,,,,,,,38,42,52,22
BHR,3,1,1,1,6,15,18,35,97,151,234,359,339,346
BGD,21627,22173,22047,19800,20476,21156,26390,27626,28392,28586,229253,229671,230700,231125
BRB,,,,,,,,,,,,,1,
BLR,1023,924,907,928,13920,13378,12030,11100,10890,8459,8386,8036,7607,7336
BEL,,12265,12578,,,15282,17259,17570,17574,15545,18583,39886,40958,27909
BLZ,1250,1151,1063,869,762,638,489,360,284,251,164,133,104,80
BEN,1885,5025,5335,5670,5855,31989,12146,8157,7145,7329,7240,7575,5097,298
BOL,235,235,370,528,546,538,587,794,755,713,736,734,741,713
BIH,38152,33131,395970,364418,334351,199967,151512,146556,194444,181704,179427,129361,177263,162963
BWA,3551,3581,3783,3917,3873,3108,3292,2942,3201,3228,3235,3558,3440,2995
BRA,3265,3531,3736,3776,3833,3458,20890,21208,4369,4407,5444,9147,11710,22044
BRN,,,,,,,,,,,,,21009,
BGR,1755,2428,2888,5617,,822,639,975,746,853,6555,6402,3517,4560
BFA,696,707,834,965,1010,1161,1267,1133,1161,1058,1065,1211,39992,30014
BDI,27136,35890,202593,133909,151028,108686,79078,71812,135515,163084,204405,130193,164204,134352
KHM,34,1101,281,122,698,226,295,418,225,164,180,113,101,66
CMR,4028,43795,42190,64770,64984,58808,39244,62294,83268,101269,106658,103671,102095,122702
CAN,,,,,,20552,23463,37419,54182,61152,51025,82687,42937,33656
CAF,55661,52911,56073,48172,27768,26529,161284,206521,205892,225309,215338,199896,106043,911379
TCD,17693,13596,33455,147365,259881,275481,399437,473015,534897,529893,529049,497729,500358,454956
CHL,372,472,413,515,654,913,1472,1894,1613,,,2038,278,2164
CHN,294122,295325,297277,299397,299419,301125,234,253,96,301036,301108,301048,301302,301345
COL,240,227,217,1244270,1566080,2000200,3000230,3000270,3000290,3304320,3672430,3888660,3943810,5368380
COG,122960,116766,111962,96387,72751,69851,62352,43327,28084,116379,138732,145307,102807,54733
CRI,5519,8104,12519,13585,10413,,775,17701,18599,19703,19880,20512,21083,21185
CIV,122933,128563,145893,131931,74199,82109,738978,735678,734186,710821,26376,754468,219636,68073
HRV,134326,67952,42894,30689,23714,15736,11873,7808,33943,28304,25901,24167,23980,20305
CUB,954,1051,1008,842,800,738,694,629,535,459,422,388,374,362
CYP,76,1943,2216,5431,10559,13768,13432,13086,9479,7903,8790,6562,6267,6534
CZE,6279,12805,8953,5262,6930,5522,4763,4223,3558,,1004,,4881,5000
COD,332488,365778,342562,234479,199680,235091,1325000,1554580,1654820,2257740,1905250,1891320,3184260,3812960
DNK,,,,,,,,,,,3216,,3623,5084
DJI,23243,23176,21778,30837,18035,10475,9275,7138,9656,13032,15843,22247,22234,23810
