ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,4.77505,,,,4.56711,4.62233,,3.20619,2.66338,,,1.74874,1.43749,1.62405,1.10975,1.00543,0.91256,
DZA,10.9533,10.7428,12.9521,,14.6291,17.1722,15.1855,14.1511,14.0506,14.3419,13.6239,14.4153,13.5684,9.53357,13.0873,9.15963,9.20384,8.63382,
AND,,,,,,,,,,,,,3.29482,3.41484,2.94118,2.51767,2.24618,2.74223,
AGO,,,,,,,,,,,,,,9.39781,10.6005,10.1626,8.62112,,
ATG,,,,,,,,,,,,,2.41922,7.00786,5.38963,8.21664,5.47535,5.52374,
ARG,,6.36244,6.17873,6.37853,6.94892,7.19379,7.468,7.15628,7.50224,7.68233,7.59459,7.72974,7.31172,6.83124,6.11349,5.51409,5.04759,,
ARM,,,,,,,,0.1456,0.11746,0.13514,0.16194,0.14353,0.17082,0.09093,0.23647,0.15326,0.10928,0.15572,
AUT,,,,1.63906,1.76714,,,1.39561,,1.40704,,,,,,,2.76284,2.76688,
AZE,0.34588,0.42831,0.46301,0.43275,0.44174,0.44825,0.39644,0.29345,0.38114,0.27626,0.288,0.29276,0.32402,0.32358,0.28675,0.28847,0.28223,0.24525,
BHS,,,,,,,,,,,,,,,,4.36432,,,
BHR,5.81298,6.32635,,5.63659,4.5774,4.96274,4.58698,4.36894,,3.59189,3.29838,3.00933,,2.05189,1.85271,1.12265,1.22835,1.11693,
BGD,,,,,,,,,,,10.4033,11.1755,,13.3756,13.8179,12.6457,9.65483,,
BLR,1.18074,1.06383,0.94888,1.05787,0.52205,0.55828,0.37043,0.31796,0.24782,0.10243,0.06808,0.05446,0.05024,0.04343,,,0.06271,0.02991,
BEL,,,,,,,,,,3.29644,,3.29904,3.26155,3.50014,3.39187,3.34828,3.21412,,
BLZ,11.8974,11.3483,,,10.8021,10.6101,11.4457,,11.0444,12.4562,12.9466,11.724,10.8894,9.42471,9.53369,8.79654,9.79213,8.87425,
BEN,24.2799,24.9102,25.1392,23.7591,,19.9693,19.9007,20.922,19.8945,23.0091,16.6887,,,14.2794,,13.45,10.9006,11.6528,
BTN,,,,13.836,12.4762,13.7341,13.5216,,,,,7.58696,,7.23526,7.44722,7.12168,6.56693,6.12146,
