ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,46.1,,,,,,,,,,,
ARG,,,,11.8,12.3,13.4,14.9,19.9,19.2,,17,15.9,14.5,15.5,14.8,12.2,11.9,16.1
ARM,,,,,,,,,,,,,,19,,,,
AUS,,,,,,,11.7,11.9,12.1,12,12,12.2,12.3,12.3,13.2,13.4,13.1,13.1
AUT,3.1,2.6,2.6,2.7,2.8,2.6,2.7,2.8,3.1,3.8,4.7,5,5.6,6.3,6.7,7,7,6.9
AZE,,,,,,,,,13.3,,,,,,,,,
BHS,,12.9,11.3,10.3,11.2,11.7,7.4,9.6,,,,,,,,,,
BHR,,,,,,,,,,2.2,,,,,,,,
BEL,4.3,4.4,4.4,4.7,6.5,6.2,5.6,5,5.5,5.5,5.9,5.3,5.6,5.5,5.6,5.8,6.3,6.3
BLZ,23.7,12.8,12.2,10.2,12,,,,,,,,,,,,,
BTN,,,,,,,,,,,,2.7,,,4.2,48.8,7.1,1.4
BOL,,,,,17,14.4,18.6,20.9,,20.7,19.4,19,,16.8,17.3,,,
BIH,,,,,,,,,,,,10.8,10.4,9.9,8.7,8.9,9.6,14.8
BWA,,,,,,,,,,,,11.7,,,,,,
BRA,,,,,,,8.8,9.3,9.7,9.9,10.3,10.7,10.3,10.1,10.1,,,
BGR,,,,,,,2.8,2.2,1.7,2.5,1.6,1.4,1.2,1.9,2,2.1,2.1,2.1
CAN,10.7,10.8,10.6,10.5,10.3,10.4,10.5,11,11.1,10.9,10.9,10.9,11.1,11.4,12,12.1,12.2,11.8
CHL,,2.7,2.8,2.2,2.9,3.1,3.8,3.6,3.8,4.2,4.8,5,5.2,6,7.1,12.3,11.8,11.3
COL,,,,,,14.3,17.8,17.9,17.4,17.3,13,15.7,11.5,9.7,11.8,12.7,13,14.1
CRI,8.1,8.7,8.4,8.5,8.4,8.2,9.5,9.5,9.8,9.4,9.9,9.3,8.4,6.9,8.2,11.2,13.5,13.6
HRV,,,,,,,,6.2,5.8,6.5,7,7.1,6,6.4,6.6,6.8,7.2,6.5
CYP,,,,,3.3,4.5,4.6,3.5,4.9,4.5,4.5,3.9,4.1,4.5,5.1,6.1,7.2,7.6
CZE,1.8,1.9,1.8,1.7,1.7,1.5,1.6,1.4,1.6,1.5,1.6,1.6,1.7,1.7,2.1,2.3,1.9,2.3
DNK,9.7,10.2,11.1,9.9,8.9,9.3,9.3,10.3,10.4,11.1,11.6,11.9,11.9,12.9,13.5,13.5,13.8,14.4
DMA,,,11.7,,,,,,,,,,,,,,,
DOM,,,,,,12,11.8,13.2,12.8,,,13.8,13,12,12,11.8,,
ECU,5.7,,,8.5,11,12.7,13.5,,14.6,19.1,16.7,17.8,16.5,14,15.7,13.8,11.7,11.5
SLV,9.4,,8.1,12.4,,12.1,14.8,14.7,15.2,13.5,20.2,17.9,12.5,13.1,14.4,14.8,3,3.4
EST,,,8,4.7,5.3,4.2,4.7,3.9,5.5,5,4.9,4.3,4.3,4,7,7.1,5.6,5.8
ETH,,,,,,,,,,16.8,,,,,,,,
FIN,5.6,5.5,6.3,6.5,6.4,7,7.1,7.4,7.8,7.8,7.8,8,8,8,8.7,9,9.4,9.5
