ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,47.6,,,,,,,,,,,
ARG,,,,19.9,20.4,21.2,22.9,29.7,29.3,,27.1,25.8,23.7,24.7,24,20.5,19.9,25.2
ARM,,,,,,,,,,,,,,24,,,,
AUS,,,,,,,23.7,23.9,24.2,23.7,23.9,23.9,23.7,23.7,24.6,24.7,24.6,24.6
AUT,11.1,10.9,10.7,11.5,12.3,12.2,12.4,13.1,13.7,15.1,16,16.6,17.1,17.6,18.4,18.9,18.9,19.1
AZE,,,,,,,,,17.8,,,,,,,,,
BHS,,14.4,12.8,10.8,11.8,13.2,8.3,10.7,,,,,,,,,,
BHR,,,,,,,,,,2.3,,,,,,,,
BEL,14.5,14.8,15,15.6,17.8,17.1,16.9,15.7,16.5,16.4,16.5,16.3,16,16.2,15.9,16.3,17,17.1
BLZ,27.4,17.1,17.2,14.4,16.2,,,,,,,,,,,,,
BTN,,,,,,,,,,,,3.7,,,7.8,49.8,9.2,8.9
BOL,,,,,21.6,19.3,32.3,26.5,,26.3,24.8,25,,22.5,23.3,,,
BIH,,,,,,,,,,,,11.5,10.7,11.5,10.2,10.3,10.3,15.7
BWA,,,,,,,,,,,,13.5,,,,,,
BRA,,,,,,,16.8,17.9,18,18.2,19,19.2,18.3,18,17.8,,,
BGR,,,,,,,3.2,2.8,2.2,2.8,2,1.9,1.6,2.3,2.3,2.3,2.3,2.4
CAN,18.8,19.1,19.1,18.8,18.4,18.1,18.1,18.8,19,18.6,18.4,18.2,18.3,18.6,19.3,19.4,19.1,18.8
CHL,,4.3,4.5,3.9,4.4,4.5,5.3,5,5.4,6.3,6.8,7.3,7.7,8.8,10.1,18,17.2,16.7
COL,,,,,,19.6,23.7,25.1,23.2,23.5,18.9,21.9,16.5,14.9,17.8,19,19.6,21.2
CRI,12.5,12.3,13.6,14.4,13.8,13.1,15.2,15.2,15.3,14.5,15.6,14.6,14.1,12.7,14.2,16.5,19.2,18.7
HRV,,,,,,,,7.8,7.9,8.3,9.7,8.9,8.1,8.5,8.6,9.2,9.3,7.8
CYP,,,,,6.4,8.3,8.2,6.9,8.6,8.3,8.6,7.4,7.1,7.5,8.4,9.1,9.8,10.5
CZE,3.4,3.3,3.3,3.2,3.3,3.2,3.2,2.9,3.2,3.1,3.3,3.3,3.5,3.5,3.9,4.3,3.9,4.3
DNK,16.9,16.6,17.2,17.1,15.3,16.1,14.7,15.4,16,16.9,17.2,17.7,17.2,17.8,18.7,19.1,19.2,19.3
DMA,,,18.7,,,,,,,,,,,,,,,
DOM,,,,,,15.5,15.9,16.5,16.3,,,17.6,16.6,17,15.9,13.7,,
ECU,10.1,,,13.3,16.3,17,18.9,,18,24.9,21.9,23.2,21,19.3,20.4,17.9,17,16
SLV,12,,10.4,14.7,,15.1,17.4,16.7,16.6,16,22.7,20.3,16.4,16.4,18.2,18.4,4.8,5
EST,,,10.2,7.4,7.2,6.8,7.5,6.7,8,7.8,7.8,7.8,8.2,7.2,10.5,11,10.6,10.4
ETH,,,,,,,,,,21.8,,,,,,,,
FIN,8.4,8.2,9.2,9.5,9.7,10.2,10.3,10.9,11.1,11.2,11.1,11.3,11.5,11.3,12.2,12.3,12.5,12.8
FRA,15.6,16,16.8,17.2,17.2,16.9,16.4,16.2,16.8,17,17.2,17.2,17.3,17,17.4,17.8,17.9,18
GEO,,,,,,,,,45.6,43.2,,,,,,,,
DEU,14.1,14.7,15.6,16.2,17.1,17.5,18.3,18.8,19.6,19.9,21.4,21.8,21.9,21.7,21.8,21.7,22.1,22.6
GRC,7.8,8,8.3,9.1,8,5.5,4.9,5.4,5.6,5.9,6.3,7.4,7.6,7.9,8.4,8.8,9,9.6
GRD,,23.7,,32.4,,,,,,,,,,,,,,
GTM,,,,21.8,,17.7,,25.7,20,,,,,,,,,
HND,11.6,14.9,13,13.1,16.3,,14.9,16.3,22.5,,,,,,,,,
HUN,2.8,2.7,2.9,3.2,3.2,2.9,2.5,2.6,3.2,3.3,3.2,2.7,2.8,3.1,3.6,3.6,4.7,4.7
ISL,22.5,20.9,22.4,23.2,21.2,20.4,20.4,20.1,16,16.6,16.4,16,15.9,15.1,17.5,18.4,17,17.3
IDN,,26.1,25.1,27.9,27.3,23.2,21.4,22.2,21,,,,,,,,,
IRL,12,11.6,12.3,16.7,16.7,16.7,16.5,16.5,16.9,16.9,4.2,16.9,17.7,18.5,21.4,22.6,23.5,23.9
ISR,11.5,11.2,10.6,11.5,11.9,11.9,12.4,12.7,12.5,12.5,12.4,12.4,12.2,12.1,12.2,11.6,11.3,12.1
ITA,6.5,6.6,7,7.4,7.9,8.8,9,8.6,8.6,12.6,12.8,13.2,13.6,14.3,14.2,15,15.4,17
JAM,8.2,7.3,7.7,7.1,8.8,9,12.5,11.3,,,,,,,,,,
JPN,,,,,,,,17.3,17.8,17.7,17.8,17.5,18.4,19.1,19.7,19.6,20,20
KSV,,,,,,,,,,,,,,,,,,11.1
