ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,5.1,,,,2.3,,,,,,,,,,
DZA,,,,,,,2.1,,2,1.3,,,,,,,,
ARG,,,0.4,0.7,0.3,0.4,0.4,0.3,0.3,0.1,0.1,0.1,,,,0.5,0.2,5.9
ARM,,,,,,,,,,,,,0.1,,,,,
AZE,,,,,,,,,0.1,,,0,0,0,,,,
BHR,,,0,0,0,0,,0,0,0,0,3.4,7.3,,,5.8,,
BEL,,,,,,,,,,,,,8.6,7.9,,,,
BLZ,,,,0,0,,,,,,19.4,,,,,,,
BOL,,1.1,2,,0,1,,,,,1.5,,,0,2.9,,,
BWA,,,,,,,0.1,,11.7,,,13.5,,,,,,
BRA,,,,,,,11.3,10.7,10,8.5,8.1,8.1,8.3,,,,7.7,
CHL,,,,,,,,,,,,,,,,,0.8,
COL,,,,,,,3,4.3,3.4,3,2.7,2.6,3.6,3.5,3.1,3.4,3.2,
CRI,0,0.2,0,0.5,0,0.2,0,0,0,0,3.7,,2.1,2.3,3.8,2.8,4.1,
CUB,,,,,,,,,,,,2.4,1.3,1.7,,,,
CYP,0.6,0.6,0.8,0.9,0.7,1.2,8.2,2.1,1.4,7.1,1.1,0,0,1.4,,,,
CZE,0,1.1,0,1.4,1.4,0.9,1.6,0,0,0,0,0,0,0,,,,
DNK,,,,,,,,,2.1,2.7,0,0,0,0,,,,
DMA,,,1.1,,,,,,,,,,,,,,,
DOM,,,,,,,,,,4.3,4.6,2.2,4.6,,,,2.9,
ECU,,,,,2.4,2.9,1.7,2.9,,2.4,1.7,2.5,1.8,2.5,1.1,2.1,1.8,
EGY,,,,,,,,,,,,,,1.8,2,2.1,6.8,
SLV,,,,,,,,,,,9.1,,15.8,39.9,95.7,10.2,0,
FRA,,,,,,,,,1.5,1.6,1.2,0.9,0.7,0.6,,,,
GRC,,,,0.6,0.8,0.5,0.6,0.3,0.1,0.7,0.3,0.4,0.5,1.2,,,,
GTM,,,,,,,,,,,,,,,,19.9,3.7,
HND,,,,10.2,,,,,,,,,,,,,4.7,
IND,,,,,,,,,,,,,,,,21.1,,
IDN,,,5.5,5.2,4.8,3.6,7.7,5.7,5.1,5.7,5,4.7,4.4,4.7,,,,
IRL,,,,,0.7,,,,,,,,,,,,,
ISR,,,,,,0,0,0,0,0,0,0,0,0,,,,
JAM,,,,,,,,4,2.5,1.7,1,1.3,2.1,1.9,,,,
KWT,16.9,,,,,,,,,,,,,,,,,
KGZ,,,,,,,,0,0,0,0,0,,,,,,
LVA,,,,,,,0,0,0,0,0,0,0,0,,,,
LBN,,,,,,,,,,0,,,2.6,,,,,
MUS,,,,,,,,,,1,0.5,0.5,1.1,1.4,24.7,21.9,,20.1
MNG,,,,,,,,4.9,2,,,,1.6,0.3,2.5,2.1,1.1,
MNE,,,,,,,,,,,1.6,,,2.5,1.1,1.4,1.5,2.3
MAR,11.8,,,0,0.1,0.1,0,0,,,,,,,,,,
NLD,,,,3.2,3.1,2.7,2.1,1.6,1.7,1.4,0.9,1.1,1.4,2.3,,,,
NZL,42.4,41.8,39.6,39.1,36.3,38.8,35.4,34.6,31.7,,,,,,,,,
NIC,0,0,0,0,0,0,0,0,9.5,9.7,7.8,8.2,,8.1,,7.8,,
NOR,,,,,,,4.3,3.8,1.6,1.6,1.6,2.2,2.9,2.6,,,,
PAK,0,,,,,2.7,2.7,4.5,4.5,5.1,5.1,4,3.8,3.7,,,,
PAN,,,,,,,,,,,,,0.6,0.3,0,0.1,0,
PRY,,,,,,,,,,,,,1.7,1.3,0,0,0.7,
PER,,,,,,,,0.7,1.2,0.4,0.2,,0.2,,0.4,,1.6,
PRT,5.4,4.4,5.2,4.9,5.4,3,4.5,3.7,4.7,3.6,3.9,4,3.9,4.3,,,,
QAT,,,20.9,,,,,,,,,10,,8.9,10.5,,6.4,
MDA,,,,,,0.5,1.6,2.6,2.3,1.3,1.3,1.3,1.2,0.7,0.8,0.2,0.6,1.4
LCA,8,7.8,10.5,9,14.8,9.7,,,,,,,,,,,,
