ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,4.5,,,,1.8,,,,,,,,,,
DZA,,,,,,,1.8,,1.8,1.3,,,,,,,,
ARG,11.2,10.8,0.3,0.4,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.1,,,,0.3,0.2,4.5
ARM,,,,,,,,,,,,,0.1,,,,,
AZE,,,,,,,,,0.1,,,0,0,0,,,,
BHR,,,0,0,0,0,,0,0,0,0,1.5,4.6,,,2.9,,
BEL,,,,,,,,,,,,,7.7,6.7,,,,
BLZ,,,,0,0,,,,,,19.5,,,,,,,
BOL,,2.4,4,,0.6,2.8,,,,,4.4,,,1.8,4.1,,,
BWA,,,,,,,0.1,,7.3,,,9.7,,,,,,
BRA,,,,,,,10.2,9.5,8.5,7.8,6.9,6.8,6.6,,,,6.2,
CHL,,0,0.2,0,0,0,0,0,0,0,0,,,,,,0.6,
COL,,,,,,,2.3,3.6,3.1,2.4,2.2,2.7,2.8,2.8,2.6,2.9,2.5,
CRI,0.3,0.1,0,0.3,0,0.1,0,0,0,0,2.9,,1.2,1.8,3.1,2.3,2.6,
CUB,,,,,,,,,,,,1.7,1.2,1.3,,,,
CYP,1,0.9,0.9,0.8,0.7,3.3,4.6,3.7,1.4,3.6,1,0.6,0.6,1.4,,,,
CZE,0,0.5,0.4,1.5,1.5,0.9,1.4,0.3,0,0,0,0,0,0,,,,
DNK,,,,,,,,,1.7,1.7,0,0,0,0,,,,
DMA,,,0.5,,,,,,,,,,,,,,,
DOM,,,,,,,,,,5,4.5,3.5,4.1,,,,3.8,
ECU,,,,,1.6,2.2,2.2,2,1.4,1.7,1.6,2.4,2.6,2.1,1.1,1.9,1.6,
EGY,,,,,,,,,,,,,,1.2,1.5,1.3,4.1,3
SLV,,,,,,,,,,,8.3,,14.1,35.2,94.5,8.5,0,
FRA,,,,,,,,,1.2,1.6,1.2,0.8,0.7,0.6,,,,
GRC,,,,0.6,1,0.6,0.5,0.3,0.1,0.6,0.4,0.3,0.5,1,,,,
GTM,,,,,,,,,,,,,,,,13.1,4.2,
HND,,,,8.5,,,,,,,,,,,,,3.7,
IND,,,,,,,,,,,,,,,,22.9,,
IDN,,5,5.2,5.1,4.6,3.8,7.2,7.2,7.1,6.5,5.7,5.6,4.4,4.7,,,,
IRL,,,,,0.5,,,,,,,,,,,,,
ISR,,,,,,0,0,0,0,0,0,0,0,0,,,,
JAM,,,,,,,,4.8,4,3.1,4.8,3.7,3.9,3.3,,,,
KWT,15.2,,,,,,,,,,,,,,,,,
KGZ,,,,,,,,0,0,0,0,0,,,,,,
LVA,,,,,,,0,0,0,0,0,0,0,0,,,,
LBN,,,,,,,,,,0,,,2.4,,,,,
MUS,,,,,,,,,,1.6,1.2,0.8,1.5,1.7,20.5,19,,17.4
MNG,,,,,,,,2.7,1.8,,,,1.2,0.8,1.5,1.5,0.7,
MNE,,,,,,,,,,,1,,,1.3,1.6,1.6,2.1,2.4
MAR,14.8,,,0,0.1,0.1,0,0,,,,,,,,,,
NAM,,,,,,,,,,,,,,,,,24.9,
NLD,,,,2.1,2.2,2,1.5,1.6,1.5,1.2,0.9,0.8,0.7,1.6,,,,
NZL,39.6,39.2,37.6,36.9,34.3,34.7,32.5,31,28.8,,,,,,,,,
NIC,0,0,0,0,0,0,0,0,9.7,7.7,6.3,7,,7.3,,7.1,,
NOR,,,,,,,3.6,3.3,2.8,0.9,2.7,3.6,3.2,3,,,,
PAK,0,,,,,2.1,2,3.5,3.5,4.1,4.1,3.4,3.1,2.8,,,,
PAN,,,,,,,,,,,,,0.5,0.5,0.3,0.4,0,
PRY,,,,,,,,,,,,,2.3,1.8,0.1,0.2,0.7,
PER,,,,,,,,1.2,1.4,1.1,0.9,,0.7,,0.8,,1.5,
PRT,6.3,5.6,4.7,5.1,5.4,4,4.9,4.1,3.9,3.3,3.4,3.9,3.3,3.4,,,,
QAT,,,16,,,,,,,,,4,,4.8,4.4,,3.5,
MDA,,,,,,0.5,1.1,1.7,1.5,0.9,1.2,0.9,0.9,0.6,0.5,0.2,0.6,1.9
LCA,7.8,7.3,7.7,7,11.1,8,,,,,,,,,,,,
SAU,,,,,8.8,5.8,6.2,5,,,,2.7,1.5,1.1,0.9,,,
SEN,,,,,,,,,,,,50.4,,,,,,
SGP,11,,,,,,,,,,,,,,,,,
SVK,,,,,,,0.1,0,0,0,0,0.3,0.1,0.1,,,,
SVN,,,,,,,,,,,,0,0,2.3,,,,
ZAF,,,,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,,,8.6,8.1,6.9,
ESP,8,7.3,7.2,6.7,6.9,1.1,1.1,0.9,1,1.2,0.9,0.9,1.2,1.3,,,,
SYR,,,,,,,,0,,,,6.1,11.4,12.5,,,,
