ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,,,,,,,,,8.4,1.1,11.2,5.6,13.7,3.6,21,8.4,7,11.6,
ALB,13.3,9.1,-10.2,12.7,10.1,7.3,7,2.9,5.7,5.9,5.5,5,5.9,7.7,3.3,3.5,3,1.6,0.4
DZA,3.8,4.1,1.1,5.1,3.2,2.2,2.6,4.7,6.9,5.2,5.1,2,3,2.4,2.4,3.6,2.4,2.5,3.1
AGO,10.4,11.2,7.9,6.8,3.2,3,3.1,14.5,3.3,11.2,18.3,20.7,22.6,13.8,2.4,3.4,3.9,6.8,3.6
ATG,-4.9,6.1,5.6,4.9,4.9,3.3,55.9,2.6,5.8,3.2,7.6,12.8,7.2,1.5,-10.3,-8.9,-3.2,2.1,1.7
ARG,-2.8,5.5,8.1,3.8,-3.4,-0.8,-4.4,-10.9,9,8.9,9.2,8.4,8,3.1,0.1,9.1,8.6,0.9,3
ARM,6.9,5.9,3.3,7.3,3.3,5.9,9.6,13.2,14,10.5,13.9,13.2,13.8,6.9,-14.2,2.2,4.7,7.2,3.5
AUS,3,4.3,4.1,5,4.2,3.1,2.6,3.9,3,4.1,3.1,2.7,4.5,2.7,1.5,2.2,2.6,3.6,2.4
AUT,2.7,2.5,2.3,3.8,3.5,3.7,0.9,1.7,0.9,2.6,2.4,3.7,3.7,1.4,-3.8,1.8,2.8,0.9,0.4
AZE,-11.8,1.5,5.6,10,7.6,11.1,10,10.4,11.3,10.2,26.3,34.6,25,10.8,9.4,4.9,0.1,2.2,5.8
BHS,,,,6.9,3.7,13,2.6,2.7,-1.3,0.9,3.4,2.5,1.4,-2.3,-4.2,1,1.7,1.8,2
BHR,4,3.9,2,4.7,6.2,5.2,4.1,15.8,7.2,5.6,7.9,6.6,8.3,6.2,2.5,4.3,1.9,3.4,5.5
BGD,4.9,4.6,5.4,5.2,4.9,5.9,5.3,4.4,5.3,6.3,6,6.6,6.4,6.2,5.7,6.1,6.7,6.3,6
