ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,3587340,3809770,2510280,2136040,2414470,2166150,2107520,1909910,2833130,2887120,3054710,2664440,2586150,2556520
ALB,6802,7626,10761,10385,10478,12722,14079,15340,15006,15711,14772,13551,12568,10070
DZA,8034,8419,12091,11667,10673,12041,8353,10615,9060,8185,6689,6121,5677,3621
AND,2,1,10,10,3,9,10,9,6,6,6,6,7,
AGO,433760,470625,435421,329583,228851,215827,206501,186155,171393,141021,134858,128664,19258,10260
ATG,1,4,5,5,8,13,19,25,26,28,30,32,45,45
ARG,609,659,771,784,796,856,894,1171,1047,608,557,518,447,376
ARM,5786,7206,13246,13162,13410,13965,14917,15436,16336,18000,17547,16487,15935,11988
AUS,3,1,10,15,13,44,29,63,43,28,37,39,48,22
AUT,35,29,72,66,47,66,34,23,14,12,10,11,12,5
AZE,284277,268759,260217,253255,250589,233675,126068,15916,16319,16939,16753,16162,15537,10797
BHS,1,,1,1,1,1,14,14,15,15,17,185,196,208
BHR,95,46,49,52,52,41,62,73,80,79,87,215,297,264
BGD,5401,5548,5790,5565,5731,7304,7803,10241,10098,10432,10049,10056,10161,9810
BRB,8,7,9,11,7,8,28,38,34,29,32,45,55,63
BLR,2519,3696,6364,7815,8231,8857,9371,4970,5384,5525,5743,5925,6191,4420
BEL,19,13,27,40,45,95,64,60,61,71,83,90,93,76
BLZ,12,,1,10,9,8,18,17,20,17,23,32,39,37
BEN,54,55,232,282,309,411,215,265,318,411,442,461,457,297
BTN,108945,110845,112523,103978,105255,106537,108073,108098,104965,89070,75070,57989,41590,31546
BOL,175,156,215,264,285,269,374,428,454,573,590,611,618,589
BIH,474981,447321,406326,300006,228807,109930,199946,78273,74366,70018,63004,58578,51822,26796
BWA,3,2,5,5,6,4,11,16,26,30,53,85,127,165
BRA,224,254,441,378,403,370,707,1624,1404,973,994,1045,1076,973
BRN,,,2,1,1,49,2,2,1,1,1,1,1,
BGR,2404,2121,2841,2567,2231,4254,3438,3311,3040,2745,2559,2327,2147,1865
BFA,130,98,978,853,577,607,377,554,725,990,1145,1271,1460,1662
BDI,568084,553999,574555,531637,485448,438706,396541,375715,281592,94239,84064,101288,73363,72623
KHM,36855,34759,33456,31407,18115,17806,17965,17697,17253,17025,16314,15205,14024,13733
CMR,2062,2724,5223,6206,7624,9101,10385,11508,13870,14766,14963,15163,13382,11405
CAN,26,4,51,60,56,122,95,530,101,99,90,109,123,94
CPV,2,4,8,9,8,5,40,32,30,24,25,27,25,17
CAF,139,28704,25376,35400,31067,42890,71685,98104,125106,159554,164905,162862,164568,252829
TCD,54962,46294,47349,52275,52655,48400,36300,55722,55105,55014,53733,42640,39694,48592
CHL,860,834,1709,1555,1194,938,805,970,994,1312,1170,1189,1152,583
CHN,110975,117409,132110,132406,134722,124101,140598,149095,175180,180558,184602,190369,193453,195109
COL,9279,17938,30617,37995,47381,60450,72796,70120,373532,389753,395577,395949,394117,396614
COM,28,26,43,58,50,61,72,96,378,268,368,422,454,499
COG,27579,24237,27994,28958,28143,24438,20608,19735,19925,20544,20679,12839,12119,11696
COK,,,,,,,,,,1,1,1,1,
CRI,57,86,98,92,138,178,284,361,354,344,352,331,325,453
CIV,773,858,23741,33637,23658,18338,26315,22232,22227,23153,41758,154824,100720,85666
HRV,335199,290279,274806,230189,215477,119148,93767,100423,97012,76478,65861,62649,62606,49749
CUB,20084,18959,18034,16093,15675,19000,33580,7123,7938,7549,7477,7856,7731,7396
CYP,11,5,7,5,2,5,5,9,10,11,13,11,11,
CZE,810,1179,6984,6702,4528,3589,2138,1384,1358,1067,817,763,622,979
PRK,13,19,259,304,343,288,398,605,886,881,917,1052,1132,1159
COD,371713,392146,421350,453465,461058,430929,401914,370386,367995,455852,476693,491481,509290,499499
DNK,25,3,8,10,10,12,12,14,11,10,9,9,9,6
DJI,1910,452,470,522,495,504,485,648,650,622,566,602,640,742
DMA,2,5,6,17,25,30,49,58,56,53,52,52,54,41
DOM,47,46,83,92,97,67,150,358,318,230,246,250,289,288
ECU,671,653,818,730,727,775,887,1332,1066,1027,852,909,844,676
EGY,3953,4678,6442,5735,5371,6291,7613,6799,6780,6990,6913,7936,10020,12784
SLV,7756,7150,6632,5658,4497,4281,6388,6022,5151,5051,4976,6720,8171,9617
GNQ,509,529,552,591,546,477,461,407,384,344,305,258,228,196
ERI,376851,333229,318159,124121,131123,144066,193745,208743,186398,209168,222458,251954,285371,307966
EST,455,479,1060,1027,855,743,627,262,248,248,240,224,456,344
ETH,66410,58997,61180,62677,63147,65461,74026,59832,63878,62889,68848,70610,74968,77055
FJI,401,731,1072,1087,1281,1379,1686,1828,1868,1892,1851,1579,1317,1109
FIN,5,2,9,7,3,5,6,4,4,6,6,7,7,5
