ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,80.659,80.4106,80.1622,79.9138,79.6654,79.417,79.1572,78.8974,78.6376,78.3778,78.118,77.8466,77.5752,77.3038,77.0324,76.761,76.4528,76.1446
ALB,61.089,60.523,59.957,59.391,58.825,58.259,57.2464,56.2338,55.2212,54.2086,53.196,52.0924,50.9888,49.8852,48.7816,47.678,46.6154,45.5528
DZA,44.003,43.045,42.087,41.129,40.171,39.213,38.0326,36.8522,35.6718,34.4914,33.311,32.244,31.177,30.11,29.043,27.976,27.135,26.294
AND,6.339,6.5922,6.8454,7.0986,7.3518,7.605,8.025,8.445,8.865,9.285,9.705,10.2006,10.6962,11.1918,11.6874,12.183,12.717,13.251
AGO,56.012,55.0122,54.0124,53.0126,52.0128,51.013,50.0218,49.0306,48.0394,47.0482,46.057,45.1698,44.2826,43.3954,42.5082,41.621,40.8574,40.0938
ATG,66.039,66.4058,66.7726,67.1394,67.5062,67.873,68.1718,68.4706,68.7694,69.0682,69.367,69.5172,69.6674,69.8176,69.9678,70.118,70.1254,70.1328
ARG,11.346,11.0518,10.7576,10.4634,10.1692,9.875,9.6236,9.3722,9.1208,8.8694,8.618,8.4246,8.2312,8.0378,7.8444,7.651,7.5052,7.3594
ARM,33.943,34.2212,34.4994,34.7776,35.0558,35.334,35.4304,35.5268,35.6232,35.7196,35.816,35.8396,35.8632,35.8868,35.9104,35.934,35.8852,35.8364
AUS,13.894,13.6822,13.4704,13.2586,13.0468,12.835,12.6316,12.4282,12.2248,12.0214,11.818,11.6452,11.4724,11.2996,11.1268,10.954,10.8084,10.6628
AUT,34.2,34.2,34.2,34.2,34.2,34.2,34.0532,33.9064,33.7596,33.6128,33.466,33.282,33.098,32.914,32.73,32.546,32.3326,32.1192
AZE,47.794,47.958,48.122,48.286,48.45,48.614,48.4134,48.2128,48.0122,47.8116,47.611,47.4086,47.2062,47.0038,46.8014,46.599,46.3552,46.1114
BHS,19.039,18.8242,18.6094,18.3946,18.1798,17.965,17.7584,17.5518,17.3452,17.1386,16.932,16.7328,16.5336,16.3344,16.1352,15.936,15.7442,15.5524
BHR,11.612,11.6152,11.6184,11.6216,11.6248,11.628,11.6186,11.6092,11.5998,11.5904,11.581,11.5412,11.5014,11.4616,11.4218,11.382,11.3128,11.2436
BGD,78.307,77.9276,77.5482,77.1688,76.7894,76.41,76.0008,75.5916,75.1824,74.7732,74.364,73.9124,73.4608,73.0092,72.5576,72.106,71.6098,71.1136
BRB,64.518,63.945,63.372,62.799,62.226,61.653,61.086,60.519,59.952,59.385,58.818,58.2766,57.7352,57.1938,56.6524,56.111,55.6004,55.0898
BLR,32.074,31.6646,31.2552,30.8458,30.4364,30.027,29.5508,29.0746,28.5984,28.1222,27.646,27.1938,26.7416,26.2894,25.8372,25.385,24.9784,24.5718
