ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,6.6,6.7,6.8,6.8,6.9,7,7.1,7.1,7.2,7.3,7.3,7.4,7.5,7.6,7.6,7.7,7.8,7.8
ALB,7.8,7.9,8,8.1,8.2,8.3,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.7,0.6
ARM,3,3,3,3,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,1.5,1.5,1.5,1.5,1.6,1.7,1.9,2,2.1,2.2,2.3,2.5,2.6,2.7,2.7,2.7,2.7,2.7
BHS,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.6
BGD,17.5,18.1,18.7,19.3,19.9,20.5,21.1,21.7,22.3,22.9,23.5,24.2,24.8,25.4,26,26.6,27.2,27.8
BLR,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,7.1,7.1,7.2,7.2,7.3,7.3,7.4,7.4,7.5,7.5,7.6,7.7,7.7,7.8,7.8,7.9,7.9,8
BEN,3.4,4,4.5,5,5.6,6.1,6.7,7.2,7.7,8.3,8.8,9.4,9.9,10.4,11,11.5,12.1,12.1
BTN,,,23.7,23.7,23.7,23.7,23.7,24.2,24.8,25.4,25.9,26.5,27.1,27.7,28.2,28.8,29.4,29.9
BOL,3.3,3.4,3.6,3.7,3.8,3.9,4.1,4.2,4.3,4.4,4.6,4.7,4.8,4.9,5.1,5.2,5.3,5.3
BIH,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
BWA,7,7.3,7.5,7.8,8,8.3,8.6,8.8,9.1,9.3,9.6,9.8,10.1,10.3,10.6,10.8,10.8,10.8
BRA,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9
BGR,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
BFA,4.1,4.4,4.7,5.1,5.4,5.7,6.1,6.4,6.7,7.1,7.4,7.8,8.1,8.4,8.8,9.1,9.4,9.8
BDI,5.6,5.6,5.6,5.7,5.7,5.7,5.8,5.8,5.8,5.9,5.9,5.9,5.9,6,6,6,6.1,6.1
