ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,80.2,80,79.8,79.6,79.4,79.1,78.9,78.7,78.5,78.3,78.1,77.8,77.6,77.4,77.2,77,76.8,76.6
ALB,28.4,27.6,26.7,25.8,25,24.1,23.2,22.4,21.5,20.6,19.7,18.9,18,17.1,16.3,15.4,14.5,13.7
DZA,21.6,20.9,20.1,19.3,18.6,17.8,17,16.2,15.5,14.7,13.9,13.2,12.4,11.6,11.6,11.6,11.6,11.6
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,92.7,91.9,91.2,90.4,89.7,88.9,88.1,87.4,86.6,85.9,85.1,84.4,83.6,82.9,82.1,81.4,80.6,79.9
ATG,20.4,19.4,18.4,17.4,16.4,15.4,14.5,13.5,12.5,11.5,10.5,9.6,8.6,8.6,8.6,8.6,8.6,
ARG,24.5,23.1,21.7,20.3,18.9,17.5,16.1,14.7,13.3,11.9,10.4,9,7.6,6.2,4.8,3.4,2,0.6
ARM,24.5,24.5,24.2,23.8,23.5,23.2,22.8,22.5,22.2,21.8,21.5,21.1,20.8,20.5,20.1,19.8,19.5,19.1
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,56.7,56.7,56.7,56.7,53.3,49.9,46.4,43,39.6,36.2,32.8,29.3,25.9,22.5,22.5,22.5,22.5,22.5
BHS,12,12,12,12,11.7,11.4,11.1,10.8,10.6,10.3,10,9.7,9.4,9.1,8.8,8.6,8.3,8
BHR,1,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
BGD,63.6,62.3,61,59.8,58.5,57.3,56,54.8,53.5,52.3,51,49.8,48.5,47.3,46,44.7,43.5,42.2
BRB,13.8,13,12.3,11.5,10.7,10,9.2,8.4,8.4,8.4,8.4,8.4,,,,,,
BLR,2.3,2.3,2.3,2.4,2.6,2.8,2.9,3.1,3.2,3.4,3.5,3.7,3.9,4,4.2,4.3,4.5,4.7
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,22.3,21.7,21.1,20.6,20,19.4,18.8,18.2,17.6,17,16.5,15.9,15.3,14.7,14.1,13.5,12.9,12.4
BEN,98.6,98.3,98.1,97.9,97.6,97.4,97.2,97,96.7,96.5,96.3,96,95.8,95.6,95.4,95.1,94.9,94.9
BTN,,,75.4,75.4,75.4,75.4,75.4,74.8,74.2,73.6,73,72.4,71.8,71.2,70.6,70,69.4,68.9
BIH,7.2,7.2,7.2,7.2,7.3,7.3,7.4,7.4,7.5,7.5,7.5,7.6,7.6,7.7,7.7,7.8,7.8,7.9
BWA,72.9,71.9,70.9,69.9,69,68,67,66,65,64.1,63.1,62.1,61.1,60.1,59.2,58.2,58.2,58.2
BRA,64.6,63.7,62.9,62.1,61.3,60.5,59.7,58.9,58.1,57.3,56.5,55.7,54.9,54,53.2,52.4,51.6,50.8
BGR,1.1,1,0.9,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0,0,0,0,0,0,0,0
BFA,97.2,97,96.8,96.5,96.3,96.1,95.8,95.6,95.4,95.1,94.9,94.7,94.5,94.2,94,93.8,93.5,93.3
BDI,56.3,56,55.8,55.5,55.3,55,54.7,54.5,54.2,54,53.7,53.5,53.2,52.9,52.7,52.4,52.2,51.9
KHM,96.2,94.9,93.6,92.4,91.1,89.8,88.5,87.3,86,84.7,83.4,82.2,80.9,79.6,78.3,77.1,75.8,74.5
CMR,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.2,73.2
CAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CPV,82.1,82.1,80.3,78.4,76.6,74.8,73,71.1,69.3,67.5,65.6,63.8,62,60.2,58.3,56.5,54.7,52.8
CAF,89.1,89.3,89.5,89.7,89.9,90.2,90.4,90.6,90.8,91,91.2,91.5,91.7,91.9,92.1,92.3,92.6,92.8
TCD,95.2,95.1,95,94.9,94.8,94.7,94.6,94.5,94.4,94.3,94.2,94.1,94,93.9,93.8,93.7,93.6,93.5
CHL,39.1,37.4,35.7,34.1,32.4,30.7,29.1,27.4,25.7,24.1,22.4,20.7,19.1,17.4,15.7,14.1,12.4,10.7
CHN,74.7,72.7,70.7,68.6,66.6,64.5,62.5,60.5,58.4,56.4,54.4,52.3,50.3,48.2,46.2,44.2,44.2,44.2
COL,53.5,52.3,51.2,50.1,49,47.8,46.7,45.6,44.4,43.3,42.2,41.1,39.9,38.8,37.7,36.6,35.4,34.3
COM,83,81.8,80.6,79.5,78.3,77.2,76,74.9,73.7,72.6,71.4,70.3,70.3,70.3,70.3,70.3,,
COG,,,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4
COK,8.3,8.3,8.3,8.3,8.3,7.9,7.5,7.1,6.6,6.2,5.8,5.3,4.9,4.5,4.1,3.6,3.2,2.8
CRI,14.7,14.3,13.9,13.5,13.1,12.7,12.3,11.9,11.5,11.1,10.7,10.3,9.9,9.5,9.1,8.8,8.4,8
CIV,92.7,92.5,92.3,92.2,92,91.9,91.7,91.5,91.4,91.2,91.1,90.9,90.7,90.6,90.4,90.3,90.1,90
HRV,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
CUB,27.1,26.2,25.3,24.4,23.5,22.6,21.7,20.8,19.9,19,18.1,17.2,16.3,15.4,14.5,13.6,12.7,11.8
CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRK,51.8,51.8,50.2,48.6,47,45.3,43.7,42.1,40.5,38.8,37.2,35.6,34,32.3,30.7,29.1,27.5,27.5
COD,86.3,85.2,84.1,83,81.9,80.7,79.6,78.5,77.4,76.3,75.2,74.1,73,71.8,70.7,69.6,68.5,67.4
DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJI,61.9,62.9,63.9,65,66,67,68,69.1,70.1,71.1,72.2,73.2,74.2,75.3,76.3,77.3,78.4,78.4
DMA,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,,,,,
DOM,35.5,35,34.4,33.9,33.3,32.8,32.2,31.7,31.1,30.6,30,29.5,28.9,28.4,27.8,27.3,26.7,26.2
ECU,54.3,52.6,50.8,49,47.2,45.4,43.7,41.9,40.1,38.3,36.6,34.8,33,31.2,29.5,27.7,25.9,24.1
EGY,32.4,30.2,28,25.8,23.6,21.4,19.2,17,14.8,12.6,10.4,8.2,6.5,6.5,6.5,6.5,6.5,5.6
SLV,63.9,62.7,61.6,60.4,59.2,58.1,56.9,55.8,54.6,53.5,52.3,51.2,50,48.9,47.7,46.6,46.6,46.6
GNQ,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,,,,,,
ERI,99.5,99.1,98.8,98.5,98.1,97.8,97.5,97.2,96.8,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5
EST,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.5,6.5,6.5,6.4,6.4,6.3,6.3,6.2,6.2,6.2
ETH,100,99.9,98.5,97,95.6,94.2,92.8,91.4,90,88.5,87.1,85.7,84.3,82.9,81.5,80,78.6,77.2
FJI,51.1,48.8,46.4,44.1,41.8,39.4,37.1,34.7,32.4,30.1,27.7,25.4,23,20.7,18.3,18.3,18.3,18.3
FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,64.7,64.7,64.7,64.7,64.9,65.2,65.4,65.6,65.9,66.1,66.3,66.6,66.8,67,67.3,67.5,67.7,68
GMB,38.8,38.8,39.2,39.6,40,40.3,40.7,41.1,41.5,41.9,42.3,42.7,43.1,43.5,43.9,44.2,44.6,45
GEO,4.3,4.6,4.9,5.2,5.5,5.8,6,6.3,6.6,6.9,7.2,7.5,7.8,8.1,8.4,8.7,9,9.3
DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,95.2,95,94.7,94.5,94.3,94.1,93.9,93.7,93.5,93.3,93.1,92.9,92.6,92.4,92.2,92,91.8,91.6
GRC,5.6,5.2,4.8,4.4,4,3.7,3.3,2.9,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
GRD,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
GTM,45.8,44.7,43.6,42.5,41.3,40.2,39.1,38,36.8,35.7,34.6,33.5,32.3,31.2,30.1,29,27.9,27.9
GIN,93.8,93.5,93.2,92.9,92.6,92.3,92,91.7,91.4,91.1,90.8,90.5,90.2,90,89.7,89.4,89.1,88.8
GNB,96.7,96.7,96.7,96.7,96.3,96,95.6,95.2,94.9,94.5,94.1,93.7,93.4,93,92.6,92.2,91.9,91.5
GUY,26,25.5,25,24.5,24,23.5,23,22.5,22,21.5,21,20.5,20,19.5,19,18.5,18,18
HTI,86.9,86.7,86.5,86.3,86.1,85.9,85.8,85.6,85.4,85.2,85,84.8,84.6,84.5,84.3,84.1,83.9,83.7
HND,57.4,55.5,53.7,51.8,50,48.1,46.3,44.4,42.6,40.8,38.9,37.1,35.2,33.4,31.5,29.7,27.8,26
HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,89.9,89.1,88.2,87.3,86.5,85.6,84.7,83.9,83,82.2,81.3,80.4,79.6,78.7,77.8,77,76.1,75.3
IDN,71.3,70.3,69.3,68.3,67.4,66.4,65.4,64.4,63.4,62.4,61.4,60.4,59.4,58.4,57.5,56.5,55.5,54.5
IRN,35.6,34.6,33.6,32.6,31.5,30.5,29.5,28.5,27.5,26.5,25.5,24.4,23.4,22.4,21.4,20.4,19.4,18.4
IRQ,52.6,50.6,48.6,46.5,44.5,42.5,40.5,38.4,36.4,34.4,32.4,30.3,28.3,26.3,24.3,22.2,20.2,18.2
IRL,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
