ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,15.9,14.9,13.9,12.9,11.9,10.9,9.9,8.9,7.9,6.8,5.8,4.8,3.8,2.8,1.8,0.8,0,0
ALB,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0
DZA,0.4,0.4,0.5,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1,1,1
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,30.6,29.5,28.5,27.1,25.2,23.3,21.5,19.6,17.7,15.9,14,12.1,10.3,8.4,6.6,4.7,2.8,1
ATG,3.2,2.9,2.7,2.4,2.1,1.9,1.6,1.3,1.1,0.8,0.6,0.3,0,0,0,0,0,
ARG,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
ARM,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
BHS,1.4,1.4,1.4,1.4,1.3,1.2,1.1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,8,7.6,7.1,6.6,6.2,5.7,5.2,4.8,4.3,3.9,3.4,2.9,2.5,2,1.5,1.1,0.6,0.2
BRB,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,2.9,2.8,2.6,2.4,2.2,2,1.8,1.7,1.5,1.3,1.1,0.9,0.7,0.6,0.4,0.9,0,0
BEN,45.7,44.6,43.4,42.2,41.1,39.9,38.7,37.6,36.4,35.2,34.1,32.9,31.7,30.6,29.4,28.2,27.1,27.1
BTN,,,5.3,5.3,5.3,5.3,5.3,4.8,4.4,3.9,3.4,2.9,2.4,1.9,1.4,0.9,0.5,0
BOL,21.4,20.3,19.3,18.2,17.2,16.1,15.1,14,13,11.9,10.9,9.8,8.8,7.8,6.7,5.7,4.6,4.6
BIH,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0
BWA,8.5,7.9,7.3,6.8,6.2,5.7,5.1,4.6,4,3.5,2.9,2.4,1.8,1.3,0.7,0.1,0.1,0.1
BRA,4.6,4.4,4.1,3.9,3.7,3.4,3.2,3,2.7,2.5,2.3,2,1.8,1.6,1.3,1.1,0.9,0.7
BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,10.7,10.6,10.5,10.4,10.3,10.2,10.1,10,10,9.9,9.8,9.7,9.6,9.5,9.4,9.3,9.2,9.1
