ISO,1999,2000,2001,2003,2004,2005,2006,2007,2008,2009,2010
ALB,,,,,,,,,3.15578,,
ARM,,25.9558,,,,0.173613,,,,,
AZE,,,,,,,99.7307,,,,
BGD,,,,,,,51.0206,,,,
BLR,,,,,,90.8333,,,,,
BLZ,,,,,,,53.5635,,,,
BEN,,,3.49554,,,,14.697,,,,
BFA,,,,2.78925,,,,,,,
BDI,,,,,,9.29129,,,,,
KHM,,4.39502,,,,10.3801,,,,,
CMR,,,,,14.5364,,60.4284,,,,
COL,,63.8563,,,,69.0261,,,,,
COG,,,,,,30.3537,,,,,
CIV,,,,,,,21.1628,,,,
EGY,,64.4622,,77.6241,,68.398,,,70.1531,,
ETH,,5.02199,,,,2.59756,,,,,
GMB,,,,,,,0.618691,,,,
GHA,,,,19.6518,,,,,26.4852,,
GIN,,,,,,5.57758,,,,,
GNB,,,,,,,15.0008,,,,
GUY,,,,,,75.9344,62.7298,,,93.7845,
HTI,,6.9753,,,,10.6031,,,,,
IND,,,,,,25.4248,,,,,
KAZ,,,,,,87.6234,,,,,
KGZ,,,,,,78.0114,,,,,
LSO,,,,,23.7719,,,,,,
MKD,,,,,,76.7428,,,,,
MDG,,,,12.1769,,,,,13.7241,,
MLI,,,6.7166,,,,15.0959,,,,
MRT,,,,,,,,19.6079,,,
MNE,,,,,,86.4214,,,,,
MOZ,,,,3.77527,,,,,,,
NAM,,24.9814,,,,,46.6376,,,,
NIC,,,48.0142,,,,,,,,
NER,,,,,,,3.22978,,,,
NGA,,,,29.0333,,,,,53.7157,,
PER,,,,,86.9792,,,83.4455,,,
PHL,,,,87.7004,,,,,,,
MDA,,,,,,68.9459,,,,,
RWA,,2.14285,,,,3.19681,,,,,
STP,,,,,,,,,21.5973,,
SEN,,,,,,10.0469,,,,,23.2813
SRB,,,,,,82.999,,,,,
SLE,,,,,,9.96777,,,21.3076,,
SWZ,,,,,,,38.1538,,,,
TJK,,,,,,92.0636,,,,,
TZA,,,,,0.796379,,,,,,
TGO,,,,,,,57.3289,,,,
TTO,,,,,,,96.3243,,,,
TUR,,,,64.5877,,,,,,,
UGA,,7.75474,,,,,0.345953,,,,
UKR,,,,,,54.3171,,93.4614,,,
UZB,,,,,,,103.416,,,,
ZMB,,,18.0801,,,,,25.5133,,,
ZWE,4.68946,,,,,8.45281,,,,,
ASE,,,,,,25.4248,,,,,
SAM,,,,,,25.4248,,,,,
SAE,,,,,,18.9684,,,,,
# Series: SCCRFEIN,,,,,,,,,,,
"# Name: Secondary completion rate, female",,,,,,,,,,,
# Definition: Percentage of female students enrolled in secondary school who graduate,,,,,,,,,,,
# Source: World Bank DHS; UNICEF's MICS,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,
