ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,,,,20.1,,,,,,,20.6,
ATG,,,,,,,,31.3,,,,,,,,,,
ARG,,,,,,,,31.6,32.2,33.8,32.8,34.4,,,,43.6,45.8,39.5
ARM,,,,,,,,,,,,,65.3,70.2,68.6,69.4,67.1,
AUS,15.9,,38.9,41.3,,47.4,41.5,41.2,41.6,41.5,40.1,41.2,43.5,43.3,,,,
AUT,69.2,70.6,71.6,72.3,64.9,65.6,66,65.6,66.7,62.5,64.5,64.8,64.3,65,64.8,64.9,64.4,64.8
AZE,,,,,,,,,,,,,72.1,74.5,,,68.7,68.4
BHS,57.1,54.2,56.1,53.9,,,59.6,58.1,,,,64.6,,,,,55.2,
BHR,,,,,,,,,,,,,,,,30.3,,
BRB,,,61.4,,,,,,67.4,,,,,,,,,
BLR,,,,,,,,,,,,,,,72,,,
BEL,37.9,38.8,38.9,36.8,34.7,35.5,36.9,37.7,38,38.3,39.8,39.7,40.9,42.1,42,40.3,41.2,41.1
BLZ,12.3,14.9,11.6,12.3,12,,,,,,14.2,,,,,,,
BOL,,36.3,25.1,,,29.6,,,,,37.7,,,40.6,41.6,,,
BIH,,,,,,,,,,,,65.4,67.4,68.2,68.4,69.9,67.9,69.5
BWA,,,,,,,,,,,,26.2,,,,,,
BRA,13.3,14.6,15.2,16.2,16.8,,,,,,,26.6,27.7,,,,34.3,
BGR,,,,,,56.7,57.8,58.3,58.2,58.2,59.5,62.3,63.6,62.9,63,64.8,65.2,65.4
CAN,29.4,29.6,28.8,43.6,43.6,44.3,43.8,43.6,43.5,44.2,43.7,43,43.1,43.1,,,,
CHL,,,,,,,,,,,,48.9,49.5,49.1,,,55.7,
COL,,51.3,49.1,48.2,,,,,,,41.7,,42.5,25,42.4,25.3,43.7,
CRI,11.5,15.1,14.9,29,14.2,13.6,14.6,14.8,21.1,16.9,33.8,,35.5,35.5,36.1,36.3,36.1,
HRV,,,,61.2,,,62.9,64.2,63.4,64,66.4,67.5,67.5,67.4,67.2,66.6,67.7,68.3
CUB,,,,,,,,,,,,44.5,45.8,46.8,,,,
CYP,,,,,38.2,36.9,37,37.9,36.4,36.4,40.6,41.6,41.9,42.2,42.1,41.8,42,42.8
CZE,,80,,79.9,79.8,79.3,78.7,80.1,80.6,80.2,80.2,79.9,79.8,79.5,78.7,78,76.9,76.3
DNK,54.4,49.6,52.8,54.6,54.6,53.8,56.8,54.7,50.9,52.3,49.8,49.7,44.3,43.3,44,43.5,44.7,45.4
DMA,,,11.8,,,,,,,,,,,,,,,
DOM,,12.4,12.8,,,15.1,,,,,,,,,,,33.3,
ECU,,,,,,,42.2,39.4,,39,40.2,40.5,33,24.2,33.4,24.1,37.6,
EGY,,,,,,,,,,,,,,37.2,36.7,37.7,37.7,
SLV,,16.5,,,,,,,,,20.8,,22.5,21.2,1.4,22.6,9.2,
EST,66,,46.9,60.9,61,63.2,61.1,64,63.6,61.6,59.6,58.6,60.6,60.2,60.3,60.8,59.2,59.1
ETH,,,,,2.9,,,,,,,,,,,,,
FIN,47.6,48.9,51.1,46.1,45.4,45.2,46,46.7,47.8,48.3,49.2,49.6,49.4,49.7,50.5,50.1,50,51
FRA,47.5,47.5,48,45.7,45.9,46.3,46.3,46.3,46.5,46,46.3,46.2,46.5,47.2,46.4,46.3,46,45.5
GEO,,,,,8.1,,,20.1,,63.3,,,61.9,,61.8,61.3,,
DEU,56.1,53.7,54.3,,53.3,52.8,54.6,56.9,54.7,54.4,56.1,56.8,57.7,57.2,56.6,56.8,56.9,56.9
GRC,30.6,31.5,32.3,34.2,36.6,37.3,37.7,38.9,39.7,40.5,41.7,37.5,37.5,38.2,38.1,38.6,39.1,40.2
GTM,,,,,,,,,,11.6,,12.2,,,,28,26,
GIN,,,,6.8,,,,,,,,,,,,,,
GUY,,,,,,,,,,,,,36.5,37.3,37.2,39.4,,
HND,,,,,,,,,,,,,,,,,21,
HUN,,,65.5,68.4,70.9,68.2,68.4,69.2,68.6,68,68,68.5,68.7,67.8,68.1,68,67,66.6
ISL,,,,,40.7,36,36.3,38.8,36.1,37.8,36,26.7,36.1,36,36.4,38,42.4,42.1
IND,,,,,,34.5,,,,,16.9,,,,,40.9,,
IDN,,18.9,,20.3,8.1,22.2,21.5,21.6,22.6,22.7,22.9,24.1,22.7,24.3,,,,
IRN,,38.3,,,,,,,,,22.9,,25.3,25.4,,,,
IRL,27.4,27.3,27.5,,36,37.7,37.6,37.3,36.6,36.7,37.5,37.4,37.7,37.9,37.7,37.6,38,38.3
ISR,,36.3,,35.9,35.9,41.4,41.2,40.6,41,40.3,40.2,40.7,41.6,41.4,,,,
ITA,33.7,35.1,36.7,35.5,36.3,38.4,36.8,37.4,39.5,40.8,41.5,42.2,42.5,42.8,43.9,44.5,44.7,44.9
JPN,,46.9,47.5,46.9,46.4,45.9,45.9,,,,,,,,,,,
JOR,,,,,,23.9,22.4,23.7,23.4,22.7,24.8,23.1,23.5,22.9,22.1,21.4,22.1,21
KAZ,,,,,,,,48.9,48.4,47.9,,,,,,,,
KWT,20.9,,,,,,,,28.7,,19.8,,,,,,22.7,
KGZ,,,,,,,,,,,56.9,58,,,,,,
LVA,,,,66.5,67.3,66.4,61.4,62.1,64.6,64.3,64.8,63.4,62.8,62.9,63.9,64.3,63.9,63.7
LBN,,,,,,,,,,,,,17.6,,,,,
LTU,,45.1,38.5,50.5,48.5,49.2,65.6,67,63.9,64.2,64,65.2,63.2,64.1,64.5,64.7,64.4,64.8
LUX,32.5,33.9,31.1,,45.6,45.4,43.8,45.9,48.3,41.3,41.1,43.4,41.4,41.8,40.5,39.5,38.1,36.8
MKD,,,,,,,,,,,,53,55.3,54.9,55.3,55,54.4,55.9
MDG,,,,,,,,,14,,15.7,,,,,,,
MYS,,,,,,,,,,,,,59.1,58.4,,,58.3,59
MLT,,,,,,17.4,13.3,12.2,15.6,17.1,21.8,21.9,21,19.6,20.7,30.2,30.1,29.4
MUS,24.2,,,,,40.4,,,,39,37.8,45.2,38.3,,,,,
MEX,26.3,13.4,13.6,13.8,27.3,27.9,13.8,25.4,26.1,14.9,17.3,17.7,18.2,18.4,,,47.1,
MNG,,,,,,,,21,35.5,,,,45.6,44.6,47,45.9,43.4,
MNE,,,,,,,,,,,75.4,,50.6,53.2,53.3,55.2,52.3,53.8
MAR,16.3,13.8,,,,,,10.1,10.4,,9.8,10.4,,,,,,
NAM,,,38.7,,,,,,,18.2,,,,,,50.8,,24
NPL,10.6,,,,,,,,,,,,,,,,,
NLD,,43.3,43.5,44.6,44,43.7,44.2,43.8,43,41.9,42.3,42.4,42.6,41.2,40.8,40.7,40.8,40.4
NZL,2.6,,11.1,,45.6,45.4,52.3,52.1,,57.8,57.9,46.4,44.9,44.6,,,,
NIC,7.2,,,,,,,,,,,33.1,,34,,33.2,,
NER,,,,,,,0.6,,,,,,,,,,,
NGA,40.9,,,,,,,,,,,,,,,,,
NOR,,56.6,56.8,57.1,57.5,56.2,53.6,53,57.1,57.6,59.1,47.9,46.4,47.3,47.9,46.9,46.9,47.4
OMN,,13.9,,,,21.2,,,,,,,,,,,,
PAK,,,,,,,,12.5,,12.7,,13.4,13.5,13.7,,,,
PAN,24.8,25.5,25.7,26,25.8,25.9,22.8,,26.4,25.9,26.9,27.2,48,49.5,64.2,64.6,38.5,
PRY,26.6,,,,,,,,,,,,26.7,26.3,41.9,39.3,29.3,
PER,49.7,,50.1,53.2,51.8,51.9,49.8,,58,57.2,58.6,,58.5,,59.9,,60.5,
PHL,,,,,,,,,,39.2,,39.7,40.1,40.7,,,,
POL,67.3,68.1,69.5,71.6,71.4,73.7,73.7,73.9,73.2,72.9,72.4,72.1,71.9,71.8,71.1,70.2,70,69.3
PRT,12.3,12.5,13,10.1,11.3,11.2,11.6,12.1,12.3,12.9,13.8,14.4,14.4,14.9,16.3,17.7,19.2,20.3
KOR,46.6,46.6,46.2,46.4,46.5,46.6,46.6,47.1,45.2,45.1,44.8,44.2,43.3,,,,,
MDA,,,,,,62.8,63.4,63.5,64.1,62.1,61.8,59.9,60.8,61.6,61.1,59.5,60,58.7
ROU,53.1,54.8,54.7,61.2,61,61.2,61.8,63.7,63,64,64.7,64.8,64.5,63.8,63.3,62.9,63.2,63.3
RUS,68.2,38.8,,37.4,,,,68.3,67.7,47.4,48.4,47.7,47.6,47.3,,,,
RWA,,4.5,,,,,,,,,,,,,,,,
KNA,,,,,,,59.1,,,,,,,,,,,
LCA,15.6,16,16.3,18.9,20.2,20.4,,,,,0.6,,,,,,,
SMR,5.6,5.8,6,6.4,6.3,,33,34.2,,,,,,37,,,,
SAU,,,,,21.7,19.8,21.6,21.6,,,,24.9,26.6,28.5,30.2,,,
SGP,,45.8,45.1,46,45.5,,47.4,47,45.7,46.1,,46.1,46.2,48.4,47.8,49.4,49.9,49.4
SVK,43.4,,41.3,78.8,80.9,81.7,82,82.4,81.3,80.1,78.5,78.6,79.8,79.6,79.8,78.5,77.9,78
SVN,,65.7,64.9,66.5,67.1,67.5,67.4,68.6,68.1,67.7,66.5,66.4,66.4,66.5,66.9,65.6,66.2,65.4
ZAF,,,,,,,32.9,,,,,,46.5,72.8,,,,
ESP,15.8,16.3,16.8,16.7,17.3,17.9,18.4,18.6,19,19.8,21.5,22.2,22.7,22.6,22.7,23.1,23,22.8
LKA,,,,,,15.8,,15.5,16.8,18,18.7,17,16,16.3,,,,
SWE,47.7,48.8,49.6,49.7,50.3,49.9,57.1,57.6,57.5,57.9,57,54.4,54.3,54.4,54.3,53.9,53.9,53.5
CHE,57,54.6,54.9,53,51.3,51.5,50.5,51,49.5,49,48.8,49.9,49.3,47.8,46.8,46.5,46.8,46.2
