ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,2.7,,2.7,1.6,,,,,,,,
ATG,,,,,,,4,,,,,,,,,,,
ARG,,,,4,4.1,4.5,4.2,3.2,0.2,0.3,0.3,0.1,,,,,,
ARM,,,,,,,2.3,,,,,,,2.2,,,,
AUS,,,8.2,7.9,8.3,8.6,7.1,7.2,7.4,8,8.4,8.5,8.7,9,,,,
AUT,4.5,4.6,4.8,5.1,5.1,5.4,5.7,5,4.8,4.1,4.5,4.5,4.2,4.3,3.9,4.1,3,
AZE,,,,,,,,,0.8,1.7,1.6,0.5,0.1,0.2,,,,
BHS,3.3,4.5,3.5,3.6,4.6,,7.6,8.2,6.8,7,7.5,7.5,8.8,8.6,8.3,,8.6,
BHR,,,,,,,4.3,,,3.4,,,,,,,,
BGD,,,,,,,,,4.1,,,,,,,,,
BRB,4.6,6.5,5.5,4.5,5.3,5.6,7.3,7.1,7.1,8.3,,,,,,8.3,7.5,
BEL,8.4,7.8,7.6,8.2,8.4,7.9,8.8,8,7.4,7.7,8.4,8.2,8.7,8,8.5,8.5,4.7,
BLZ,8.1,9.1,11.5,12.2,17.2,,,,,,10.7,,,,,,,
BTN,,,,,,,,,,,0.3,0.3,,,0.5,2.1,0.8,
BOL,2.9,1.9,2.2,,1.1,1.1,0.4,0.6,,0.8,1.1,1,1.2,,,,,
BWA,,,,1.7,,2.4,2.6,,1.9,,,3.6,,,,,,
BRA,,,,,,3.5,,4,4.1,3.9,4.3,4.4,4.2,,,,,
BRN,,,,,,,2.2,,,,,,,,,,,
BGR,,,,,,4,6.2,5.3,5,5.3,4.8,4.4,4.4,4.5,4.7,5.2,4.9,
BFA,,,,,,,,,,,,0,,,,,,
KHM,,,,,,0.1,0.2,,,,,,,0.2,,,,
CAN,8.4,8.8,8.1,8.2,7.4,7.5,6.9,6.6,6.8,7.2,7,7.2,7.1,7.1,,,,
CHL,,,,,,,,5.3,,,,,,,,,,
CHN,,,,,,,,,,,0.6,,,,,,,
COK,,,,,,,11.6,,,,,,,,,,16.8,
CRI,,,4.2,4.4,5,5.9,1.7,1.7,2.1,2.1,2,2.3,2.5,2.7,,2.9,2.6,
HRV,,2.7,2.1,3.5,3.8,3.6,3.1,3.8,3.2,2.4,2.9,3,2.4,3.1,3.2,2.9,2.4,
CYP,,,,,1,1.1,1.4,1,1,1,0.9,1.2,1.2,1.5,1.3,1.4,1.2,
CZE,3.8,3.6,3.5,3.9,3.9,3.4,3.9,3.8,3.9,4.1,4.2,4.4,4.4,4.4,4,3.5,2.8,
DNK,2.8,3.6,3.6,3.2,3.5,3.8,3.1,3.3,4.3,3.6,3.8,3.9,4.6,3,3.3,2.2,1.6,
DMA,,,7.9,,9.9,,9.8,,,,,,,,,,,
DOM,,1.3,1.7,2.1,2.9,2.6,2.9,2.7,2.8,2.8,2.9,3.8,2.7,,,,,
ECU,,,,,,2.1,1.7,1.8,,2.9,2.9,2.1,,,,,,
EGY,,,4.4,6.2,5.4,5.2,5.2,5.4,4.9,4.2,4.8,4.4,4.3,,,,,
SLV,1.2,1.4,2,1.4,1.6,0.9,0.8,0.6,1,0.9,1,1.1,0.9,1.5,1.3,0.7,,
ERI,,1.1,,,,,,,,,,,,,,,,
EST,8.7,8.7,8.7,9.8,9.5,9.8,8.3,7.8,7.7,9.9,9.3,8.7,8.7,8.8,8.4,8.2,6.5,
ETH,,,,,0.1,,,,,2,0.1,0.8,,,,,,
