ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,10.2,,11.2,12.8,,,,,,,,
ATG,,,,,,,19.3,,,,,,,,,,,
ARG,,,,29.6,29.7,30.5,30.1,29.2,25.5,24.8,25.5,25.8,,,,,,
ARM,,,,,,,3.9,,,,,,,7.6,,,,
AUS,,,6.9,7,7.1,6.8,7.7,7.8,7.5,7.4,7,6.8,6.5,6.4,,,,
AUT,13.5,12.9,13.1,13.1,13.6,12.5,12.6,12.1,12.6,12.5,12.9,13.4,13.8,13.4,12.9,13,11.2,11.2
AZE,,,,,,,,,23.5,31.4,32.2,45.5,54.8,48.7,,,,
BHS,19.7,20.1,19.3,21.3,18.8,,16.7,16.1,17.8,15.5,16.4,14,15.8,12.9,15.3,,13.1,
BHR,,,,,,,,,,4.1,,,,,,,,
BRB,24.6,23.3,23.9,25.7,25.5,22.5,20.5,20.5,19.4,19.6,,,,,,16.7,15.9,
BEL,10.5,10.4,10.6,10.5,10.1,12.1,12,10.6,10.8,12,9.9,10.9,11.1,11.4,11,11.2,14.2,14.2
BLZ,24.5,25.6,24.7,26.9,27.3,,,,,,21.4,,,,,,,
BTN,,,,,,,,,,,7.2,3.8,,,1.7,1.7,2.5,
BOL,22.3,21.4,16.3,,11.1,16.1,27.4,13.5,,15.9,12.8,11.9,15.3,,,,,
BWA,,,,29.3,,25.9,31.3,,34.8,,,19.3,,,,,,
BRA,,,,,,28.5,,0.1,0.1,0.1,23.4,23.2,23.1,,,,,
BRN,,,,,,,36.7,,,,,,,,,,,
BGR,,,,,,10.4,9.3,9.4,10.6,11.3,10.5,11.3,11.9,12,11.8,11.6,8.5,9.3
BFA,,,,,,,,,,,,0.9,,,,,,
KHM,,,,,,3.6,5.7,,,,,,,3.3,13.9,14.4,15.6,
CAN,6.9,7,6,6.1,5.9,5.9,5.9,6,5.8,5.8,5.9,6.1,5.9,5.9,,,,
CHL,,,,,,,,22.2,,,,,,,,,,
COK,,,,,,,12.8,,,,,,,,,,10,
CRI,,,4.6,5.4,5,5.3,27.5,28.3,27.6,27.2,27.9,28.6,28.3,26.1,,29.6,31.5,
HRV,,10.9,10,10.8,10.6,9.8,9.7,9.6,9.6,8.9,8.9,9,9.9,9.2,8.4,8.2,8.7,8.7
CYP,,,,,20.8,20.6,22.4,22.9,23.4,25.3,23.4,23.1,20.2,20.9,21.5,23.2,24.2,23.7
CZE,13,12.7,11.8,11.6,11.5,11.4,8.4,8.8,8,7.9,7.6,7.6,6.9,7.1,7.2,7.1,8.3,7.8
DNK,11.7,11.5,11.8,12.8,11.1,12.5,11.7,11.7,10.9,11,10.1,9.7,10.4,10,9.5,9.3,10.4,10
DMA,,,24.1,,21.9,,18.8,,,,,,,,,,,
DOM,,27.5,24.8,20.1,19.7,21.4,26,23.1,23.7,24.2,22.7,24.7,24.9,,,,,
ECU,,,,,,25.4,28.1,25.3,,23.6,25.5,25.9,,,,,,
EGY,,,1,0.8,1,1.1,0.7,1,0.9,1.1,1.1,1.6,1.5,,,,,
SLV,29.4,30.8,33.3,29.8,30.2,30.2,29.3,27,27.9,27.2,26.8,29,26.6,28.9,29.3,28.4,,
ERI,,31.7,,,,,,,,,,,,,,,,
EST,11,10.7,10.3,12.9,13.8,13.7,15.4,14.4,14.2,14.2,13.3,11.9,12.6,12,11.5,11.6,10.7,10.6
ETH,,,,,53.4,,,,,28.3,54.8,29.1,,,,,,
FJI,,10,,,,,,,,,,,8.9,,,,,
FIN,,,8.4,8.7,9.4,8.5,8.7,10.8,11.3,10.6,9.5,9.5,9.7,9.4,8.7,8.8,7.9,8.2
FRA,10.4,10.6,10.7,10.7,10.7,10.5,10.4,10.1,12.8,12.8,12.8,13,13.1,13,13.1,13.4,12.4,11.9
GEO,,,,6.2,8.7,11.3,10.1,3.2,2.5,2.9,3.7,3.1,3.3,,,,,
DEU,9.8,9.4,9.3,9.4,9.9,10.1,10.3,9.8,9.6,9.6,9.6,9.7,9.8,9.8,9.5,9.4,10.8,9.8
GHA,,,,,,,,,,,,9.4,,,,,,
GRC,8.5,8.2,8.2,8.2,8.2,7.9,8.6,9.4,9.3,9.2,9.4,9.2,9.4,9.4,10.1,10.4,10.1,9.3
GUY,,,,,,,,26.9,,,,,,,,,,
HUN,11.8,9.7,10.8,10.4,9.9,9.1,9.6,9.9,10.1,10,10,9.8,9.5,9.8,10.4,10.4,10,10.2
ISL,11,9.4,11.2,10.8,8.7,7.5,7.9,9,10,10.6,7.5,7.3,7,7.1,6.7,5.9,5.5,6.1
IND,,,,,,33.9,,,,,27.7,,,,,35,,
IDN,,,,,,,,,,,,,15.2,15.3,,,,
IRN,,4.7,,,,,,,,,9.6,6.9,7.3,6.2,,,,
IRL,5.7,5.7,5.9,8.8,8,7.4,7.4,7.3,6.7,7.5,7.5,7.6,7.7,7.2,6.3,6,7.3,6.9
ISR,9.1,9,8.3,8.1,8.1,7.7,7.6,7.7,7.5,7.7,7.7,7.1,7.1,6.5,,,,
ITA,11.2,10.9,10.7,9.8,9.5,9.7,9.7,9.7,9.9,10.8,11.9,11.2,10.6,11.3,12.6,13.8,12.6,13
JAM,,,,,,22,21.6,21.4,22.1,20.1,19.4,18.2,19,16.6,,,,
KAZ,,,,,,,29.7,26.5,25.3,23.1,23,24.3,23.1,20.2,,,,
KWT,,,,,,,,,,,0.1,,,,,,,
KGZ,,,,,,,,9.4,9.2,8.7,7.7,7.8,,,,,,
LAO,0.6,,,,,,,,,,,,,,,,,
LVA,,13.4,13.7,13.6,12,13,12.9,14,13.3,11.7,11.9,11.7,11.9,12.5,13,13.2,13.8,12.7
LBN,,,,,,,,,,22.5,,,19.3,,,,,
LSO,,,,,14.5,,,,,,,,,,,,,
LTU,,,10.5,11.9,12.3,12.5,9.4,10.5,12.4,11.5,11.2,10.2,10.7,10.4,9.6,8.7,8.1,8.2
