ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ARG,,,,0.5,0.5,0.9,0.7,0.7,4.3,5.4,6.3,6.2,,,,,,
ARM,,,,,,,15.4,,,,,,,,,,,
AUS,,,,,0.2,0.1,,,,,,,,,,,,
BHS,0.4,0.4,0.3,0.3,0.5,,0.6,0.5,0.3,0.1,0.5,0.4,0.5,0.4,0.3,,0.8,
BHR,,,,,,,0.6,,,,,,,,,,,
BRB,,0.2,0.7,1.1,0.7,0.3,0.2,0.2,0.3,0.5,,,,,,0.1,1.4,
BEL,,0.1,0.1,0.3,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.3,,,,,
BLZ,,,,,,,,,,,0.1,,,,,,,
BTN,,,,,,,,,,,6.3,,,,,,,
BWA,,,,1.7,,2.7,0.9,,,,,,,,,,,
BRA,,,,,,1.1,,0.2,0.1,0.1,0,0,0,,,,,
BRN,,,,,,,0.1,,,,,,,,,,,
BFA,,,,,,,,,,,,1.3,,,,,,
CHL,,,,,,,,8.8,,,,,,,,,,
CRI,,,0.4,0.5,0.3,0.3,0.2,0.3,0.1,0.1,0.2,0,0.2,0.8,,0.4,0.2,
HRV,,0.3,0.1,0.1,0,0,,,,,,,,,,,0.1,0.2
CZE,0.1,0,0.1,,0,0.1,0,0,,0,0,,,,,,0,
DNK,0.4,0.2,,,,,,,,,,,,,,,0,0
DMA,,,1,,0.9,,0,,,,,,,,,,,
EGY,,,0.1,,,,,,,,0.1,0.2,0.1,,,,,
SLV,,,,,,,,,,,0,,,,,,,
ERI,,1.3,,,,,,,,,,,,,,,,
EST,0.6,0,,,,,,,,,,,,,,,0.1,0.1
ETH,,,,,0.2,,,,,0.1,0,0.1,,,,,,
FJI,,41.2,,,,,,,,,,,0,,,,,
FIN,,,1,0.5,0.3,0.2,0.2,,,,,,0.1,0.2,0.3,0.3,0.3,0.3
FRA,0,0,0,0,0.1,0.1,0.1,0.1,0.3,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0
GEO,,,,0.6,0.5,0,0.1,,,0.2,0.1,,,,,,,
DEU,2.6,1.3,1.4,1.5,1.3,1.2,1.4,1.4,1.2,1.1,1.3,1.2,1.1,1.2,1.2,1.3,0.9,0.2
HUN,0,9.2,,,,,0.1,0.3,0.2,0.3,0.3,0.3,0.2,,,,,
ISL,,,,,,,,,,,6.1,,,,,,0.3,5.1
IND,,,,,,5.4,,,,,1.2,,,,,0.7,,
IRN,,3.6,,,,,,,,,0.1,0.1,0.1,0.2,,,,
IRL,,,,,,,,,,,,,,,0.5,0.3,0.5,0.5
ISR,0.5,0.4,0.5,0.5,0.6,0.7,0.6,0.7,0.5,0.5,0.7,0.8,0.7,0.7,,,,
ITA,,,,4.5,4.2,,,,,,,,,,,,,
JAM,,,,,,0.1,0.1,0.1,0.1,,0.1,0.1,0,0.1,,,,
KAZ,,,,,,,0.2,0.2,0.2,0.2,,,,,,,,
KWT,,,,,,,,,,,0.9,,,,,,,
LAO,0.1,,,,,,,,,,,,,,,,,
LVA,,,,,,,,,,,,,,,,,0.1,0.3
LBN,,,,,,,,,,0,,,0.1,,,,,
LSO,,,,,0,,,,,,,,,,,,,
LTU,,,,1.6,1,,,,,,,,,,,,,
LUX,,,,,,,,,,,,,,,,1,0.9,0.7
MKD,,,,,,,,,,,,,,,,,0,
MDV,,,,,,31.5,,,,,,4.9,,,,,,
MUS,,,,,,0.2,,,,0.1,0.1,0.2,0.5,0.3,,,,
MEX,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MAR,,,,,,,,,,0,0,0,0,0,,,,
NAM,,,,,,0.6,,,,0.1,,,,,,1.8,0.1,
NPL,,,,,,,0.1,,,,,,,,,,,
NLD,4.8,5.1,3.7,3.5,2.8,4.1,3,4.9,1,0.7,0.6,0.9,0.9,1,1.1,1.3,1.2,1.1
NZL,0.2,0.1,0.1,0.1,,,,,,,,,,,,,,
NIC,,,,,,,,,,0,,0.1,,,,,,
NOR,,,,,,,,,,,,,,,,,6.1,5.6
OMN,,9.9,,,,0.2,,,,,,,,,,,,
PAK,,,,,,,,,,,,0,,,,,,
PRY,,,,,,,,,,,,,,0,,,,
PHL,,,,,,,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
POL,,,0,0,0,0,,,,,,,,,0.1,0.1,0.1,0.1
PRT,0.3,0.2,0.3,,,,,,,,,,,,,,,
QAT,,,0.1,,,,0.7,,,,,,0.3,,,,,
ROU,5.7,6.6,,,,,,,,,,,,,,,,
LCA,0.8,1.3,1.4,2.3,1.9,1,,19.4,14.6,16.7,5.1,6.5,,,,,,
VCT,,,,,,,2.2,,,,,,,,,,,
WSM,,,,,,,,,,,,0.6,,,,,0.6,
SMR,17.4,16.5,15.7,14.6,13.6,,,,,,,,7.5,6.9,,,,
SGP,,0.2,0.2,0.2,0.3,,0.3,0.2,0.2,0.3,,0.1,0.2,0.2,0.1,0.2,0.2,0.1
SVK,0,0.1,0.1,,,,,,,,,,,,,,0,0
SVN,0.5,0.2,0.6,0.3,0.3,,1.4,1,0.9,1.2,0.4,0.8,1.6,0.7,0.6,0.5,0.5,0.4
ZAF,,,,,,,,,,,,,0.3,0,,14.9,14.6,
LKA,,,,,,,,0.2,0.2,0.1,0.1,,,0.1,,,,
SWE,,,,,,,0.2,0.2,0.1,0.1,,0.1,0.1,0.1,,0.1,0.3,0.4
CHE,1.6,0.6,0.5,1.5,0.7,0.5,0.6,0.6,0.5,0.7,0.5,0.6,0.6,0.5,0.5,0.6,0.5,0.4
SYR,,,,,,,,,,,,,0,,0,,,
THA,,,,,,,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,
TTO,0.1,0.1,,0.1,0.1,,0.3,0.2,0.3,0.3,0.3,,,,,,,
TUR,,,,,,,,,,,,,,,,,100,
ARE,0.1,,,,,0.1,,,,,1,,,0.3,,,,
GBR,0.4,0.4,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3
URY,,,,,,,,,,,,0.1,,,,,,
VUT,,,,,,,,,,,,,,,0.9,,,
VNM,,,,,0.6,1.4,1.4,0.9,0.7,,,,,,,,,
YEM,,,,,0,,,,,,9.7,,,,,,,
AME,,,,,,0.528571,,3.04,2.23333,2.57778,1.26,1.48889,,,,,,
ASE,,,,,,18.45,,,,,2.53333,,,,,0.7,,
LCM,,,,,,0.3,,0.2,0.3,0.1,0.1,0.1,,,,,,
SAM,,,,,,5.4,,,,,1.2,,,,,0.7,,
