ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,3.7,,3.5,3.4,,,,,,,,
ATG,,,,,,,5.3,,,,,,,,,,,
ARG,,,,6.6,6.4,6.6,7,6.7,7,7.7,7.8,8.8,,,,,,
ARM,,,,,,,1,,,,,,,1,,,,
AUS,,,7.7,7.7,7.6,7.5,6.3,6.4,6.5,6.1,6.3,6.5,6.6,6.5,,,,
AUT,8.6,8.5,8.6,8.3,8.4,8.5,7.9,7.5,8,7.4,6.8,6.9,7.2,7.2,7,7.3,5.6,5.7
AZE,,,,,,,,,1.2,1.7,1.8,1.5,2.5,6.9,,,,
BHS,6,4.8,5.7,5.8,5.3,,3.6,4.7,4,3.1,4.3,4.4,3.9,4.1,4.1,,4.4,
BHR,,,,,,,9.7,,,9.8,,,,,,,,
BGD,,,,,,,,,18.2,,,,,,,,,
BRB,5.2,4.2,4.6,4.9,4.8,4.6,4.5,4.6,4.7,4.7,,,,,,5.1,4.3,
BEL,11.6,11.9,10.6,11,10,10.5,11,12.1,11.5,10.1,10.4,9.6,9,10,9.8,8.9,9.4,9.3
BLZ,3.3,2.5,2.9,3,2.9,,,,,,3.5,,,,,,,
BTN,,,,,,,,,,,2.4,2.9,,,2,2,2.1,
BOL,3.7,2.6,3.7,,2.6,2.5,2.5,2.1,,2,2.1,2.1,2.9,,,,,
BWA,,,,3.9,,3.8,5,,3.1,,,4.3,,,,,,
BRA,,,,,,5.3,,5.5,5.8,5.8,5.6,5.8,5.9,,,,,
BRN,,,,,,,6.4,,,,,,,,,,,
BGR,,,,,,2.9,3.2,3.6,3.4,3.1,3.5,3.4,3.3,3.2,3.2,3.6,3.4,3.3
BFA,,,,,,,,,,,,0.8,,,,,,
KHM,,,,,,0.8,0.5,,,,,,,2,2.4,3.2,2.9,
CAN,5,5.1,5.3,5.5,5.5,5.6,5.7,5.9,5.9,6,5.8,6.1,6,6,,,,
CHL,,,,,,,,6.2,,,,,,,,,,
CHN,,,,,,,,,,,4,,,,,,,
COK,,,,,,,5.1,,,,,,,,,,3.3,
CRI,,,4.9,4.8,1.8,1.6,4.6,4.9,5.1,4.8,5.1,5.1,5.7,5.8,,6.1,6,
HRV,,6.4,7,6.7,6.5,6.8,6.7,5.9,6,6.2,5.4,5.3,6.5,6.6,6.6,6.6,6,6.4
CYP,,,,,5.2,5.8,6,6.2,5.6,5.6,5.9,6.1,6.5,5.5,5.7,5.6,5.5,4.7
CZE,2.5,2.7,2.8,2.9,2.8,2.7,2.9,3.4,3,2.7,3,3.1,3,3.2,3.4,3.4,3.7,3.6
DNK,6.1,6.4,6.3,5.9,6.6,6.2,4.8,4.6,4.5,4.3,5,4.9,4.4,4.9,5.8,5.2,5.4,4.6
DMA,,,3.3,,3,,3.4,,,,,,,,,,,
DOM,,2.3,2.4,3.5,3.5,3.7,3.9,3.7,3.7,3.4,3.6,3.3,3.3,,,,,
ECU,,,,,,4,4,4,,3.5,3.8,4.9,,,,,,
EGY,,,5.7,5.4,5.2,4.9,4.7,4.8,4.7,4.4,3.4,2.9,2.8,,,,,
SLV,3.1,3.1,2.6,3.3,3.3,3.1,3.7,3.1,3.3,3.6,3.2,3.1,3.5,3.6,3.5,3.4,,
ERI,,6,,,,,,,,,,,,,,,,
EST,1.3,1.5,1.6,1.4,2.1,3,2.8,3.2,3.2,1.8,3.2,2.7,2.2,2.7,2.6,2.9,2.8,3
ETH,,,,,0.5,,,,,3.7,0.5,5.2,,,,,,
FJI,,3.9,,,,,,,,,,,9.1,,,,,
FIN,,,2.9,2.9,3.3,2.9,3,3,2.8,2.8,2.7,2.7,2.6,2.6,2.7,3,3,2.9
FRA,6,6.1,6,6.1,6,6.2,6.3,6.6,5.9,5.7,5.7,5.4,5.3,5.6,5.8,5.7,5.1,5
GEO,,,,0.5,0.7,0.5,0.5,1,0.7,0.7,0.6,0.7,0.7,,,,,
DEU,7.4,7.2,7.2,7.2,7.1,7.4,7.3,7.2,7.6,7.4,7.3,7.4,7.4,7.4,7.4,7.2,7.3,7.7
GHA,,,,,,,,,,,,1.3,,,,,,
GRC,7.3,7.4,7.8,6.6,7.1,7.7,7.8,7.2,7.1,7.4,7.8,7.6,7.3,7.6,7.2,7.3,7.6,7.4
GUY,,,,,,,,3.2,,,,,,,,,,
HUN,1.2,3.2,2.9,2.9,2.8,3,3.6,4.1,4,3.8,3.8,4,4.2,4.2,4.1,4.3,3.2,3.6
ISL,2.8,3.5,3.1,2.4,3.3,2.9,2.6,2,1.9,1.5,2.1,2.7,2,2.3,2.2,2.1,1.4,1.4
IND,,,,,,2.3,,,,,2,,,,,2.2,,
IDN,,,,,,,,,,,,,3.4,3.4,,,,
IRN,,4,,,,,,,,,4,4.4,4.4,4.2,,,,
IRL,6.7,6.9,6.4,6,6,5.7,5.8,5.9,5.6,5.6,5.8,5.7,5.8,5.8,6.4,6.8,4,4
ISR,7.9,7.8,8.2,7.9,7.8,7.5,7.5,7.6,7.1,7.4,7.3,7,7.3,7.2,,,,
ITA,10,9.9,10.2,9.4,9.4,9.9,10,10,9.3,7.8,7.8,7.5,7.2,7.6,8.2,8.4,8,7.9
JAM,,,,,,4,3,3,3.9,3.5,3.8,3.3,4.1,3.7,,,,
KAZ,,,,,,,0.6,0.9,0.8,1.1,1,1,1,1.1,,,,
KWT,,,,,,,,,,,14.2,,,,,,,
KGZ,,,,,,,,0.6,1.2,1.1,1,1,,,,,,
LAO,0.2,,,,,,,,,,,,,,,,,
LVA,,1.7,1.8,1.8,1.5,1.5,2,1.5,1.5,2.9,2.7,1.7,2,1.4,2,2.4,2.2,2.5
LBN,,,,,,,,,,6.9,,,5.3,,,,,
LSO,,,,,0.8,,,,,,,,,,,,,
LTU,,,1.5,1.7,1.9,2.3,1.3,1.9,1.4,1.2,1.9,1.5,2,1.8,1.8,2.3,2.2,2.1
LUX,13,12.3,13.3,10.9,11.7,10.9,12.6,13.1,15.8,11.9,12.6,12.8,11.4,11.3,9.5,9.1,8.5,7
MKD,,,,,,,,4.8,5.9,5.5,5.1,5.3,5.7,5.6,5.3,6,5.5,4.6
MDG,,,,,,,,,,,0.8,,,,,,,
MYS,,,,,,,5.2,4.9,4.9,4.7,4.9,4.4,4.7,4.7,4.7,4.8,,
MDV,,,,,,4.2,,,,,,6,,,,,,
MLT,,,,,,8,8.9,8.1,5.8,6.1,7.1,7.7,7.2,7.1,7.8,7.9,7.2,7.4
