ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ARG,,,,0.7,0.6,0.8,0.5,0.7,7,8.7,9.5,9,,,,,,
ARM,,,,,,,19.4,,,,,,,,,,,
AUS,,,,,0,0.1,,,,,,,,,,,,
BHS,0.6,0.6,0.7,0.6,1,,0.2,0.7,0.6,0.3,0.4,0.4,0.5,0.6,0.5,,0,
BHR,,,,,,,1.8,,,,,,,,,,,
BRB,,0.6,0.8,1.4,0.7,0.6,0.3,0.4,0.3,0.6,,,,,,0.3,0.4,
BEL,,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.1,0.2,0.3,0.3,,,,,0
BLZ,,,,,,,,,,,0.5,,,,,,,
BTN,,,,,,,,,,,7.1,,,,,,,
BWA,,,,2.2,,3.8,4.2,,1,,,,,,,,,
BRA,,,,,,1.6,,0.1,0,0.1,0,0,0,,,,,
BRN,,,,,,,0.3,,,,,,,,,,,
BFA,,,,,,,,,,,,1.9,,,,,,
CHL,,,,,,,,7.1,,,,,,,,,,
CRI,,,0.6,0.7,0.3,0.6,0.4,0.5,0.4,0.1,0.2,0.2,0.3,0.4,,0.7,0.4,
HRV,,0.1,0.4,0.3,0.2,0.1,,,,,,,,,,,0.2,0.2
CZE,0.1,0.1,0.1,,0,0.1,0,0.1,,0.1,0,,,,,,0,
DNK,1.4,0.9,,,,,,,,,,,,,,,0,0.1
DMA,,,0.9,,0.8,,0.1,,,,,,,,,,,
EGY,,,0.4,,0,,,,,,0.1,0.2,0.1,,,,,
SLV,0.2,0.1,0.3,0.4,0.4,0.5,0.4,0.3,0.4,0.4,0.3,0.4,0.4,,,,,
ERI,,0.9,,,,,,,,,,,,,,,,
EST,0.2,0.3,,,,,,,,,,,,,,,0.1,0.1
ETH,,,,,0.2,,,,,0,0.1,0.2,,,,,,
FJI,,13.8,,,,,,,,,,,0,,,,,
FIN,,,0.8,0.9,0.5,0.2,0.3,,,,,,0.2,0.3,0.3,0.3,0.5,0.4
FRA,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0,0
GEO,,,,2.6,2.1,2.6,2.6,0.1,0.4,0.4,0.1,,,,,,,
DEU,2.5,1.4,1.4,1.5,1.3,1.2,1.4,1.5,1.3,1.3,1.5,1.6,1.4,1.3,1.3,1.3,1,0.3
HUN,,56.1,,,,,1.1,1,1.3,1,1,1.1,0.7,,,,,
ISL,,,,,,,,,,,6.5,,,,,,0.1,4.9
IND,,,,,,3.1,,,,,0.6,,,,,0.6,,
IRN,,9,,,,,,,,,2.8,2.8,2.8,3,,,,
IRL,,,,,,,,,,,,,,,0.7,0.6,0.6,0.6
ISR,1.4,1.1,1.2,1.2,1.4,1.7,1.5,1.6,1.3,1.3,1.4,1.5,1.5,1.5,,,,
ITA,,,,3.2,2.9,,,,,,,,,,,,,
JAM,,,,,,0.1,0,0,0,,0.1,,0.1,0.1,,,,
KAZ,,,,,,,0.4,0.5,0.6,0.7,,,,,,,,
KWT,,,,,,,,,,,0.6,,,,,,,
LAO,1.9,,,,,,,,,,,,,,,,,
LVA,,,,,,,,,,,,,,,,,0.1,0.2
LBN,,,,,,,,,,0,,,0,,,,,
LSO,,,,,0.1,,,,,,,,,,,,,
LTU,,,,1,1,,,,,,,,,,,,,
LUX,,,,,,,,,,,,,,,,1.4,1.3,0.8
MKD,,,,,,,,,,,,,,,,,0.9,
MDV,,,,,,9.5,,,,,,3.7,,,,,,
MUS,,,,,,0.1,,,,0.3,0.2,0.3,0.7,0.4,,,,
MEX,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,,,,
MAR,,,,,,,,,,0,0,0,0,0,,,,
NAM,,,,,,0.7,,,,0.2,,,,,,1.9,0.1,
NPL,,,,,,,0.1,,,,,,,,,,,
NLD,4.1,3.4,3.3,3.1,2.5,3.4,2.7,5.8,1.6,1.1,0.9,1.5,1.6,1.5,1.7,1.8,1.6,1.5
NZL,0.3,0.3,0.2,0.3,,,,,,,,,,,,,,
NIC,,,,,,,,,0,0,,,,,,,,
NOR,,,,,,,,,,,,,,,,,0.9,0.7
OMN,,14.3,,,,0.5,,,,,,,,,,,,
PAK,,,,,,,,,,,,0,,,,,,
PAN,,,,,,,0,0,,,,,,,,,,
PHL,,,,,,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,
POL,,,0.9,1,0.8,0.8,,,,,,,,,0,0.1,0.1,0.1
PRT,0.4,0.4,0.5,,,,,,,,,,,,,,,
