ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,1.6,,0.3,1.5,,,,,,,,
ATG,,,,,,,6.5,,,,,,,,,,,
ARG,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.7,0.8,,,,,,
ARM,,,,,,,5,,,,,,,1.7,,,,
AUT,0.3,0.3,0.3,0.3,,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2
AZE,,,,,,,,,,,,0.4,0.2,0.1,,,,
BEL,1.1,1.1,1.1,1.1,1,1,1,0.9,0.9,0.8,0.8,0.8,0.7,0.8,0.7,0.6,0.6,0.7
BLZ,,,,,,,,,,,0.1,,,,,,,
BTN,,,,,,,,,,,4.8,3.8,,,1.8,1.6,2.2,
BOL,0.4,0.2,0.2,,0.2,0.2,0.1,,,0.1,0.1,0,0.1,,,,,
BRA,,,,,,0.9,,0.8,0.8,0.8,0.7,0.7,0.7,,,,,
BGR,,,,,,1.1,1.2,0.8,0.6,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9
BFA,,,,,,,,,,,,0.2,,,,,,
KHM,,,,,,1.1,0.6,,,,,,,,0.7,0.8,0.8,
CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CHL,,,,,,,,1,,,,,,,,,,
HRV,,2.2,1.2,1.2,1.1,1.4,1.4,1.6,1.1,0.7,0.8,0.7,0.7,0.5,0.7,0.8,0.8,0.6
CYP,,,,,0.9,1.3,1.1,1.2,1.1,1.2,1,1,1.1,1.3,1.2,0.9,1,1
CZE,1.1,1.1,0.3,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4
DNK,0.6,0.6,0.4,0.4,0.6,0.5,0.4,0.4,0.2,0.4,0.5,0.5,0.3,0.4,0.4,0.4,0.3,0.4
DOM,,,,,,,,,,0.8,0.8,0.7,0.8,,,,,
ECU,,,,,0.4,0.5,0.4,0.5,0.5,0.3,0.4,0.4,,,,,,
