ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,7.3,,6.6,5.9,,,,,,,,
ATG,,,,,,,4.4,,,,,,,,,,,
ARG,,,,6.4,6.2,6.7,6.2,5.2,0.3,0.4,0.3,0.2,,,,,,
ARM,,,,,,,4.3,,,,,,,4.5,,,,
AUS,,,11.3,11,11.6,11.5,9.9,9.8,10,10.4,10.8,11,11.1,11.1,,,,
AUT,7.4,7.8,7.5,7.7,8.1,8,8.4,7.7,7.8,6.9,7.5,7.1,7.1,6.9,6.7,6.6,5,
AZE,,,,,,,,,2.2,1.7,1.6,1.4,1.3,1.2,,,,
BHS,5.2,6.9,5.2,5.7,6.4,,9.2,9.8,8.3,8,8,8.8,9.7,8.9,9.2,,8.3,
BHR,,,,,,,7.1,,,6.8,,,,,,,,
BGD,,,,,,,,,3.9,,,,,,,,,
BRB,5.6,7.6,6.9,5.3,5.4,7.5,8.3,7.9,7.6,9.2,,,,,,8.8,7.9,
BEL,10.7,10.8,10.3,11,11.2,10.4,11.3,10.6,10.7,11.2,11.5,11.4,11.4,10.9,11.3,11.3,7.2,
BLZ,8.1,7.9,13.3,13.3,17,,,,,,8.9,,,,,,,
BTN,,,,,,,,,,,0.8,1.1,,,2.3,2,1.4,
BOL,4.5,3.6,3.8,,1.8,1.3,0.9,1.4,,1.2,1.5,1.7,1.9,,,,,
BWA,,,,2.8,,3,3.5,,2.8,,,5.6,,,,,,
BRA,,,,,,4.3,,5.1,5,4.8,5.1,5.3,4.9,,,,,
BRN,,,,,,,3.5,,,,,,,,,,,
BGR,,,,,,6.2,9,7.5,7.5,7.2,6.5,6.5,6.6,6.6,6.9,7.3,6.4,
BFA,,,,,,,,,,,,0,,,,,,
KHM,,,,,,0.5,0.7,,,,,,,0.6,,,,
CAN,11,11,10.1,9.8,9.6,9.8,9.1,9,8.9,9.2,9.2,9.3,9.1,9.3,,,,
CHL,,,,,,,,5.7,,,,,,,,,,
