ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,35.8,,32,48.9,34,,,,,,24.2,
ATG,,,,,,,7,,,,,,,,,,,
ARG,22.7,23.2,22.5,22,21.6,20.6,21.4,20,19.1,19,18.6,17.3,16.6,16.4,16.9,16.5,16.1,16.1
ARM,,,,,,,,,,,,,,30,22.4,27.5,29.3,
AUS,8.8,8.7,9,8.2,8.1,7.9,7.5,7.8,7.6,7.4,7.4,7,6.9,6.9,,,,
AUT,11.4,11.5,10.4,10,10.1,9.4,9.3,9.1,8.5,8.2,8.4,8.5,9.4,8.7,8.4,8.6,8.6,8.3
AZE,,,,,,,,,64.2,62.1,62.6,65.1,66,62.1,,,,
BHS,,,,10.8,11.1,,,,,,,,,,,,,
BHR,,,,,,,,1.2,1.1,0.5,1.1,1.1,1.1,1.1,1.1,1.1,,
BGD,,85,,,,84.2,,,82.2,,86.5,,,,,,,
BRB,9.2,9.3,7.8,8.4,9,7.9,9,9,8.4,9.9,,,,,,,,
BLR,,,,,,,,,,,,,,,1.7,,,
BEL,15.7,15.3,14.6,14.2,13.7,11.5,11,11.4,10.7,9.4,9.9,9.4,9.3,8.7,9,8.4,8.6,8.4
BLZ,22.4,20.9,,,,,,,,,21.5,,,,,,,
BEN,,,,,,,,,95.8,,,,,,,,,
BTN,,,,,,,,,,,,79.7,,,85.5,76.7,83.1,67.5
BOL,54.6,56.3,57.9,,75.6,73.2,72.5,72.6,71.6,71.6,70.6,69,66.8,66.5,64.4,,,
BIH,,,,,,,,,,,,,,,29.6,28,25.4,27.7
BWA,,,,,,,,,,,,38.9,,,,,,
BRA,37.8,34.6,,,,22,32.6,32.9,32.6,32,25.3,24.2,24,22.6,22.4,,,
BGR,,,,,,11.6,9.8,10.3,10.4,10.3,8.8,7.8,7,7.5,7.7,8,7.1,6.6
BFA,,,,,,,,,97,,,93.1,,,,,,
BDI,,,,97.6,,,,,,,,,,,,,,
KHM,,,,,,87.9,86.2,,,,,,,85.8,76.8,75.3,72.8,69.7
CMR,,91.4,,,,,87.8,,,,,,,,,87.2,,
CPV,,,,,,44,,,,,,,,,,,,
CHL,,23,24.1,25.6,23.9,23.1,24.8,25.2,25.1,26.2,23.8,24.5,23.9,23.8,,,,
COL,26.6,25.7,27.1,30.3,31.8,42.4,45.6,45.9,44.7,45.5,45.3,44.6,41.2,46.7,48.5,49.3,50.2,50.7
COG,,,,,,,,,,,89.4,,,,,,,
CRI,21.1,17.9,22.1,20.2,20.9,20.5,23.8,,24,25,22.6,21.6,19.9,20.3,21.2,18.6,18.9,18.3
CIV,,,,,,,,84,,,,,,,,,,
HRV,,24.6,22.3,20,20,18.8,18.3,17.9,20.1,20.3,21.5,18.1,17.2,17.2,17.6,19.1,18.7,16.4
CYP,,,,,14.4,14.8,14.1,14.6,14.5,13.9,14,13.1,11.4,11.5,12.4,11.6,10.5,9.6
CZE,6,5.8,5.8,6.8,7.6,7.8,8.2,8.4,9.6,9,8.4,8.6,8.7,8.7,9.4,10.4,11.1,11.6
DNK,4.4,4.6,4.3,4.5,4.3,4.3,3.5,3.4,3.7,3.9,4.1,4,3.6,3.3,3.7,4,3.8,4
DMA,,,22.6,,30.6,,20.5,,,,,,,,,,,
DOM,28.8,30.5,32.2,33.6,32.1,28.5,30,30.7,28.8,27.1,30.7,29.6,30.2,32.4,30.1,21.7,,
ECU,40.8,40.4,37.1,39.8,38.2,49.1,53.8,,49.3,54.6,49.9,52.7,51.9,49.6,51.4,49.5,52.2,41.7
EGY,41.5,,39.9,33.6,29.7,38.3,28.8,26.4,39.1,46,45.4,43.5,48.7,,46,44.8,,
SLV,46,46.5,45.3,44.5,43.1,45.6,46.3,47.2,45,45.3,47.2,44,44.3,45.2,28.4,46,45.7,45.1
EST,3.5,3.8,3.9,4.7,4.6,2,1.3,1.2,1.8,1.7,1.3,1.1,1.5,1.5,1.7,1.3,1.6,1.4
ETH,,,,,92.8,,,,,,93.3,,,,,,,
FJI,,,,,,,,46.2,,39.2,39.3,,37.5,37,,,,
FIN,8.7,9.4,7.5,6.9,7.3,6.6,6.7,6.9,6.3,6,6.5,6.3,6.1,6.6,7.1,6.9,6.6,7
FRA,8.5,7.8,7.5,7,6.7,6.2,5.9,5.8,6,5.5,5.3,5.7,5.1,4.8,5.1,5.5,5.5,5.4
GAB,,,,,,,,,,,63.8,,,,,,,
GEO,,,,55.2,56.7,61.7,63.7,63.4,65,64.9,64.8,,,64.6,63.5,60.7,,
DEU,5.9,5.5,5.6,5.5,5.2,5.2,5.9,5.7,5.7,6.1,6.8,6.6,6.7,6.3,5.9,5.8,6,5.9
GHA,,,,,,,,,,,,85.4,,,,84.3,,
