ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,30,,28.6,32,34.4,,,,,,30.6,
ATG,,,,,,,9.1,,,,,,,,,,,
ARG,25,25.3,24.4,24.1,24,24.3,25.4,27.9,25,23.8,23.5,22.2,21,21,21.5,20.9,20.4,21.1
ARM,,,,,,,,,,,,,,28.9,27.6,27.5,30.2,
AUS,12.7,12.6,12.5,12.2,12.3,12.3,12.4,12.6,12.3,12.1,11.8,11.6,11.2,10.8,,,,
AUT,7.9,8,7.8,7.6,7.7,7.8,7.9,7.6,7.5,8.8,8.6,8.6,9.1,9.2,8.9,9.3,9.1,8.8
AZE,,,,,,,,,60.7,62,62.6,48.9,40.5,47.4,,,,
BHS,,,,18.5,20,,,,,,,,,,,,,
BHR,,,,,,,,2.6,2.5,2.4,2.4,2.4,2.3,2.2,2.2,2.2,,
BGD,,59.8,,,,59.7,,,83.4,,84.5,,,,,,,
BRB,14.9,15.3,15,14.9,17.4,16.6,17.6,17.7,18.4,17.9,,,,,,,,
BLR,,,,,,,,,,,,,,,2.5,,,
BEL,16.3,16.7,16.6,16.5,12.2,11.5,10.5,11.4,11.3,10.7,11.1,11.2,11.2,11.1,11.4,11.1,11.5,11.8
BLZ,26.8,29,,,,,,,,,24.6,,,,,,,
BEN,,,,,,,,,83.7,,,,,,,,,
BTN,,,,,,,,,,,,59.4,,,63.8,61.4,59.9,38
BOL,29.6,31,36,,58.1,60.5,58.6,56.9,48.9,48.9,51.4,54.4,49.1,49.4,47.3,,,
BIH,,,,,,,,,,,,,,,25.7,25.8,25.1,27.2
BWA,,,,,,,,,,,,32.9,,,,,,
BRA,34.5,34.5,,,,30.7,34.4,34.3,34.5,33.8,30.7,29.5,29.2,27.1,27.1,,,
BGR,,,,,,16.1,13.1,13.1,13.9,13.5,11.4,10.4,9.5,9.8,10.1,9.9,9.7,9.3
BFA,,,,,,,,,91.6,,,86.7,,,,,,
BDI,,,,89.9,,,,,,,,,,,,,,
KHM,,,,,,80.9,80.7,,,,,,,79.1,68.6,64.3,64.1,58.8
CMR,,69.5,,,,,64.4,,,,,,,,,66.6,,
CPV,,,,,,35.9,,,,,,,,,,,,
CHL,,28.6,27.5,28.9,29.3,29.8,30.1,30.4,30.8,30.1,28.7,26.8,25.3,24.7,,,,
COL,31.7,31.3,32.9,33.1,36.2,44.1,48.1,46.8,44.8,45.5,45.4,43.2,41.4,47.2,46.5,48.2,47.9,47.2
COG,,,,,,,,,,,60,,,,,,,
CRI,23.1,23.3,23,21.6,21,24.9,22.9,,20.8,22.2,20.3,21.6,19.6,19.2,19.5,21.5,20.9,21.4
CIV,,,,,,,,69.5,,,,,,,,,,
HRV,,22.5,20,18.9,19.5,18.7,19.9,19.2,19,18.4,18.6,17.8,15.3,15.5,15.8,16.8,17.4,16.7
CYP,,,,,21.4,20.4,19.5,19.6,20.8,19.8,17.2,16.7,16.6,16.7,16.5,15.9,16.1,15.2
CZE,9.7,9.7,10,11.3,12.5,13.2,13.5,14.5,16,16,15.3,14.7,15.3,15.4,15.7,16.8,17,17.6
DNK,6,6.1,6.6,6.2,5.9,5.5,6,5.9,6.3,6.6,6.1,6,6.5,6.5,7,6.9,7,7
DMA,,,22.3,,40.2,,29.4,,,,,,,,,,,
DOM,42.3,46.1,47,48,50.1,46.7,47.3,49.1,49.6,46.4,48.8,50.2,48.8,50.2,51.2,48.3,,
ECU,29.8,32.1,30.6,29.3,28.4,38.8,38.3,,36.2,36.6,36.2,35.9,35.3,33.7,36.7,36.9,38.7,57.3
EGY,22.3,,21.8,22.1,21.3,19.4,18.8,21.5,20.8,21.2,20.5,20.4,21.6,,18.9,17.7,,
SLV,30.9,32.3,32.5,33.3,29.3,31.7,32.9,33.6,30.7,29,32.8,29.2,28.2,29.6,17.4,31.6,32.4,32.1
EST,5.7,6.5,4.8,7.5,5.9,4.1,3.2,2.8,3.4,5.1,4.1,4.1,4.8,5,5.9,5.5,6,5.9
ETH,,,,,88.8,,,,,,89.3,,,,,,,
FJI,,,,,,,,46.8,,38.1,38.8,,40.8,39.6,,,,
FIN,15.4,15.8,14,14.4,11.7,11.5,11.1,10.7,10.8,10.3,11,11.2,10.9,11.2,11.9,11.5,11.8,12
FRA,9.3,9.2,8.9,8.4,8.3,7.8,7.3,7.5,8.1,7.6,7.6,8,7.9,7,7.7,8.5,8.7,8.6
GAB,,,,,,,,,,,45,,,,,,,
GEO,,,,52.8,53.5,58.1,60.9,62.1,64.4,65.2,63.8,,,61.9,61.8,60.5,,
DEU,5.4,5.7,6,6.1,6.1,6.3,6.3,6.5,6.9,7.5,8,7.8,7.5,7.3,7.5,7.5,7.7,7.7
GHA,,,,,,,,,,,,64.8,,,,68.9,,
GRC,38.7,37.6,37.2,35.1,33.7,33.3,31.4,31.4,31.5,28.7,28.6,28.6,28,27.1,27.7,28.5,29.6,31.3
GRD,,19,,18,,,,,,,,,,,,,,
GTM,,,,39.4,,41.7,,51.5,44.6,45.4,,,,,,,,
HND,45.5,48.6,48,46,46.9,,48,51,49.7,48.5,48.6,49.4,49,48.6,49.5,51.3,,
HUN,10,19.1,17.9,16.1,15.5,12.3,10.8,9.9,9.8,10.2,9.2,8.5,8.1,8.3,8.2,8,8,7.2
ISL,16.2,13.2,13.7,15.4,14.6,13.3,13.9,14.6,12.5,11,12.5,13,12,10.5,10.1,10.5,10.1,9.7
IND,,,,,,80.5,,,,,80.3,,,,,79.3,,
IDN,,,,,,,60.1,61.7,63.2,61.9,61.2,61.1,60.3,,61.8,,,
IRN,,41.3,,,,,,,,,,,39.7,39.9,,,,
IRL,21.7,21.1,20.7,19,18.1,17.8,17.1,17.1,16.6,17.2,16.3,15.4,16.1,16.7,18,17.4,17.2,17.5
ISR,8.7,9.3,9.3,9.2,9.5,8.7,8.4,8.6,9.1,8.9,9.4,9.5,9.1,8.9,,,,
ITA,16.6,16.8,16.7,17,16.5,16.4,16.7,16.3,16,22.5,21.4,21.1,21,20.6,20.5,21,20.9,20.9
JAM,40.9,41.2,40.4,41.5,41.3,41.3,40.3,40.1,39.9,38.8,37.1,38.4,36.6,40.7,,,42.1,42.8
JPN,12,11.7,11.8,11.7,11.9,11.6,11.2,11.1,11.1,11,10.9,10.2,10,9.8,,,,
JOR,,,,,,12.9,4.4,2.6,1.7,3.5,3.1,3.1,0.8,2.4,10.9,10.9,10.6,11.1
KAZ,,,,,,,35.9,33.8,34,33.3,31.6,31.8,31.4,30.1,29.5,29.3,29.2,28.5
KEN,,,,,50,,,,,,,,,,,,,
KSV,,,,,,,,,,,,,,,,,,18.4
KWT,,,,,,,,,,,2.8,,,,,,2.7,
KGZ,,,,,,,,52.1,50.3,49.7,48.7,47.4,,,,,,
LAO,85.4,,,,,,,,,,84.2,,,,,,,
LVA,,12.2,16,14.2,13.3,10.4,11,11,11.4,10.6,8.9,9.2,8.5,8,8.6,8.4,8.7,8.6
LBN,,,,,,,,,,37.1,,,31.6,,,,,
LSO,,,,,73,,,,,,,,,,,,,
LBR,,,,,,,,,,,,,70.8,,,68.7,,
LTU,,,,17.5,21,20.4,21.1,20.8,20.6,19.3,16.4,14.6,13.2,10.9,11.1,9.6,9.1,10.2
LUX,4.1,3,3,3.8,3.4,3.3,2.3,2.7,6.5,5.6,5.1,5.3,4.2,3.4,6.2,4.9,6,5.3
MKD,,,,19.9,16.5,20.7,21.6,21.2,18.2,20.4,23.2,23.9,23.7,23.9,24.4,24.2,23.7,23.2
MDG,,,,,,,,,78.9,,83.9,,,,,,,
MYS,24.2,23.3,21.7,23.5,22.7,22.8,20.9,19.5,19.9,21.8,21.7,22.7,22.9,23.1,22.3,22.7,20.5,21.3
MDV,55.9,,,,,56.2,,,,,,19.6,,,,,,
MLI,,,,,,,,,,84.8,,81.9,76.5,,,,,
MLT,,,,,,10,10.1,13.3,10.7,12.1,11.3,11.7,11,11,11.3,12.3,11.9,11.4
MHL,,,,,25.7,,,,,,,,,,,,,
MUS,,,,,,15.7,,,,18,17.7,17.1,17.9,17.1,16.8,16.8,16.2,18.1
MEX,36,34.7,35,33.3,33.1,30.9,31.1,31.4,31.4,30.7,29.6,28.2,27.8,27.2,,,,
MNG,,,,,,57.9,,,62.1,,,,64.9,54.6,60.4,59.7,57.1,
MAR,,,,49.6,50,,,53.1,52.7,54.6,54.3,46.9,46,47.3,,,,
MOZ,,,,,,,,,78.1,,,,,,,,,
NAM,,,19.3,,,19.9,21.1,,,17,,,,11.2,,28.2,20.7,25.4
NPL,,,,,,,62.4,,,,,,,,,,,
NLD,8.2,8.4,8.4,7.7,7.6,8.2,8.4,8.6,8.6,9,9.2,9.7,10.2,10.4,10.8,12.5,12.6,13.1
NZL,15.1,16,15.3,15.3,16.7,16.4,15.4,15.2,15.1,14.7,14.4,14.8,13.9,14.5,,,,
NIC,36.4,37.6,33.1,33.1,34.7,45.9,,,48,46.7,44.6,44.9,44.8,44.9,,41,,
NER,,,,,,,,,,,83.2,,,,,,,
NOR,7.6,8,8.5,8.6,7.9,7.5,7.1,8.1,8.2,8.3,8,8.8,8.1,8,7.8,7.6,7.1,7
PAK,63.5,63.5,61.9,62.1,62.1,63.1,63.1,58.8,58.8,59.7,59.7,58.9,58.4,59.3,,,,
PAN,34.8,34.9,36.7,34.5,34.9,36.2,36.5,36.1,36.7,34.6,34.9,33.2,30.1,28.7,32.8,32.5,32.6,30.6
PRY,,30.4,46.9,48.2,47.5,,47.6,53.3,51.2,51.4,48.8,48.3,44.5,42,44.3,41.2,40,39.8
PER,30.1,35.6,37.3,33.8,36.5,37.5,38.8,29.5,32.1,46.4,45.5,43.9,42.5,42,41.3,41.2,42.3,40.8
PHL,,,,43.2,43.8,43.2,43,43.4,42.6,40.7,43.1,42.9,41.9,41.8,,,,
POL,26.6,26,25.6,24,24.3,24.4,25,25.7,24.9,23.7,23,21.5,20.5,19.8,19.6,19.7,19.8,19.8
PRT,21,21.3,21.3,21,19.4,18.7,20.5,20.3,19.8,19.1,18.9,18.4,18.8,18,18.4,18,17.7,18.9
QAT,,,0.8,,,,,,,0.5,,,,,,,,
KOR,,,,,,26.1,26,25.5,25,24.1,24.1,23.6,23.4,23.2,,,,
MDA,,,,,30.2,35.1,37.4,39.3,36.2,36,37.1,33.2,35.2,33.7,32.2,32.8,32.8,32.8
ROU,30.4,31,34.2,36.7,39.8,42.4,42.3,36.5,36.6,32.8,33.5,32.4,31.9,30.9,31.1,33.3,31.2,31.3
RUS,2.5,2.7,3.3,3.3,7.7,7.4,5.9,5.9,6,6.1,6.4,6.3,6.1,5.9,,,,
RWA,,88.9,,,,,,,,,,,,,,,,
KNA,,,,,,,9.9,,,,,,,,,,,
LCA,27.8,31.5,29.1,30.2,29.4,31.5,,,,,,,,,,,,
