ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,30.8,,29.1,34.9,34.4,,,,,,29.5,
ATG,,,,,,,8.1,,,,,,,,,,,
ARG,24.1,24.5,23.6,23.3,23.1,22.8,23.8,24.6,22.5,21.8,21.4,20.1,19.2,19.1,19.6,19,18.6,19
ARM,,,,,,,,,,,,,35.7,29.4,25.2,27.5,29.8,
AUS,11,10.9,11,10.5,10.5,10.4,10.2,10.5,10.2,10,9.8,9.5,9.3,9,,,,
AUT,9.4,9.5,8.9,8.7,8.7,8.5,8.5,8.3,7.9,8.5,8.5,8.5,9.2,9,8.7,9,8.9,8.6
AZE,,,,,,,,,62.4,62,62.6,56.5,53.2,54.7,,,,
BHS,,,,14.8,15.9,,,,,,,,,,,,,
BHR,,,,,,,,2.3,2.2,2,2.2,2.2,2.1,2,2,2,,
BGD,,69.4,,,,68.9,,,83.1,,85,,,,,,,
BRB,12.3,12.4,11.6,11.9,13.7,12.5,13.4,13.7,13.6,14,,,,,,,,
BLR,,,,,,,,,,,,,,,2.1,,,
BEL,16,16.1,15.8,15.6,12.8,11.5,10.7,11.4,11,10.2,10.6,10.4,10.3,10,10.3,9.9,10.2,10.3
BLZ,25.5,26.6,,,,,,,,,23.5,,,,,,,
BEN,,,,,,,,,89.9,,,,,,,,,
BTN,,,,,,,,,,,,68,,,74.2,68.8,70.9,53.1
BOL,40.5,42.5,45.5,,66,66.1,64.9,63.7,59.2,59.2,60,61,57,57.1,54.9,,,
BIH,,,,,,,,,,,,,,,27.2,26.6,25.2,27.4
BWA,,,,,,,,,,,,35.8,,,,,,
BRA,35.8,34.6,,,,27.4,33.7,33.8,33.7,33,28.4,27.2,27,25.2,25.1,,,
BGR,,,,,,14,11.5,11.7,12.3,12,10.2,9.2,8.4,8.7,9,9,8.5,8
BFA,,,,,,,,,94.3,,,89.6,,,,,,
BDI,,,,94.2,,,,,,94.6,,,,,,,,
KHM,,,,,,84.5,83.5,,,86.7,,,,82.5,72.7,69.8,68.5,64.1
CMR,,80.1,,,,,75.9,,,,79.8,,,,,76.4,,
CPV,,,,,,39.6,,,,,,,,,,,,
CHL,,26.8,26.4,27.8,27.5,27.6,28.4,28.7,28.9,28.7,27,26,24.8,24.4,,,,
