ISO,2012
AFG,0.5
ALB,0.5
DZA,0.75
AGO,1
ARG,0.25
ARM,0.75
AZE,0.25
BHR,1
BGD,0.25
BEN,0.5
BTN,0.75
BOL,0.25
BIH,0.25
BWA,0.25
BRA,0
BFA,1
BDI,0.5
KHM,0.25
CMR,1
CAF,0.75
TCD,0.75
CHN,0.25
COL,0.25
COG,0.75
CRI,0.25
CIV,1
HRV,0.25
CUB,0.75
PRK,0.5
COD,1
DOM,0.25
ECU,0.5
EGY,0.5
SLV,0.25
GNQ,0.25
ETH,0
FJI,0.25
GAB,0.5
GMB,0.75
GEO,0.5
GHA,0.25
GTM,0
GIN,0.25
GNB,0.75
HTI,1
HND,0.75
IND,0.25
IDN,0.5
IRN,1
IRQ,0.5
JAM,0.25
JOR,0.5
KAZ,0.25
KEN,1
KWT,0.5
KGZ,0.5
LAO,0.5
LBN,0.75
LSO,0.75
LBR,1
LBY,1
MKD,0.25
MDG,0.25
MWI,0.25
MYS,0.25
MLI,1
MRT,0.5
MUS,0
MNG,0.25
MAR,0.75
MOZ,0.25
MMR,0.75
NAM,0.25
NPL,0.5
NIC,0.25
NER,0.75
NGA,0.5
OMN,1
PAK,0.75
PAN,0
PNG,0.75
PRY,0.25
PER,0.25
PHL,0.25
MDA,0.25
RUS,0.75
RWA,0.25
SAU,0.75
SEN,0.25
SRB,0.25
SLE,0.5
SGP,0
SOM,1
ZAF,0.25
LKA,0.25
SDN,1
SWZ,0.75
SYR,1
TJK,0.75
TZA,1
THA,0.25
TLS,0.75
TGO,1
TTO,0.25
TUN,0.25
TKM,0.25
UGA,0.25
UKR,0
ARE,1
URY,0.5
UZB,1
VEN,0.25
VNM,0.25
YEM,1
ZMB,0.75
ZWE,0.25
# Series: SIGIVAWD,
# Name: VAW laws on domestic violence SIGI score,
"# Definition: 0: There is specific legislation in place. 0.25: There is specific legislation in place, but there are widespread reported problems with implementation. 0.5: There is general legislation in place, or specific legislation is inadequate (e.g. rape laws do not criminalise marital rape). 0.75: Legislation is being planned, drafted or reviewed or existing legislation is highly inadequate. 1: No legislation.",
# Source: OECD SIGI Index - The Social Institutions and Gender Index (SIGI) 2012,
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
