ISO,1990,1995,2000,2005,2010
AFG,4337.3,4305.15,4367.09,3979.46,3189.72
ALB,2241.72,2054.82,2055.5,2072.7,1872.5
DZA,432.95,343.35,328.45,279,223.36
AND,731.64,666.48,614.06,566.07,560.67
AGO,972.03,903.63,808.97,657.77,606.39
ATG,901.91,769.33,610.1,550.03,502.42
ARG,1774.5,1563.26,1452.31,1336.64,1292.95
ARM,1424.96,1346.24,1071.91,888.2,775.5
AUS,1547.82,1318.48,1112.52,969.1,884.18
AUT,1177.46,1166.67,1127.75,1033.7,991.61
AZE,2033.36,2055.5,1552.82,1175.18,900.83
BHS,763.54,301.17,159.98,144.16,187.71
BHR,1890.81,1355.31,968.53,713.6,727.84
BGD,2181.09,1929.62,1590.72,1335.26,1304.88
BRB,524.93,404.79,345.98,341.47,305.84
BLR,1151.44,1267.9,1224.17,1124.44,908.34
BEL,1343.69,1233.17,1148.69,1087.25,1029.34
BLZ,559.56,532.86,511.36,414.19,401.49
BEN,946.28,757.5,706.8,529.26,494.03
BTN,1100.04,956.08,798.91,683.88,577.47
BOL,2849.21,2711.44,2242.42,1903.1,1650.76
BIH,2673.93,2835.53,2274.95,1997.73,1729.49
BWA,1385.21,1276.09,1358.14,1019.46,551.59
BRA,2256.76,2034.95,1722.34,1485.54,1275.48
BRN,2606.61,2397.4,2025.63,1985.7,1897.71
BGR,1616.6,1706.34,1777.41,1713.46,1686.84
BFA,1240.9,1262.52,1119.5,1198.21,1343.9
BDI,1912.36,1683.87,1545.11,1481.55,1361.82
KHM,3352.51,3204.07,2954.35,2370.2,2088.37
CMR,688.24,644.16,607.21,496.47,437.41
CAN,1802.49,1722.41,1576.93,1476.57,1337.39
CPV,520.91,443.53,368.25,316.43,291.85
CAF,1193.61,1029.99,879,785.6,782.04
TCD,1041.21,940.55,946.13,827.51,781.41
CHL,1544.97,1257.66,1081.38,974.73,854.1
CHN,2164.44,1898.5,1584.14,1308.26,1011.52
COL,1950.96,1771.48,1446.41,1238.82,1065.91
COM,2688.5,2320.04,1998.6,1923.81,1955.83
COG,998.59,1029.33,943.94,824.13,731.79
CRI,927.76,860.13,737.87,615.22,465.05
CIV,863.94,776.31,651.64,663.34,651.38
HRV,1727.74,1552.39,1417.87,1300.92,1146.19
CUB,2382.28,2388.69,2192.22,2043.95,1775.72
CYP,883.75,855.05,779.09,666.78,600
CZE,1814.39,1586.31,1413.37,1289.61,1107.56
PRK,3816.95,3637.34,3523.88,3372.77,3176.18
COD,649.94,589.7,550.9,527.31,571.71
DNK,2784.09,2749.45,2530.47,2219.46,1952.93
DJI,2159.19,1983.61,1723.59,1619.47,1456.69
DMA,1050.72,847.79,661.15,584.93,495.92
DOM,1742.43,1513.1,1293.77,1306.96,1320.27
ECU,941.39,862.88,809.51,639.96,494.39
EGY,1556.09,1310.62,1073.42,983.67,838.03
SLV,1267.36,1180.79,1094.3,997.61,961.98
GNQ,1023.7,898.36,713.93,521.84,456.63
ERI,814.14,655.58,585.39,559.07,577.21
EST,1451.27,1549.6,1305.7,1029.11,763.35
ETH,870.68,705.83,558.07,480.98,413.22
FJI,3049.6,3069.78,2872.46,2538.13,2409.59
FIN,815.66,704.89,649.93,605.83,573.35
FRA,654.25,644.09,656.62,685.89,690.81
GAB,900.97,863.49,793.22,759.69,721.42
GMB,1981.55,1634.15,1355.5,1165.28,1013.15
GEO,1585.78,1503.61,1188.54,1008.65,877.98
DEU,1369.68,1181.51,1047.54,932.03,944.74
GHA,584.23,514.23,485.61,385.4,296.1
GRC,1074.02,1013.99,1030.88,1001.26,939.97
GRD,1307.38,1090.3,926.64,991.2,913.8
GTM,1513.51,1276.46,1082.57,861.68,584.44
GIN,2025.44,1588.1,1527.67,1048.08,1048.56
GNB,1143.53,864.04,799.36,722.27,624.88
GUY,2074.24,1950.63,1539.47,1655.61,1654.05
HTI,2694.88,2474.62,2171.01,1973.42,1876.35
HND,1478.81,1459,1363.64,1256.07,1052.66
HUN,2859.85,2745.82,2532.29,2434.63,2114.55
