ISO,1990,1995,2000,2005,2010
AFG,7206,7215.82,7405.07,7099.38,6264.81
ALB,4677.79,4498.69,4704.77,4583.87,4304.43
DZA,3193.18,3017.59,2772.13,2395.5,2047.53
AND,3070.41,2765.61,2572.85,2397.7,2165.53
AGO,3260.89,2811.2,2547.61,2156.96,2100.89
ATG,2423.05,2074.92,1636.77,1497.09,1521.18
ARG,5349.63,4843.13,4308.17,3760.32,3413.37
ARM,7974.19,9300.62,7960.29,7476.03,7288.04
AUS,3875.55,3083.26,2414.93,1972.31,1731.62
AUT,4424.62,3994.08,3460.61,2829.08,2531.29
AZE,9319.25,9894.5,7576.22,6460.9,5627.64
BHS,3885.29,2566.26,1818.88,1438.68,1603.43
BHR,4374.5,3612.17,3148.32,2571.33,1835.78
BGD,3892.79,3853.62,3886.33,4034.38,4237.52
BRB,2390.59,1776.85,1375.63,1213.47,1130.01
BLR,8722.13,10576.3,10535.6,10349.4,9208.34
BEL,5503.36,4824.16,4201.36,3513.28,3257.09
BLZ,2405.2,2575.87,2665.47,2174.73,2044.37
BEN,1790.36,1542.19,1543.05,1352.66,1327.17
BTN,2330.01,2054.2,1781.43,1571.3,1436.22
BOL,3700.6,3311.35,2822.05,2408.62,2222.99
BIH,7145.46,7942.36,6046.94,5423.41,4730.12
BWA,3239.49,2968.83,3120.03,2602.64,2130.12
BRA,4615.31,4054.56,3442.53,2941.2,2620.99
BRN,3629.83,3567.95,3242.58,2936.32,2935.55
BGR,6086.73,6704.34,6383.39,6383.75,6021.66
BFA,1836.66,1766.77,1665.81,1800,2104.02
BDI,3995.32,3582.4,3234.99,3131.5,2804.4
KHM,6822.72,6709.36,6596.57,6129.48,5810.41
CMR,1611.95,1505.81,1447.71,1276.02,1199.97
CAN,4288.98,3638.36,3012.08,2563.49,2203.09
CPV,2208.7,2033.01,1812.58,1632.11,1544.04
CAF,4263.03,3940.36,3514.39,3322.56,3419.81
TCD,2114.93,1946.96,2015.22,1855.09,1793.05
