ISO,2013
AFG,no
ALB,no
DZA,no
AGO,no
ARG,yes
ARM,no
AUS,no
AUT,no
BGD,yes
BEL,no
BOL,no
BIH,no
BWA,no
BRA,no
BFA,no
BDI,no
CMR,no
CAN,no
CHL,no
CHN,no
COL,no
COG,yes
CRI,no
CIV,no
HRV,no
CYP,no
CZE,no
COD,yes
DNK,no
DJI,no
DOM,yes
ECU,yes
EGY,no
SLV,no
ERI,yes
FRA,no
DEU,no
GHA,no
GRC,yes
GTM,no
GUY,no
HTI,no
HND,no
HUN,no
ISL,no
IND,yes
IDN,no
IRQ,no
IRL,no
ISR,no
ITA,yes
JOR,no
KAZ,no
KEN,yes
KGZ,no
LBN,no
LSO,no
LBR,no
LTU,no
LUX,no
MKD,no
MWI,no
MLI,no
MLT,no
MRT,no
MEX,no
MAR,no
MOZ,no
NAM,no
NPL,no
NLD,no
NIC,no
NER,no
NOR,no
PAK,yes
PAN,no
PRY,no
PER,no
PHL,no
POL,no
PRT,no
KOR,no
MDA,no
ROU,no
RWA,no
SEN,no
SRB,no
SLE,no
SVK,no
SVN,no
SOM,no
ZAF,no
SSD,yes
ESP,no
LKA,no
SDN,no
SWE,no
CHE,no
TZA,no
THA,no
TTO,no
TUN,no
TUR,no
UGA,yes
GBR,no
URY,no
UZB,no
VEN,no
ZWE,yes
# Series: SNLLQWPO,
# Name: Sub-national level legislated quotas for women in public office,
# Definition: Sub-national level legislated quotas for women in public office,
# Source: The Quota Project,
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
