ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,70.5,66.3,66,62.5,,
DZA,,,,,,,37.7,,33.8,50.2,34,,,60.2,60.8,64.1,25.6,
ATG,,,,,,,9.5,,,,,,,,,,,
ARG,25.1,25.6,24.9,24.4,24.1,23.5,23.8,21.9,21.3,21.4,21,19.8,19.1,19.3,19.9,19.4,18.7,18.8
ARM,,,,,,,,,,,,,,30.2,22.4,27.6,29.6,
AUS,12.1,11.9,12.2,11.4,11.1,10.7,10.2,10.4,10,9.8,9.8,9.3,9,9,8.8,8.9,8.6,
AUT,14.1,14.3,13.3,13.1,13.1,12.5,12.3,12.1,11.5,10.8,10.9,11.3,12.3,11.5,11,11.3,11.3,10.7
AZE,,,,,,,,,69,66.8,66.2,66.2,67.3,63,,,,
BHS,12.1,12.9,10.5,10.8,11.1,,9.2,10.5,10.6,12,,,,9.5,,,9.4,
BHR,,,,,,,,1.8,1.8,1.2,1.7,1.7,1.7,1.7,1.8,1.7,,
BGD,,85.1,,,,84.3,,,82.3,,86.7,,,,,,,
BRB,9.4,9.5,8,8.9,9.1,8,9.4,9.2,8.9,10.3,,,,,,,,
BLR,,,,,,,,,,,,,,,2.4,,,
BEL,16.4,15.8,15.1,15,16,13.8,13,13.5,12.7,11.7,12.3,11.8,11.5,10.8,11.3,10.8,10.5,10.5
BLZ,25.1,24.7,29.4,27.6,28.5,,,,,,26,,,,,,,
BEN,,,,,,,,,95.8,,,,,,,,,
BTN,,,,,,,,,,,,79.7,,,85.7,76.8,83.3,85.7
BOL,58,60.1,60.9,,77,74.2,74,74.6,73.6,73.6,73.4,71.1,70.1,69.4,67.1,,,
BIH,,,,,,,,,,,,26.9,26.7,27.4,29.6,28,25.4,27.7
BWA,,,,,,,,,,,,41.4,,,,,,
BRA,39.8,36.7,,,,24,35.1,35.6,35.2,34.5,27.9,27,26.3,25.5,25.1,,,
BGR,,,,,,12.9,11.6,12.1,12.3,12.6,11.1,10,9.4,9.8,9.8,10.3,9.4,8.8
BFA,,,,,,,,,97,,,93.5,,,,,,
BDI,,,,97.6,,,,,,,,,,,,,,
KHM,,,,,,87.9,86.3,,,,,,,85.9,77.1,75.5,72.8,69.7
CMR,,93,,,,,88.9,,,,,,,,,88.8,,
CAN,11.7,12.5,13.3,13.3,13,12.4,11.2,11.5,11.3,11.2,11.4,11.3,11.4,11.2,8.4,8.1,8,
CPV,,,,,,45.7,,,,,,,,,,,,
CHL,,24.8,25.7,27.3,25.8,25.1,26.7,26.8,26.8,28.1,25.4,26.2,25.6,25.7,25.2,24.9,26,
COL,29,28.5,30,32.7,34.6,44.9,48.4,48.7,47.3,48.7,48.3,47.7,44.4,49.2,51.4,52.1,53.1,53.6
COG,,,,,,,,,,,89.9,,,,,,,
COK,,,,,,,,,,,,,,,,,7,
CRI,24.3,22.3,25.7,24.2,25.3,23.4,28.7,,28.9,29.4,26.9,26.3,23.9,24.6,25.2,20.4,21.1,20.2
CIV,,,,,,,,84.3,,,,,,,,,,
HRV,,27.8,25,23.2,23.3,22,20.9,21.6,22.8,23.1,24.3,21.3,20.2,20.3,20.2,21.9,21.8,19.5
CUB,8.1,7.5,7.8,8.1,8.7,8.5,8.6,8.3,8.7,8.4,8.2,8,6.5,6.6,6.1,6,11,
CYP,,,,,15.5,16.5,15.9,15.9,15.7,15.7,16.1,14.9,13.2,12.9,14,13,12,11
CZE,10,9.7,8,9,9.7,9.9,10.4,10.5,11.7,11,10.4,10.9,10.6,10.6,11.4,12.2,12.9,13.4
DNK,6.2,6.1,5.9,6.3,6,5.7,4.7,5.2,5.7,5.2,5.4,5.8,5.3,5,5.4,5.6,5.5,5.6
DJI,,68.6,,,,,,,,,,,,,,,,
DMA,,,28.9,,33.2,,23.8,,,,,,,,,,,
DOM,30.5,32.5,33.4,35.6,34.9,30.3,32.3,32.7,30.6,30.2,33.6,32.5,32.7,35.3,32.8,23.9,,
ECU,45,44.7,41.6,44.3,43,51.2,56.9,,52.7,58.9,53.9,56.4,54.9,52.5,53.7,51.4,54.1,43.9
EGY,47.1,,44.5,39.3,35.6,42.8,35.2,32.1,43.5,50.7,49.2,46.3,52.1,,49.8,48,,
SLV,48.9,49.1,48.3,46.4,45.7,48.7,49.1,49.8,47.8,48.1,50.1,46.8,47.5,47.8,56.7,48.9,48.3,48.3
EST,4.7,5,4.9,6.2,6.5,6.3,3.9,4.2,5.4,5.7,4.9,4.5,5.1,4.7,5,5.1,4.9,4.8
ETH,,,,,93.1,,,,,,93.5,,,,,,,
FJI,,,,,,,,45.2,,40.4,40.5,,34,43.6,,,,
FIN,11,11.2,9.5,8.8,9.6,8.9,8.9,9,8.7,8.3,8.5,8.5,8.2,8.6,9,9,8.8,8.9
FRA,10.7,10,9.8,9.2,8.9,8.3,7.9,7.7,8.1,7.8,7.4,7.8,7.4,7.4,7.3,7.6,7.8,7.7
GAB,,,,,,,,,,,64.6,,,,,,,
GEO,,,,55.8,57.4,62.4,64.3,64,65.6,65.3,65.2,,,65.3,64.2,61.2,62,62.4
DEU,8.5,8,8.1,8.2,7.8,7.8,8.5,8.3,8.2,8.8,9.4,9.2,9.2,8.8,8.4,8.4,8.5,8.3
GHA,,,,,,,,,,,,89.1,,,,88.5,,
GRC,43.8,43.7,42.4,41.3,39.3,39,36.1,35.7,35.6,32,32.2,32,31,31,30.9,31.3,31.6,31.5
GRD,,26.3,,23.1,,,,,,,,,,,,,,
GTM,,,,57.1,,57,,64.8,62.7,60.8,,,,,,,,
HND,48.6,52.2,52.3,52.4,55.5,,49.6,52.4,55.3,50,47.4,53,54,53,58.4,58.7,,
HUN,9.9,12.7,12.5,11.7,11.3,10.5,10.3,10.1,9.2,10.3,9.8,9.1,9.2,8.6,9.1,8.8,8.5,8.8
ISL,9.3,10,11.2,11.3,11.1,10.8,9.6,9.1,7.2,8.4,7.4,7.4,7.4,7.1,6.6,8.3,8.4,8.3
IND,,,,,,90.8,,,,,90,,,,,85.5,,
IDN,,,,,,,70.7,71.2,72.4,71.5,68.6,68,69.3,,68.3,,,
IRN,,41.9,,,,,,,,,,,57,53.2,,,,
IRL,9.7,9.7,9.5,9.6,9.2,9.1,8.2,7.7,7.8,7.8,7.1,6.7,7.2,7.5,7.5,7.6,7.4,7.5
ISR,10.1,10.3,9.7,9.3,9.8,9.3,8.5,8.6,8.8,8.4,8.2,8.6,8.2,8,8.2,8,8.3,
ITA,24.1,23.7,23.3,22.8,22.5,21.9,21.5,21.1,20.9,22.3,20.6,20.5,20,19.3,18.5,18.5,18.2,18.3
JAM,33.9,34.3,33.5,34,34.6,34.6,34.3,31.9,32,34.1,32.9,33.5,31.2,33.2,,,32.3,32.8
JPN,21.5,20.4,19.9,19.7,19.3,18.4,17.2,16.3,15.8,15.4,14.9,13.7,13.1,12.4,12,11.4,10.9,
JOR,,,,,,7.5,8.4,7.9,5.8,5.2,5.7,6,5.7,5.2,5.1,4.9,4.8,3.9
KAZ,,,,,,,45.9,43.7,42.3,39.8,38.2,36.7,35.7,35.2,35,34.6,33.5,31.6
KEN,,,,,77.7,,,,,,,,,,,,,
KSV,,,,,,,,,,,,,,,,,,13.7
KWT,,,,,,,,,,,0.5,,,,,,2.2,
KGZ,,,,,,,,56,53.6,51.3,50.1,48.3,,,,,,
LAO,94.6,,,,,,,,,,92,,,,,,,
LVA,,12.6,18.2,16.1,15.4,13.5,12.6,10.9,11.3,12.7,9.6,9.8,8.4,7.4,8.5,9.4,9.1,9.1
LBN,,,,,,,,,,15.2,,,17.6,,,,,
LSO,,,,,64.2,,,,,,,,,,,,,
LBR,,,,,,,,,,,,,91.6,,,91.1,,
LTU,,,,16.8,17.3,16.7,15.9,17.8,17.9,15.8,14.6,13.8,11,8.8,9.6,9.1,8.9,9
LUX,10.3,8,8.1,7,8.4,7.3,5.8,5.4,6.9,6.7,6.4,6,5.7,6,6.8,6.8,7.3,8.1
MKD,,,,19.9,22.3,24.3,30.2,28.5,25.8,19.5,24.1,25.5,23.1,25.1,23.6,24.8,24.3,23.5
MDG,,,,,,,,,87.3,,89.1,,,,,,,
MYS,27.1,28.2,26.1,25.1,24.5,23.6,23.2,22.7,22.5,23.3,21.5,21.9,22.7,21.1,21.7,21.6,20.2,23
MDV,50.7,,,,,40.8,,,,,,54.2,,,,,,
MLI,,,,,,,,,,88.6,,93.5,89,,,,,
MLT,,,,,,5.3,4.8,4.8,8,5.6,5.9,5.8,7,6.2,6.7,5.9,6.2,6.7
MHL,,,,,29,,,,,,,,,,,,,
MUS,14.5,,,,,8.9,,,,15.1,15.8,15.9,16.3,15.9,15.9,16.2,14.5,16.6
MEX,40.8,39.1,41.4,38.5,38,35.4,35.7,36.8,36.9,37.3,35.5,34.7,34.9,34.9,34.4,35.5,34.8,
MNG,,,,,,56.2,,,58,,,,59.2,55.5,55.1,53,53.2,
MNE,,,,,,,,,,,14.5,,17,14.3,11.1,10.6,11.2,12.3
MAR,,,,67.5,69.6,,,65.1,65.9,68.5,68.2,66.4,65.7,65.9,,,,
MOZ,,,,,,,,,97,,,,,,,,,
NAM,,,45.8,,,42.2,39.2,,,30.7,,,,19.3,,42.9,37.3,44
NPL,,,,,,,87.2,,,,,,,,,,,
NLD,11.3,10.3,10.4,9.6,9.8,9.4,9.7,9.5,8.6,9.6,9.7,9.9,10,10.1,10.5,11.5,11.5,11.7
NZL,15.4,14.9,14.1,14.3,14.8,14.5,13.9,13.2,13.1,13.4,13.2,12.4,12.6,12.5,11.8,11.8,12.4,
NIC,43.1,42.2,42.1,43.7,42.7,48.2,,,51.6,49.3,49.3,48.2,46.8,48,,58.5,,
NER,,,,,,,,,,,89.5,,,,,,,
NOR,6.5,5.8,5.2,5.4,4.9,4.8,5,4.2,4.4,4.3,4.4,4.9,4.6,4.4,4.9,4.4,4,4.1
OMN,,6.7,,,,9.9,,,,,,,,,,4.1,,
PAK,75.2,75.2,66.9,75.1,75.1,66.9,66.9,62.9,62.9,68.8,68.8,74.3,75.4,77.9,,,,
PAN,19.6,20.1,21,22.7,23,20.6,20.7,24.8,25.1,25.2,28.1,27.6,25.4,26.8,33,30.2,26.1,28.7
PRY,,45.2,52.6,52.9,52.7,,54.9,55.2,54.6,57.1,51.3,53.1,53.2,50.6,52.2,49.4,48.1,52.5
