ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,61.3,54.1,52.9,51.5,,
DZA,,,,,,,37.8,,35.2,37.7,34.4,,,65.9,68,67.6,34.4,
ATG,,,,,,,13.9,,,,,,,,,,,
ARG,32,31.4,30.3,30,29.9,30.3,31.2,33,30,29.2,28.8,27.5,26.8,26.8,27,26.5,26.2,26
ARM,,,,,,,,,,,,,,29.6,28.6,28.3,31.2,
AUS,17.9,17.6,17.4,17.1,17.1,16.7,16.6,16.6,16.2,15.9,15.5,15.1,14.5,14.1,14.1,13.9,13.3,
AUT,14.4,14.6,14.3,14.3,14.1,14.3,14.3,14.6,14.3,14.8,15.2,15.3,16.1,15.7,15.5,15.9,15.9,15.5
AZE,,,,,,,,,65.7,66.8,66.2,52.6,49.3,52.3,,,,
BHS,16.3,19.5,18.9,18.5,20,,18.3,20,17.9,17.8,,,,17.1,,,19,
BHR,,,,,,,,4.8,4.7,5.2,4.6,4.7,4.4,4.3,4.2,4.3,,
BGD,,60.2,,,,59.9,,,83.8,,84.8,,,,,,,
BRB,15.6,15.6,15.4,15.7,17.9,16.9,18.4,18.2,19.4,19.8,,,,,,,,
BLR,,,,,,,,,,,,,,,3.9,,,
BEL,19,19.4,18.7,19,18.2,17.7,16.8,16.9,17,17,17.5,17.6,17.4,17,17.7,17.3,17.5,17.6
BLZ,34.4,37.9,38.1,35.8,37.8,,,,,,33,,,,,,,
BEN,,,,,,,,,83.7,,,,,,,,,
BTN,,,,,,,,,,,,59.7,,,64,61.5,60.1,58.8
BOL,40.8,42.8,46.9,,62.8,63.8,62.1,63.7,56,56,58.6,60.8,56.7,57.5,53.8,,,
BIH,,,,,,,,,,,,28,27.3,27.6,25.7,25.8,25.1,27.2
BWA,,,,,,,,,,,,37.8,,,,,,
BRA,40,39.4,,,,34.2,39.9,39.7,39.9,39.1,36.1,35.2,34,32.7,32.6,,,
BGR,,,,,,19.3,18.3,17.8,19,18.7,16.6,15.9,15.1,14.7,14.8,15,14.5,14.1
BFA,,,,,,,,,91.6,,,87.8,,,,,,
BDI,,,,89.9,,,,,,,,,,,,,,
KHM,,,,,,81.2,80.8,,,,,,,79.3,69,64.4,64.1,58.8
CMR,,74.8,,,,,66.5,,,,,,,,,71.4,,
CAN,19.2,19.9,20.4,20.4,20.4,19.4,18.7,18.4,18.8,19,19.1,18.6,19.2,19.1,10.5,10.2,9.9,
CPV,,,,,,39.1,,,,,,,,,,,,
CHL,,32.3,31.5,32.6,33.3,33.3,33.7,33.9,34.3,33.8,32.2,30.4,29.2,28.2,29.1,27.5,27,
COL,37.2,37,38.9,38.3,41.8,49.6,54.3,53.6,51.3,52.4,52.2,50.3,46.7,52.7,53.1,54.6,54,53.4
COG,,,,,,,,,,,61.7,,,,,,,
COK,,,,,,,,,,,,,,,,,10.9,
CRI,30.5,31.5,32,31.3,30.8,31.9,32.5,,31.4,32.2,29.5,31,28.7,28.6,28.6,26,25.8,26.1
CIV,,,,,,,,70.1,,,,,,,,,,
HRV,,29.2,26.7,25.9,26.2,25.4,27,26.1,25.7,24.9,25.4,24.4,22.7,22.6,22.8,23.2,23.4,22.6
CUB,20.4,20.1,21.1,22.3,23.9,24.8,26.1,26.2,26.7,27,26.2,23.9,23.3,22.9,22.4,22.5,29.7,
CYP,,,,,29,29.8,29.5,28.6,30.1,29.9,28.7,26.7,26.1,25.6,24.8,23.6,23.3,21.7
CZE,16.9,17.2,15.5,16.9,18.2,19,19.2,20.1,21.8,21.5,20.3,20.2,20.4,20.2,20.8,21.9,21.9,22.2
DNK,12.2,12,12.4,12.6,12.1,12.1,12.5,12.1,12,11.9,11.9,11.9,12.3,12.2,12.9,12.3,12.4,12.3
DJI,,27.9,,,,,,,,,,,,,,,,
DMA,,,37.5,,45.2,,35.5,,,,,,,,,,,
DOM,46.7,50,51.3,52,53.8,50.3,51.5,52.9,53.6,52.2,54.3,54.5,53.5,55.4,56.9,52.3,,
ECU,39.9,41.6,40.3,39.5,39.2,44.1,44.8,,41.8,44.4,43.7,42.9,41.7,40.3,42,41.3,43.1,62
EGY,41.9,,39,40.4,39.6,39.4,39.2,41.6,41.8,41.7,37.8,36.3,38.6,,36.8,35.3,,
SLV,39.5,39.5,39.1,37.7,35.6,39.3,38.9,39.8,36.8,34.4,38.2,34.7,33.7,35.2,47.1,36.6,36.9,37.1
EST,8.9,9.8,10.6,11.3,11.2,9.6,9.2,8.9,10.7,13,10.9,11.1,12.3,10.4,11.2,11.2,11.5,11.9
ETH,,,,,90,,,,,,90.3,,,,,,,
FJI,,,,,,,,40.3,,39.2,39.9,,24.7,41.1,,,,
FIN,20.4,21.5,20.8,19.8,17.6,17.7,16.7,16.5,16.5,16.3,16.5,17,16.6,16.7,18,17.6,17.6,18
FRA,16,15.8,15.5,15.1,14.8,14,13.3,13.3,14.4,13.8,13.9,14.5,14.2,13.5,14.3,15,15.1,14.9
GAB,,,,,,,,,,,46.4,,,,,,,
GEO,,,,56.2,56.1,61.6,64.3,64.8,66.1,67,65.4,,,63.3,63.7,62.4,61.3,60
DEU,12.3,12.6,13,13.1,13.1,13.2,13.2,13.3,13.9,14.7,14.8,14.5,14.3,14,14.3,14.3,14.4,14.3
GHA,,,,,,,,,,,,70.2,,,,74.5,,
GRC,47.4,46.9,46.8,44.9,43.8,43.7,42.2,41.4,41.1,39.4,39,39.3,38.7,38.2,38.9,39.1,39.8,40.5
GRD,,27.5,,24.6,,,,,,,,,,,,,,
GTM,,,,43.8,,45.8,,58.4,51,50.8,,,,,,,,
HND,50.8,54.8,53.7,51.8,51.9,,51.8,54,53.3,52.8,51.3,52.4,51.6,51.1,52,54,,
HUN,15.4,21.9,21.4,19.6,19.3,19.1,18.2,16.9,16.8,17.9,17,15.7,15.1,15.3,15.4,15.3,15.1,14.2
ISL,25.5,24.9,22.3,24.6,23.8,23.2,23.3,23.7,18.4,17.3,20,20.4,18.6,16.9,16.5,16.3,16,15.4
IND,,,,,,81.6,,,,,81.9,,,,,80.6,,
IDN,,,,,,,64.4,65.8,67.1,66.2,65.3,65.1,64.1,,65.6,,,
IRN,,45.6,,,,,,,,,,,46.2,45.6,,,,
IRL,29.5,27.8,27.9,27.3,26.1,26,25.4,25.5,24.8,25.3,24.3,23.2,24.3,25.1,26.1,24.9,24.2,24.3
ISR,19.3,20,19.7,19.5,19.4,18.3,17.6,17.6,18.1,17.2,17.4,17.1,16.5,16.7,17,17,16.5,
ITA,31.8,32,31.9,32,31.6,31.8,31.7,31.3,31.2,31.7,30.7,30.3,30,29.5,29.3,29.7,29.5,29.5
JAM,44.3,44,44.3,45.1,44.8,44.7,44.1,42.9,43.2,42,41.1,42.2,40.6,44.6,,,45.7,46.6
JPN,16.1,15.8,15.9,15.6,15.8,15.5,15,14.8,14.7,14.7,14.5,13.9,13.6,13.4,13.2,12.9,12.6,
