ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,0,0,0,0,,
DZA,,,,,,,2351.6,,2339.5,3111.4,2765.2,,,5948,6336,6528,3165,
AGO,,,,,,,,,,,,,,,0,,,
ATG,,,,,,,4.2,,,,,,,,,,,
ARG,1226.4,2151.4,2219.6,2305.2,2283.2,2280.4,2294.6,2271,2355.1,2437.4,2456.7,2432.2,2406,2434.5,2501,2481,2486.5,2493.3
ARM,,,0,0,0,0,0,0,0,0,0,0,497,352.9,296.6,331.6,357.3,
AUS,1267.1,1260.2,1270.3,1251.6,1263.5,1260.7,1248.8,1281,1269.2,1268.8,1290.4,1274.8,1260.6,1268.4,1275.9,1306.8,1279,
AUT,523.7,522.2,499.9,500.4,502.9,497.7,496.1,495.4,488.2,474.4,507.4,531.4,577.7,562,545.4,563.5,569.5,556.5
AZE,,,,,,,,,2520.4,2545.2,2549.8,2350.6,2336.8,2336.7,,,,0
BHS,18.2,21.4,20.2,21.3,23,,21.3,23.5,22.2,23.8,,,,23.5,,,23.4,
BHR,,,,,,,,12.4,13.3,13.2,16.4,18.1,19.1,20.7,22.4,22.5,,
BGD,,38052,,,,35742,,,37008,,40373,,,,,,,
BRB,14,14.7,14.1,15.2,17.5,16.4,18.4,18.1,18.6,20.1,,,,,,,,
BLR,,,,,,,,,,,,,,,144.9,,,
BEL,680.5,681.9,660.8,670,688.6,660.9,614.7,625.6,614.4,609.2,645,642.8,649.4,632.5,654.2,644.7,644.8,649
BLZ,19.8,22.1,25,24.4,27.1,,,,,,30.2,,,,,,,
BEN,,,,,,,,,2415,,,,,,,,,
BTN,,,,,,,,,,,,151.2,,,232.9,221.1,230.2,239
BOL,607.1,935.7,994.1,,2518.1,2487.4,2621,2618.2,2685.1,2685.1,2777,2977.1,2929,3092.9,2995.1,,,
BIH,,,,,,,,,,,,223,229,245,234,224,206,223
BWA,,,,,,,,,,,,212.9,,,,,,
BRA,26476.9,25092.3,,,,19902.6,28861,30001,30407,31424,28461,28303,27935,27420.2,27269,,,
BGR,,,,,,469.4,416.8,423,456,469.9,418.4,408.6,403.7,416.8,406.1,390,359.1,339.9
BFA,,,,,,,,,4728.7,,,4779,,,,,,
BDI,,,,2457.8,,,,,,3158.2,,,,,,,,
KHM,,,,,,4465.9,5223.1,,,5700.1,,,,5754.3,0,0,0,0
